
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 13, 2012 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	10,793	26,641	30,645	1038612	1108186	147	389	584	13,962	17,587	58	130	272	5,659	7,795						
NEW ENGLAND	578	966	1,807	36,801	35,551	-	0	1	2	2	-	7	19	319	355						
Conn.	-	254	1,268	9,039	8,497	N	0	0	N	N	-	1	3	30	64						
Maine	-	60	101	2,301	2,430	N	0	0	N	N	-	1	4	59	40						
Mass.	402	453	711	18,405	17,914	-	0	0	-	-	-	3	8	121	146						
N.H.	22	62	85	2,393	2,370	-	0	1	1	1	-	1	4	38	61						
R.I.	69	84	186	3,376	3,167	-	0	1	1	1	-	0	10	11	1						
Vt.	85	28	71	1,287	1,173	N	0	0	N	N	-	1	6	60	43						
MID. ATLANTIC	2,232	3,527	4,469	139,496	141,251	-	0	1	4	4	6	14	39	618	775						
N.J.	167	544	632	21,860	21,000	N	0	0	N	N	-	0	4	23	48						
N.Y. (Upstate)	845	725	2,215	28,981	27,927	N	0	0	N	N	5	4	18	188	185						
N.Y. City	368	1,143	1,458	45,165	51,479	N	0	0	N	N	-	2	8	85	77						
Pa.	852	1,095	1,339	43,490	40,845	-	0	1	4	4	1	7	19	322	465						
