
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 29, 1998 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,865	2,328	8	330	412	161	3,254	3,469	7	303	129										
NEW ENGLAND	76	144	-	2	8	32	541	648	-	36	1										
Maine	5	16	-	-	-	-	5	7	-	-	-										
N.H.	4	12	-	-	-	1	46	82	-	-	-										
Vt.	1	3	-	-	-	-	57	185	-	-	-										
Mass.	38	72	-	1	2	28	395	348	-	6	1										
R.I.	3	13	-	-	5	-	7	12	-	1	-										
Conn.	25	28	-	1	1	3	31	14	-	29	-										
MID. ATLANTIC	174	245	1	19	46	13	356	253	-	124	30										
Upstate N.Y.	45	68	1	4	10	13	196	99	-	110	4										
N.Y. City	19	42	-	4	3	-	9	57	-	9	26										
N.J.	46	45	-	2	7	-	5	11	-	4	-										
Pa.	64	90	-	9	26	-	146	86	-	1	-										
E.N. CENTRAL	288	340	1	57	52	36	346	366	-	-	5										
Ohio	108	125	-	21	18	32	169	103	-	-	-										
Ind.	51	37	-	5	7	2	70	38	-	-	-										
Ill.	69	99	-	10	8	2	45	48	-	-	1										
Mich.	35	50	1	21	16	-	45	45	-	-	-										
Wis.	25	29	-	-	3	-	17	132	-	-	4										
W.N. CENTRAL	153	167	3	24	13	15	272	220	-	27	-										
Minn.	28	29	2	12	5	9	168	142	-	-	-										
Iowa	29	38	1	8	6	-	52	11	-	-	-										
Mo.	53	72	-	3	-	5	22	40	-	2	-										
N. Dak.	3	1	-	1	-	-	2	1	-	-	-										
S. Dak.	6	4	-	-	-	1	8	3	-	-	-										
Nebr.	7	7	-	-	1	-	8	5	-	-	-										
Kans.	27	16	-	-	1	-	12	18	-	25	-										
S. ATLANTIC	324	393	-	39	48	14	199	302	3	13	59										
Del.	1	5	-	-	-	-	3	1	-	-	-										
Md.	24	36	-	-	1	3	34	96	-	1	-										
D.C.	-	7	U	-	-	U	1	3	U	-	-										
Va.	26	39	-	5	9	-	9	34	-	-	1										
W. Va.	12	14	-	-	-	-	1	6	-	-	-										
N.C.	47	76	-	9	8	5	74	85	3	9	51										
S.C.	45	42	-	5	10	-	22	15	-	-	6										
Ga.	68	77	-	1	6	-	10	8	-	-	-										
Fla.	101	97	-	19	14	6	45	54	-	3	1										
E.S. CENTRAL	162	176	1	12	22	5	77	93	-	2	1										
Ky.	20	38	-	-	3	2	25	38	-	-	-										
Tenn.	51	61	-	1	3	3	27	27	-	1	-										
Ala.	69	55	1	7	6	-	22	19	-	1	1										
Miss.	22	22	-	4	10	-	3	9	-	-	-										
W.S. CENTRAL	212	217	-	48	44	6	230	147	4	83	4										
Ark.	26	25	-	7	1	4	44	13	-	-	-										
La.	46	46	-	8	11	1	3	13	-	-	-										
Okla.	31	24	-	-	-	-	18	19	-	-	-										
Tex.	109	122	-	33	32	1	165	102	4	83	4										
MOUNTAIN	106	136	1	29	49	7	632	846	-	5	6										
Mont.	4	7	-	-	-	1	5	15	-	-	-										
Idaho	7	8	-	4	2	-	196	479	-	-	2										
Wyo.	6	1	-	1	1	-	8	6	-	-	-										
Colo.	23	36	1	8	3	4	138	233	-	-	-										
N. Mex.	17	23	N	N	N	1	76	64	-	1	-										
Ariz.	34	36	-	5	31	-	139	24	-	1	4										
Utah	11	11	-	4	6	1	47	12	-	2	-										
Nev.	4	14	U	7	6	U	23	13	U	1	-										
PACIFIC	370	510	1	100	130	33	601	594	-	13	23										
Wash.	50	64	-	7	14	25	221	249	-	9	5										
Oreg.	62	98	N	N	N	3	60	25	-	-	-										
Calif.	252	341	1	74	91	1	303	289	-	2	10										
Alaska	2	2	-	2	6	4	11	16	-	-	-										
Hawaii	4	5	-	17	19	-	6	15	-	2	8										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	6	8	-	1	5	-	3	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


