
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending October 2, 2010 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	1	2	12	125	128	14	16	421	1,123	1,145											
NEW ENGLAND	-	0	0	-	2	-	0	1	2	9											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	2	4											
Mass.	-	0	0	-	1	-	0	1	-	5											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	0	-	1	-	0	0	-	-											
MID. ATLANTIC	-	0	2	15	11	2	1	4	45	86											
N.J.	-	0	0	-	2	-	0	2	-	55											
N.Y. (Upstate)	-	0	1	2	-	2	0	3	14	12											
N.Y. City	-	0	1	1	1	-	0	4	21	6											
Pa.	-	0	2	12	8	-	0	1	10	13											
E.N. CENTRAL	-	0	1	3	9	1	0	8	77	79											
Ill.	-	0	1	1	1	-	0	5	24	47											
Ind.	-	0	1	2	3	1	0	5	40	10											
Mich.	-	0	1	-	4	-	0	2	3	1											
Ohio	-	0	0	-	-	-	0	2	9	17											
Wis.	-	0	0	-	1	-	0	1	1	4											
W.N. CENTRAL	1	0	4	17	18	1	2	20	242	243											
Iowa	-	0	0	-	1	-	0	1	4	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	1	-	0	1	-	1											
Mo.	1	0	4	13	7	1	2	19	234	234											
Nebr.	-	0	1	2	8	-	0	1	3	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	-	1	9	62	61	9	5	60	384	341											
Del.	-	0	1	1	-	-	0	3	16	16											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	3	-	-	0	1	8	5											
Ga.	-	0	6	41	48	-	0	0	-	-											
Md.	-	0	1	2	3	-	0	4	35	34											
N.C.	-	0	3	11	7	9	1	48	214	223											
S.C.	-	0	1	1	3	-	0	2	10	15											
Va.	-	0	2	3	-	-	1	11	101	46											
W. Va.	-	0	0	-	-	-	0	0	-	2											
E.S. CENTRAL	-	0	3	16	7	-	4	28	305	239											
Ala.	-	0	1	4	3	-	1	8	59	59											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	2	8	9											
Tenn.	-	0	2	6	3	-	3	20	238	171											
W.S. CENTRAL	-	0	3	4	7	1	1	408	60	125											
Ark.	-	0	1	-	-	-	0	110	20	62											
La.	-	0	0	-	-	-	0	1	2	2											
Okla.	-	0	3	3	5	1	0	287	22	43											
Tex.	-	0	1	1	2	-	0	11	16	18											
MOUNTAIN	-	0	2	2	12	-	0	2	8	23											
Ariz.	-	0	2	-	6	-	0	1	2	11											
Colo.	-	0	0	-	1	-	0	1	1	-											
Idaho	-	0	0	-	-	-	0	1	2	1											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	1	1	1											
Wyo.	-	0	0	-	1	-	0	0	-	2											
PACIFIC	-	0	2	6	1	-	0	0	-	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	5	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	0	-	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


