
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 12, 1998 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1998*
AIDS § cummulative for 1997
Chlamydia† cummulative for 1998
Chlamydia† cummulative for 1997
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1998
Gonorrhea cummulative for 1998
Gonorrhea cummulative for 1997
Hepatitis C/NA,NB cummulative for 1998
Hepatitis C/NA,NB cummulative for 1997

tab delimited data:
test
UNITED STATES	31,523	40,204	364,690	310,234	1,914	1,154	219,943	196,540	2,649	2,452											
NEW ENGLAND	1,194	1,732	13,375	11,964	245	191	3,852	4,040	37	46											
Maine	22	42	683	656	29	-	49	38	-	-											
N.H.	28	26	647	541	33	34	63	71	-	-											
Vt.	17	31	288	275	11	7	25	36	-	2											
Mass.	604	598	5,747	4,925	115	113	1,484	1,488	34	37											
R.I.	88	113	1,603	1,364	11	1	259	315	3	7											
Conn.	435	922	4,407	4,203	46	36	1,972	2,092	-	-											
MID. ATLANTIC	8,893	12,414	44,301	39,553	201	50	25,299	25,774	278	226											
Upstate N.Y.	1,014	1,931	N	N	143	-	3,788	4,384	214	165											
N.Y. City	5,005	6,451	23,649	18,608	5	7	10,415	9,351	-	-											
N.J.	1,655	2,598	7,566	6,803	53	33	4,852	5,261	-	-											
Pa.	1,219	1,434	13,086	14,142	N	10	6,244	6,778	64	61											
E.N. CENTRAL	2,276	3,016	60,830	41,294	298	198	42,462	26,751	368	420											
Ohio	485	663	17,261	14,849	81	44	10,964	9,734	7	13											
Ind.	379	408	4,573	6,258	70	35	2,945	4,185	4	12											
Ill.	888	1,176	18,045	U	72	14	14,861	U	24	69											
Mich.	390	581	14,106	12,692	75	47	10,761	9,644	333	303											
Wis.	134	188	6,845	7,495	N	58	2,931	3,188	-	23											
W.N. CENTRAL	599	778	21,209	21,555	294	217	10,618	9,523	222	47											
Minn.	119	136	4,230	4,475	120	91	1,552	1,569	8	3											
Iowa	51	78	2,063	2,858	76	42	660	756	7	23											
Mo.	282	377	8,180	8,177	27	43	6,051	5,074	201	8											
N. Dak.	4	10	616	578	10	13	51	39	-	2											
S. Dak.	13	7	1,077	850	21	21	172	92	-	-											
Nebr.	56	71	1,416	1,495	21	-	502	574	2	2											
Kans.	74	99	3,627	3,122	19	7	1,630	1,419	4	9											
S. ATLANTIC	7,960	9,668	74,976	64,320	165	102	62,023	63,037	134	159											
Del.	104	174	1,721	-	-	2	966	819	-	-											
Md.	914	1,167	5,201	4,868	25	12	5,887	7,942	7	4											
D.C.	635	717	N	N	1	-	2,518	3,004	-	-											
Va.	650	769	8,725	8,039	N	28	5,748	5,313	11	20											
W. Va.	60	77	1,832	2,002	7	5	541	639	5	13											
N.C.	536	597	15,164	11,669	40	34	13,139	11,437	17	38											
S.C.	507	535	12,412	8,579	8	5	7,820	8,075	3	30											
Ga.	846	1,161	16,173	11,324	54	-	14,401	13,228	9	-											
Fla.	3,708	4,471	13,748	17,839	30	16	11,003	12,580	82	54											
E.S. CENTRAL	1,273	1,366	26,980	23,782	82	28	26,359	23,815	145	258											
Ky.	195	237	4,374	4,481	22	-	2,511	2,852	16	11											
Tenn.	434	570	9,107	8,731	37	24	7,982	7,451	122	172											
Ala.	372	334	7,054	5,759	20	2	9,008	8,111	5	7											
Miss.	272	225	6,445	4,811	3	2	6,858	5,401	2	68											
W.S. CENTRAL	3,799	4,171	52,810	41,314	94	12	30,842	27,538	475	312											
Ark.	136	159	2,515	2,030	7	6	1,245	3,303	8	10											
La.	654	733	10,379	6,404	4	2	9,006	6,047	24	144											
Okla.	224	216	6,853	5,171	12	4	3,748	3,409	8	7											
Tex.	2,785	3,063	33,063	27,709	71	-	16,843	14,779	435	151											
MOUNTAIN	1,052	1,127	14,637	20,029	252	172	5,592	5,370	294	204											
Mont.	20	33	808	717	11	-	29	33	7	15											
Idaho	19	37	1,217	1,061	29	7	119	87	87	41											
Wyo.	1	13	399	398	51	53	18	40	70	49											
Colo.	209	292	10	4,639	50	41	1,577	1,368	20	22											
N. Mex.	166	112	2,453	2,628	17	13	607	602	72	37											
Ariz.	385	269	7,537	7,369	21	23	2,724	2,437	3	24											
Utah	91	93	1,471	1,152	63	21	157	175	21	3											
Nev.	161	278	742	2,065	10	14	361	628	14	13											
PACIFIC	4,477	5,932	55,572	46,423	283	184	12,896	10,692	696	780											
Wash.	303	454	7,361	6,141	59	56	1,273	1,295	15	20											
Oreg.	128	222	3,915	3,328	79	81	572	504	5	3											
Calif.	3,919	5,170	41,489	34,753	141	35	10,513	8,280	621	639											
Alaska	17	42	1,302	1,017	4	-	223	266	1	-											
Hawaii	110	44	1,505	1,184	N	12	315	347	54	118											
Guam	-	2	201	193	N	-	24	27	-	-											
P.R.	1,246	1,381	U	U	6	U	263	415	-	-											
V.I.	19	74	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	1	N	N	N	U	25	17	-	2											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


