
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 7, 2004 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	19,960	21,686	6,136	13,641	3,110	4,067	1,402	1,366	384	475											
NEW ENGLAND	1,049	1,137	148	180	139	362	18	72	8	6											
Maine	54	75	2	6	6	22	2	-	2	-											
N.H.	51	84	5	5	15	23	-	-	N	N											
Vt.	33	41	2	6	8	16	7	6	1	3											
Mass.	621	688	93	124	93	162	N	N	N	N											
R.I.	48	40	9	4	17	5	9	10	5	3											
Conn.	242	209	37	35	-	134	-	56	U	U											
MID. ATLANTIC	3,111	2,586	707	1,452	526	705	101	91	77	70											
Upstate N.Y.	664	547	315	197	177	267	47	48	53	50											
N.Y. City	711	710	209	233	72	97	U	U	U	U											
N.J.	432	448	119	251	118	139	-	-	4	2											
Pa.	1,304	881	64	771	159	202	54	43	20	18											
E.N. CENTRAL	2,284	3,181	430	1,171	630	990	342	314	108	208											
Ohio	724	797	89	225	169	237	239	206	56	76											
Ind.	292	299	116	80	76	95	103	108	23	19											
Ill.	321	1,155	87	623	133	248	-	-	-	77											
Mich.	488	445	68	165	216	284	N	N	N	N											
Wis.	459	485	70	78	36	126	N	N	29	36											
W.N. CENTRAL	1,394	1,306	239	425	212	247	12	11	56	53											
Minn.	325	299	30	57	110	118	-	-	39	37											
Iowa	286	208	45	31	N	N	N	N	N	N											
Mo.	377	466	103	217	43	54	8	7	8	2											
N. Dak.	25	23	2	6	9	12	-	3	2	4											
S. Dak.	64	61	8	9	9	19	4	1	-	-											
Nebr.	89	86	12	63	10	22	-	-	5	5											
Kans.	228	163	39	42	31	22	N	N	2	5											
S. ATLANTIC	5,089	4,896	1,629	4,244	604	680	717	716	27	13											
Del.	37	59	4	150	3	6	4	1	N	N											
Md.	497	443	82	361	125	171	-	6	16	-											
D.C.	28	19	24	35	4	5	4	-	3	4											
Va.	614	509	87	240	55	82	N	N	N	N											
W. Va.	131	67	4	-	17	30	82	50	8	9											
N.C.	600	601	172	590	85	79	N	N	U	U											
S.C.	361	226	204	259	35	33	65	102	N	N											
Ga.	809	932	374	840	125	132	161	158	N	N											
Fla.	2,012	2,040	678	1,769	155	142	401	399	N	N											
E.S. CENTRAL	1,172	1,449	359	593	143	139	81	101	-	-											
Ky.	197	230	45	66	50	37	21	12	N	N											
Tenn.	224	424	132	207	93	102	60	89	N	N											
Ala.	340	339	147	193	-	-	-	-	N	N											
Miss.	411	456	35	127	-	-	-	-	-	-											
W.S. CENTRAL	1,630	3,107	1,362	3,633	173	186	36	53	75	73											
Ark.	284	346	40	62	13	6	6	18	7	4											
La.	274	442	170	282	2	1	30	35	12	14											
Okla.	207	228	293	512	45	62	N	N	31	36											
Tex.	865	2,091	859	2,777	113	117	N	N	25	19											
MOUNTAIN	1,318	1,196	442	563	356	345	23	4	33	52											
Mont.	89	56	4	2	-	1	-	-	-	-											
Idaho	103	103	8	14	7	14	N	N	N	N											
Wyo.	31	56	1	3	6	2	6	3	-	-											
Colo.	316	294	82	103	93	93	-	-	30	40											
N. Mex.	130	118	64	112	61	84	5	-	-	8											
Ariz.	423	364	236	272	159	127	N	N	N	N											
Utah	127	111	24	27	28	23	10	1	3	4											
Nev.	99	94	23	30	2	1	2	-	-	-											
PACIFIC	2,913	2,828	820	1,380	327	413	72	4	-	-											
Wash.	286	323	63	108	38	41	-	-	N	N											
Oreg.	245	245	39	143	N	N	N	N	N	N											
Calif.	2,141	2,099	689	1,102	233	301	N	N	N	N											
Alaska	39	50	4	4	-	-	-	-	N	N											
Hawaii	202	111	25	23	56	71	72	4	-	-											
Guam	-	28	-	23	-	-	-	-	-	-											
P.R.	109	369	2	9	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


