
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending May 28, 2011 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	109	275	1,009	6,330	8,336	11	24	123	482	1,004	72	253	354	4,318	5,189						
NEW ENGLAND	3	11	79	188	439	2	1	5	21	64	-	8	19	141	182						
Conn.	-	0	49	7	209	-	0	3	6	21	-	1	8	18	36						
Maine	1	2	13	63	65	-	0	1	2	5	-	0	3	8	14						
Mass.	-	0	5	14	49	-	0	3	6	34	-	5	14	89	113						
N.H.	-	2	8	56	67	-	0	1	2	3	-	0	3	12	7						
R.I.	-	0	36	8	8	-	0	3	-	-	-	0	4	10	10						
Vt.	2	1	6	40	41	2	0	1	5	1	-	0	2	4	2						
MID. ATLANTIC	4	21	97	423	868	-	3	27	54	112	13	30	46	521	676						
N.J.	1	6	29	54	399	-	1	4	21	34	4	4	10	71	99						
N.Y. (Upstate)	1	2	10	43	88	-	1	9	24	66	1	2	20	68	39						
N.Y. City	2	13	42	326	381	-	0	14	9	12	2	15	31	242	382						
Pa.	N	0	0	N	N	N	0	0	N	N	6	7	16	140	156						
E.N. CENTRAL	34	64	108	1,573	1,708	5	4	12	93	150	-	28	56	334	766						
Ill.	N	0	0	N	N	N	0	0	N	N	-	13	23	52	383						
Ind.	1	14	29	296	391	-	0	4	14	31	-	3	14	51	55						
Mich.	2	14	29	350	380	-	1	4	21	48	-	4	10	76	117						
Ohio	28	25	45	695	675	5	2	7	49	51	-	9	21	138	191						
Wis.	3	9	24	232	262	-	0	3	9	20	-	1	3	17	20						
W.N. CENTRAL	3	6	41	65	440	-	1	5	4	63	-	7	18	114	105						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	8	6						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	5	7						
Minn.	-	4	24	-	348	-	0	5	-	53	-	3	10	46	25						
Mo.	N	0	0	N	N	N	0	0	N	N	-	2	9	53	63						
Nebr.	3	2	9	65	69	-	0	1	4	10	-	0	2	2	4						
N. Dak.	-	0	14	-	23	-	0	1	-	-	-	0	0	-	-						
S. Dak.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
S. ATLANTIC	27	70	173	1,624	2,291	2	7	25	124	280	23	63	166	1,179	1,188						
Del.	-	1	6	28	19	-	0	1	-	-	-	0	4	5	3						
D.C.	-	1	3	27	48	-	0	1	4	7	-	3	8	71	52						
Fla.	27	23	68	780	860	2	3	13	69	112	2	22	44	427	423						
Ga.	-	14	54	250	753	-	2	7	22	86	5	11	118	181	248						
