
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 6, 2002 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	6,574	7,681	2,343	2,216	1,268	1,749	125	261													
NEW ENGLAND	121	127	117	152	8	83	1	30													
Maine	3	4	14	10	-	-	-	-													
N.H.	4	2	23	N	-	-	N	N													
Vt.	-	3	9	9	3	7	1	-													
Mass.	84	88	59	49	N	N	N	N													
R.I.	7	8	12	8	5	-	-	2													
Conn.	23	22	-	76	-	76	-	28													
MID. ATLANTIC	387	809	408	390	75	112	43	73													
Upstate N.Y.	91	303	206	168	67	110	43	73													
N.Y. City	186	218	102	120	U	U	U	U													
N.J.	48	148	71	66	N	N	N	N													
Pa.	62	140	29	36	8	2	-	-													
E.N. CENTRAL	671	1,274	345	537	107	117	49	64													
Ohio	331	625	142	137	N	N	N	N													
Ind.	37	119	21	42	102	117	24	36													
Ill.	179	258	4	176	2	-	-	28													
Mich.	72	148	178	136	3	-	N	N													
Wis.	52	124	-	46	N	N	25	-													
W.N. CENTRAL	575	769	164	220	145	85	29	31													
Minn.	120	244	84	80	48	40	29	24													
Iowa	57	211	-	-	N	N	N	N													
Mo.	78	135	36	55	6	9	-	-													
N. Dak.	15	13	-	7	1	4	-	7													
S. Dak.	148	84	9	7	1	3	-	-													
Nebr.	104	38	13	27	23	9	N	N													
Kans.	53	44	22	44	66	20	N	N													
S. ATLANTIC	2,626	1,049	478	382	784	946	1	4													
Del.	9	4	1	2	3	2	N	N													
Md.	443	54	79	N	N	N	N	N													
D.C.	31	24	5	3	33	3	1	3													
Va.	472	103	50	59	N	N	N	N													
W. Va.	4	5	12	15	34	36	-	1													
N.C.	147	196	92	101	N	N	U	U													
S.C.	43	127	27	7	121	194	N	N													
Ga.	874	138	124	130	250	277	U	U													
Fla.	603	398	88	65	343	434	N	N													
E.S. CENTRAL	628	747	66	48	90	173	-	-													
Ky.	70	276	12	18	10	18	N	N													
Tenn.	29	48	54	30	80	154	N	N													
Ala.	312	126	-	-	-	1	N	N													
Miss.	217	297	-	-	-	-	-	-													
W.S. CENTRAL	381	1,432	38	213	33	203	2	59													
Ark.	101	360	5	-	5	13	-	-													
La.	63	141	-	-	28	190	1	59													
Okla.	216	20	32	29	N	N	1	-													
Tex.	1	911	1	184	N	N	-	-													
MOUNTAIN	289	402	401	242	26	29	-	-													
Mont.	2	-	-	-	-	-	-	-													
Idaho	2	18	5	4	N	N	N	N													
Wyo.	3	2	7	7	8	5	-	-													
Colo.	57	80	145	95	-	-	-	-													
N. Mex.	56	60	65	51	18	22	-	-													
Ariz.	132	184	173	82	-	-	N	N													
Utah	21	26	6	3	-	-	-	-													
Nev.	16	32	-	-	-	2	-	-													
PACIFIC	896	1,072	326	32	-	1	-	-													
Wash.	63	91	36	-	-	-	N	N													
Oreg.	47	56	N	N	N	N	N	N													
Calif.	757	896	254	-	N	N	N	N													
Alaska	2	4	-	-	-	-	N	N													
Hawaii	27	25	36	32	-	1	-	-													
Guam	-	29	-	1	-	-	-	-													
P.R.	2	12	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	10	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


