
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 23, 2005 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,257	1,212	3	8	65	66	123	112													
NEW ENGLAND	62	113	-	1	5	7	3	1													
Maine	5	7	-	-	-	-	1	-													
N.H.	5	13	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	9	57	-	1	-	2	-	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	30	28	-	-	3	3	-	-													
MID. ATLANTIC	253	254	-	1	-	3	31	28													
Upstate N.Y.	73	88	-	1	-	3	5	4													
N.Y. City	44	55	-	-	-	-	9	9													
N.J.	47	45	-	-	-	-	8	2													
Pa.	89	66	-	-	-	-	9	13													
E.N. CENTRAL	185	227	1	-	2	8	10	33													
Ohio	83	68	-	-	-	2	7	11													
Ind.	47	34	-	-	2	4	-	1													
Ill.	35	74	-	-	-	-	3	16													
Mich.	13	15	1	-	-	2	-	3													
Wis.	7	36	-	-	-	-	-	2													
W.N. CENTRAL	73	61	-	2	3	3	9	5													
Minn.	26	27	-	1	3	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	33	22	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	6	2	-	-	-	-	1	-													
Kans.	7	6	-	-	-	-	-	1													
S. ATLANTIC	314	280	1	-	20	18	17	20													
Del.	-	-	-	-	-	-	-	-													
Md.	45	46	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	28	24	-	-	-	-	1	2													
W. Va.	20	10	-	-	1	3	4	-													
N.C.	58	40	1	-	7	5	-	1													
S.C.	19	8	-	-	-	-	1	1													
Ga.	60	79	-	-	-	-	7	15													
Fla.	84	71	-	-	7	5	4	-													
E.S. CENTRAL	74	45	-	-	1	-	12	7													
Ky.	6	3	-	-	1	-	1	-													
Tenn.	52	31	-	-	-	-	7	5													
Ala.	16	11	-	-	-	-	4	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	74	48	1	1	5	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	9	1	-	2	-	6	1													
Okla.	42	37	-	-	2	6	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	160	128	-	3	16	15	27	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	-	-	-	-	-	1	-													
Colo.	31	30	-	-	-	-	6	3													
N. Mex.	15	26	-	-	4	5	1	4													
Ariz.	82	47	-	-	10	6	9	1													
Utah	12	9	-	2	-	1	7	1													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	62	56	-	-	13	6	8	5													
Wash.	1	1	-	-	-	-	1	1													
Oreg.	24	27	-	-	-	-	5	2													
Calif.	26	18	-	-	13	6	1	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	7	5	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	1	-	-	-	-	-	1													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


