
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 5, 2005 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2005
Legionellosis cummulative for 2004
Listeriosis cummulative for 2005
Listeriosis cummulative for 2004
Lyme Disease cummulative for 2005
Lyme Disease cummulative for 2004
Malaria cummulative for 2005
Malaria cummulative for 2004

tab delimited data:
test
UNITED STATES	179	206	72	67	734	1,311	155	208													
NEW ENGLAND	4	4	2	1	21	81	3	17													
Maine	-	-	-	-	4	5	-	-													
N.H.	-	-	1	-	8	-	1	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	4	3	-	-	5	68	2	13													
R.I.	-	-	-	-	1	-	-	1													
Conn.	-	1	1	1	3	7	-	3													
MID. ATLANTIC	54	46	14	17	538	1,050	33	43													
Upstate N.Y.	14	7	2	3	55	218	5	6													
N.Y. City	-	-	3	2	-	-	12	20													
N.J.	10	19	3	7	222	304	11	10													
Pa.	30	20	6	5	261	528	5	7													
E.N. CENTRAL	38	59	13	8	24	30	11	16													
Ohio	21	29	4	3	22	8	3	3													
Ind.	8	7	-	2	1	-	-	3													
Ill.	-	11	-	-	-	-	1	2													
Mich.	8	10	4	2	1	-	6	4													
Wis.	1	2	5	1	U	22	1	4													
W.N. CENTRAL	8	4	6	1	24	11	7	12													
Minn.	-	-	1	-	22	3	1	6													
Iowa	-	-	2	-	1	2	2	1													
Mo.	7	3	2	1	1	6	3	3													
N. Dak.	1	-	1	-	-	-	-	-													
S. Dak.	-	1	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	1	2													
S. ATLANTIC	44	40	19	13	113	106	39	64													
Del.	-	1	N	N	15	9	-	-													
Md.	12	6	3	2	65	66	11	19													
D.C.	1	2	-	-	1	1	-	3													
Va.	3	3	2	-	3	1	5	4													
W. Va.	1	1	-	1	-	-	1	-													
N.C.	6	6	5	4	11	19	5	3													
S.C.	-	1	-	-	3	1	-	3													
Ga.	6	3	2	2	-	2	11	8													
Fla.	15	17	7	4	15	7	6	24													
E.S. CENTRAL	1	8	4	3	3	3	6	6													
Ky.	-	2	-	1	-	-	1	1													
Tenn.	-	3	2	2	3	1	4	-													
Ala.	1	3	2	-	-	-	1	4													
Miss.	-	-	-	-	-	2	-	1													
W.S. CENTRAL	-	19	1	6	1	12	11	20													
Ark.	-	-	-	-	-	-	1	1													
La.	-	1	1	-	-	-	-	2													
Okla.	-	2	-	-	-	-	-	1													
Tex.	-	16	-	6	1	12	10	16													
MOUNTAIN	13	12	-	1	-	4	11	6													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	1	-	-	-	1	-	-													
Wyo.	2	2	-	-	-	1	1	-													
Colo.	2	1	-	1	-	-	6	3													
N. Mex.	1	-	-	-	-	-	-	1													
Ariz.	3	2	-	-	-	1	2	-													
Utah	2	5	-	-	-	1	2	1													
Nev.	3	1	-	-	-	-	-	1													
PACIFIC	17	14	13	17	10	14	34	24													
Wash.	1	2	2	3	-	-	-	1													
Oreg.	N	N	-	4	1	7	1	3													
Calif.	16	12	11	10	8	7	32	20													
Alaska	-	-	-	-	1	-	1	-													
Hawaii	-	-	-	-	N	N	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	N	N	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


