
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 10, 2008 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	52	159	1,132	2,115	3,240	49	98	173	1,309	1,992	6	31	165	96	263						
NEW ENGLAND	-	20	45	259	523	7	8	22	100	181	-	0	1	-	2						
Conn.	-	0	5	-	20	4	4	10	57	77	-	0	0	-	-						
Maine	-	1	5	14	33	-	1	5	12	30	N	0	0	N	N						
Mass.	-	15	33	222	420	N	0	0	N	N	-	0	1	-	2						
N.H.	-	1	3	8	32	1	1	4	12	14	-	0	1	-	-						
R.I.	-	0	31	10	2	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	16	2	2	13	19	60	-	0	0	-	-						
MID. ATLANTIC	16	22	44	275	471	5	19	31	324	331	2	1	5	13	24						
N.J.	-	3	9	3	79	-	0	0	-	-	-	0	3	2	5						
N.Y. (Upstate)	13	7	24	100	229	5	9	20	130	137	2	0	2	4	-						
N.Y. City	-	2	7	29	51	-	0	2	5	24	-	0	2	4	12						
Pa.	3	7	23	143	112	-	9	23	189	170	-	0	2	3	7						
E.N. CENTRAL	12	21	186	525	629	3	3	39	13	9	1	1	4	2	13						
Ill.	-	2	8	35	76	N	0	0	N	N	-	0	3	1	9						
Ind.	-	0	12	15	11	-	0	1	1	2	-	0	2	-	1						
Mich.	2	4	16	54	110	2	1	28	8	4	-	0	1	-	1						
Ohio	10	10	176	421	285	1	1	11	4	3	1	0	2	1	2						
Wis.	-	0	14	-	147	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	3	12	136	171	255	4	4	13	36	73	2	4	33	10	34						
Iowa	-	2	8	27	66	1	0	3	4	8	-	0	4	-	1						
Kans.	-	2	5	21	61	-	0	7	-	43	-	0	2	-	6						
