
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 4, 1999 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	30,285	31,313	385,362	390,302	1,228	2,575	1,748	1,843	1,186	1,492											
NEW ENGLAND	1,532	1,171	13,461	13,624	68	112	196	245	211	201											
Maine	51	22	738	657	18	25	22	28	-	-											
N.H.	36	25	627	655	10	12	23	31	24	37											
Vt.	11	17	322	282	19	19	21	11	12	7											
Mass.	1,005	582	6,218	5,592	20	51	109	118	115	116											
R.I.	73	92	1,552	1,569	1	5	21	11	6	1											
Conn.	356	433	4,004	4,869	-	-	U	46	54	40											
MID. ATLANTIC	7,780	8,838	46,765	40,677	217	383	106	198	46	71											
Upstate N.Y.	890	1,014	N	N	91	223	94	134	-	-											
N.Y. City	4,062	4,969	21,963	17,795	107	145	6	11	13	12											
N.J.	1,476	1,638	6,935	7,848	9	15	6	53	32	43											
Pa.	1,352	1,217	17,867	15,034	10	-	N	N	1	16											
E.N. CENTRAL	1,980	2,269	56,637	65,749	239	486	349	312	240	258											
Ohio	291	490	16,784	17,675	31	50	135	81	99	49											
Ind.	247	376	6,876	7,017	18	41	50	71	30	38											
Ill.	933	880	19,029	17,902	17	56	98	88	33	59											
Mich.	405	389	13,948	13,964	32	25	66	72	41	48											
Wis.	104	134	U	9,191	141	314	N	N	37	64											
W.N. CENTRAL	678	595	21,735	23,040	111	201	389	270	215	246											
Minn.	114	118	4,621	4,656	33	73	162	100	121	114											
Iowa	62	51	1,615	2,750	29	47	68	65	37	44											
Mo.	340	280	8,595	8,346	19	17	31	34	37	46											
N. Dak.	4	4	325	665	13	23	9	9	1	13											
S. Dak.	13	13	1,064	1,051	6	19	35	17	13	22											
Nebr.	45	56	2,060	1,857	10	18	69	25	-	-											
Kans.	100	73	3,455	3,715	1	4	15	20	6	7											
S. ATLANTIC	8,314	7,901	84,968	74,964	222	182	210	147	121	121											
Del.	112	104	1,839	1,698	-	2	5	-	3	2											
Md.	889	912	7,152	5,127	11	12	11	24	-	12											
D.C.	321	634	N	N	7	5	-	1	-	-											
Va.	508	649	9,942	8,739	14	7	49	-	39	42											
W. Va.	46	60	1,148	1,609	-	1	8	7	4	6											
N.C.	552	536	15,387	14,830	6	-	48	40	42	36											
S.C.	764	503	7,972	12,193	-	-	17	8	13	5											
Ga.	1,235	855	21,374	15,422	96	68	22	51	-	-											
Fla.	3,887	3,648	20,154	15,346	88	87	50	16	20	18											
E.S. CENTRAL	1,363	1,268	28,663	27,436	18	19	86	88	43	50											
Ky.	201	193	4,752	4,306	5	8	21	27	-	-											
Tenn.	540	431	9,563	8,991	6	6	43	37	27	31											
Ala.	337	372	8,675	6,874	5	-	18	19	13	17											
Miss.	285	272	5,673	7,265	2	5	4	5	3	2											
W.S. CENTRAL	3,201	3,787	54,603	59,260	44	810	55	65	68	75											
Ark.	123	136	3,915	2,574	1	6	9	7	7	8											
La.	596	651	7,726	9,556	21	14	3	3	11	4											
Okla.	94	224	5,418	6,650	4	-	15	11	11	6											
Tex.	2,388	2,776	37,544	40,480	18	790	28	44	39	57											
MOUNTAIN	1,174	1,050	20,629	21,911	67	95	161	251	80	192											
Mont.	7	20	1,038	793	10	8	11	12	-	4											
Idaho	16	19	1,127	1,308	7	16	18	28	8	18											
Wyo.	6	1	445	432	-	-	8	50	5	54											
Colo.	208	209	4,509	5,505	10	13	57	47	40	41											
N. Mex.	67	166	1,748	2,405	26	36	8	17	3	15											
Ariz.	607	384	8,550	7,710	9	14	23	31	14	25											
Utah	102	91	1,318	1,497	-	-	25	53	8	21											
Nev.	161	160	1,894	2,261	5	8	11	13	2	14											
PACIFIC	4,263	4,434	57,901	63,641	242	287	196	267	162	278											
Wash.	250	300	7,921	7,318	-	-	62	51	64	80											
Oreg.	136	129	3,910	3,616	80	37	45	78	43	79											
Calif.	3,803	3,878	43,091	49,791	162	247	86	134	48	107											
Alaska	13	17	1,246	1,276	-	-	-	4	-	-											
Hawaii	61	110	1,733	1,640	-	3	3	-	7	12											
Guam	5	-	226	269	-	-	N	N	-	-											
P.R.	936	1,243	U	U	-	-	5	5	U	U											
V.I.	25	19	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


