
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 16, 2005 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	5,271	6,943	109	144	13,677	12,794	12	259	29												
NEW ENGLAND	161	217	13	14	962	1,866	-	-	-												
Maine	8	11	1	-	206	180	-	-	-												
N.H.	4	9	-	-	185	-	-	-	-												
Vt.	4	1	-	-	33	410	-	-	-												
Mass.	105	120	7	12	538	66	-	-	-												
R.I.	14	26	1	1	-	-	-	-	-												
Conn.	26	50	4	1	U	1,210	-	-	-												
MID. ATLANTIC	1,068	1,046	28	36	2,925	62	-	3	-												
Upstate N.Y.	132	134	5	2	-	-	-	-	-												
N.Y. City	543	530	8	14	-	-	-	2	-												
N.J.	251	226	8	11	-	-	-	-	-												
Pa.	142	156	7	9	2,925	62	-	1	-												
E.N. CENTRAL	689	608	7	17	3,928	3,990	2	6	-												
Ohio	139	106	-	3	909	1,005	1	1	-												
Ind.	68	69	-	-	120	N	1	2	-												
Ill.	325	278	1	9	25	1	-	2	-												
Mich.	112	114	3	4	2,591	2,501	-	1	-												
Wis.	45	41	3	1	283	483	-	-	-												
W.N. CENTRAL	218	239	2	5	227	131	3	8	8												
Minn.	94	87	2	3	-	-	1	1	-												
Iowa	20	19	-	-	N	N	-	2	-												
Mo.	52	69	-	1	151	2	1	2	-												
N. Dak.	2	3	-	-	12	74	-	-	-												
S. Dak.	6	5	-	-	64	55	1	2	5												
Nebr.	15	16	-	1	-	-	-	-	-												
Kans.	29	40	-	-	-	-	-	1	3												
S. ATLANTIC	1,182	1,391	14	18	1,215	1,552	-	10	-												
Del.	2	15	-	-	16	4	-	-	-												
Md.	138	136	3	5	-	-	-	-	-												
D.C.	28	44	-	-	18	18	-	-	-												
Va.	137	109	4	3	209	375	-	-	-												
W. Va.	12	12	-	-	657	862	-	-	N												
N.C.	113	148	2	3	-	N	-	-	-												
S.C.	106	108	-	-	315	293	-	-	-												
Ga.	181	344	2	3	-	-	-	1	-												
Fla.	465	475	3	4	-	-	-	9	-												
E.S. CENTRAL	293	304	2	6	-	-	-	8	2												
Ky.	56	54	1	2	N	N	-	-	-												
Tenn.	137	118	-	4	-	-	-	-	-												
Ala.	100	99	1	-	-	-	-	5	-												
Miss.	-	33	-	-	-	-	-	3	2												
W.S. CENTRAL	437	1,109	3	10	2,759	3,688	2	13	1												
Ark.	51	63	-	-	-	-	-	1	1												
La.	-	-	-	-	103	46	1	5	-												
Okla.	76	84	-	-	-	-	-	-	-												
Tex.	310	962	3	10	2,656	3,642	1	7	-												
MOUNTAIN	169	278	3	6	1,661	1,505	3	168	11												
Mont.	6	4	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	43	22	-	-	-												
Colo.	29	69	-	1	1,185	1,187	-	9	7												
N. Mex.	8	19	-	-	101	U	1	3	1												
Ariz.	112	113	1	2	-	-	2	150	3												
Utah	14	23	1	1	332	296	-	1	-												
Nev.	-	49	1	2	-	-	-	5	-												
PACIFIC	1,054	1,751	37	32	-	-	2	43	7												
Wash.	121	123	3	2	N	N	-	-	-												
Oreg.	54	46	2	-	-	-	-	-	-												
Calif.	802	1,502	26	24	-	-	2	43	7												
Alaska	15	18	-	-	-	-	-	-	-												
Hawaii	62	62	6	6	-	-	-	-	-												
Guam	-	36	-	-	-	86	-	-	-												
P.R.	-	49	-	-	109	258	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


