
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 23, 1999 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	18	55	83	153	29	60	200	407	357	460	135										
NEW ENGLAND	-	-	2	6	-	2	4	5	13	8	36										
Maine	-	-	-	-	-	-	-	-	-	-	2										
N.H.	-	-	-	-	-	-	-	1	-	-	-										
Vt.	-	-	-	-	-	-	-	-	-	-	7										
Mass.	-	-	2	6	-	2	4	4	4	2	13										
R.I.	-	-	-	-	-	-	-	-	5	-	4										
Conn.	-	-	-	-	-	-	-	-	4	6	10										
MID. ATLANTIC	4	4	49	106	3	23	4	20	9	4	33										
Upstate N.Y.	-	-	5	29	2	3	-	-	-	-	15										
N.Y. City	-	1	-	4	-	16	3	3	9	4	U										
N.J.	2	-	41	17	1	1	-	7	-	-	14										
Pa.	2	3	3	56	-	3	1	10	-	-	4										
E.N. CENTRAL	8	28	4	6	-	10	32	62	17	36	-										
Ohio	3	12	4	3	-	1	4	15	5	5	-										
Ind.	2	5	-	2	-	1	12	21	-	13	-										
Ill.	-	5	-	-	-	5	16	U	12	17	-										
Mich.	3	4	-	1	-	2	-	-	-	-	-										
Wis.	-	2	U	U	-	1	-	8	-	1	-										
W.N. CENTRAL	-	3	1	1	-	3	-	5	6	4	14										
Minn.	-	-	-	-	-	-	-	-	5	3	5										
Iowa	-	-	-	1	-	-	-	-	-	-	2										
Mo.	-	1	-	-	-	3	-	2	1	1	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	3										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	2	-	-	-	-	-	1	-	-	-										
Kans.	-	-	1	-	-	-	-	2	-	-	4										
S. ATLANTIC	2	6	22	22	8	6	84	138	16	43	44										
Del.	1	1	-	-	-	-	-	-	-	-	-										
Md.	-	3	18	21	3	6	7	35	-	-	9										
D.C.	-	1	-	1	4	-	1	1	2	5	-										
Va.	-	1	-	-	-	-	11	14	-	-	7										
W. Va.	N	N	-	-	-	-	1	-	-	5	-										
N.C.	1	-	4	-	-	-	37	32	-	12	16										
S.C.	-	-	-	-	-	-	11	18	14	21	-										
Ga.	-	-	-	-	-	-	-	21	-	-	-										
Fla.	-	-	-	-	1	-	16	17	-	-	12										
E.S. CENTRAL	-	4	3	4	-	1	53	71	9	40	2										
Ky.	-	3	-	-	-	-	-	8	-	5	-										
Tenn.	-	-	-	4	-	-	29	33	-	14	2										
Ala.	-	-	3	-	-	-	24	23	9	17	-										
Miss.	-	1	-	-	-	1	-	7	-	4	-										
W.S. CENTRAL	-	-	-	-	1	-	22	63	4	76	-										
Ark.	-	-	-	-	-	-	1	8	-	-	-										
La.	-	-	-	-	1	-	9	27	-	-	-										
Okla.	-	-	-	-	-	-	12	4	4	3	-										
Tex.	-	-	-	-	-	-	-	24	-	73	-										
MOUNTAIN	-	5	-	-	3	2	-	12	3	19	5										
Mont.	-	-	-	-	1	-	-	-	-	-	1										
Idaho	-	-	-	-	-	-	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	2	-	-	-	1	-	1	-	3	1										
N. Mex.	-	1	-	-	1	1	-	-	1	2	-										
Ariz.	-	-	-	-	1	-	-	8	-	3	3										
Utah	-	2	-	-	-	-	-	2	2	-	-										
Nev.	-	-	-	-	-	-	-	1	-	11	-										
PACIFIC	4	5	2	8	14	13	1	31	280	230	1										
Wash.	-	-	-	-	1	-	-	-	14	7	-										
Oreg.	-	-	-	-	-	2	-	1	-	7	-										
Calif.	4	5	2	8	13	11	1	30	256	214	1										
Alaska	-	-	-	-	-	-	-	-	1	1	-										
Hawaii	-	-	-	-	-	-	-	-	9	1	-										
Guam	-	-	-	-	-	-	-	-	-	4	-										
P.R.	-	-	-	-	-	-	14	14	-	-	3										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	1	-	3	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


