
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 19, 2002 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	14,177	15,418	3,380	3,038	1,903	2,169	197	346													
NEW ENGLAND	274	263	160	190	18	105	2	37													
Maine	9	6	20	10	-	-	-	-													
N.H.	11	6	31	N	-	-	N	N													
Vt.	1	7	9	13	5	7	1	1													
Mass.	167	185	85	57	N	N	N	N													
R.I.	16	17	15	12	13	4	1	3													
Conn.	70	42	-	98	-	94	-	33													
MID. ATLANTIC	1,073	1,251	550	556	91	139	55	90													
Upstate N.Y.	240	416	256	225	79	133	55	90													
N.Y. City	344	350	130	152	U	U	U	U													
N.J.	305	243	116	113	N	N	N	N													
Pa.	184	242	48	66	12	6	-	-													
E.N. CENTRAL	1,463	3,695	589	685	184	153	84	100													
Ohio	550	2,471	185	171	43	-	11	-													
Ind.	82	183	46	56	136	153	48	47													
Ill.	556	507	105	220	2	-	-	53													
Mich.	142	264	253	187	3	-	N	N													
Wis.	133	270	-	51	N	N	25	-													
W.N. CENTRAL	839	1,486	201	319	295	130	42	53													
Minn.	181	355	103	143	180	58	42	44													
Iowa	103	331	-	-	N	N	N	N													
Mo.	148	268	41	67	5	9	-	-													
N. Dak.	15	20	-	17	1	6	-	9													
S. Dak.	150	372	12	11	1	3	-	-													
Nebr.	166	76	16	34	29	19	N	N													
Kans.	76	64	29	47	79	35	N	N													
S. ATLANTIC	5,200	2,100	712	499	1,098	1,154	5	5													
Del.	205	14	2	4	3	6	N	N													
Md.	942	128	117	N	N	N	N	N													
D.C.	48	51	6	21	48	5	1	3													
Va.	750	280	67	67	N	N	N	N													
W. Va.	9	8	18	18	37	37	4	2													
N.C.	335	290	110	125	N	N	U	U													
S.C.	99	223	34	9	161	235	N	N													
Ga.	1,245	351	148	161	263	348	N	N													
Fla.	1,567	755	210	94	586	523	N	N													
E.S. CENTRAL	1,113	1,398	91	96	116	206	-	-													
Ky.	130	643	18	34	14	24	N	N													
Tenn.	78	84	73	62	102	181	N	N													
Ala.	618	184	-	-	-	1	N	N													
Miss.	287	487	-	-	-	-	-	-													
W.S. CENTRAL	1,220	2,410	107	279	63	244	5	61													
Ark.	163	503	5	-	6	14	-	-													
La.	320	204	-	1	57	230	2	61													
Okla.	472	58	39	37	N	N	3	-													
Tex.	265	1,645	63	241	N	N	-	-													
MOUNTAIN	716	793	475	344	38	34	4	-													
Mont.	3	4	-	-	-	-	-	-													
Idaho	14	33	9	7	N	N	N	N													
Wyo.	8	7	7	11	9	5	-	-													
Colo.	148	212	122	131	-	-	-	-													
N. Mex.	166	107	91	71	29	27	-	-													
Ariz.	307	313	217	121	-	-	N	N													
Utah	29	49	29	3	-	-	4	-													
Nev.	41	68	-	-	-	2	-	-													
PACIFIC	2,279	2,022	495	70	-	4	-	-													
Wash.	136	171	65	-	-	-	N	N													
Oreg.	93	93	N	N	N	N	N	N													
Calif.	1,990	1,699	357	-	N	N	N	N													
Alaska	6	6	-	-	-	-	N	N													
Hawaii	54	53	73	70	-	4	-	-													
Guam	-	37	-	1	-	-	-	-													
P.R.	7	16	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


