
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 6, 2005 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,362	1,277	3	9	72	73	128	117													
NEW ENGLAND	102	116	-	1	8	7	4	1													
Maine	5	8	-	-	-	-	1	-													
N.H.	5	13	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	47	57	-	1	3	2	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	32	30	-	-	3	3	-	-													
MID. ATLANTIC	260	270	-	1	-	4	31	29													
Upstate N.Y.	75	91	-	1	-	4	5	4													
N.Y. City	47	60	-	-	-	-	9	10													
N.J.	47	51	-	-	-	-	8	2													
Pa.	91	68	-	-	-	-	9	13													
E.N. CENTRAL	203	235	1	-	3	8	11	35													
Ohio	86	69	-	-	-	2	7	11													
Ind.	48	37	-	-	3	4	-	1													
Ill.	35	77	-	-	-	-	3	18													
Mich.	13	15	1	-	-	2	-	3													
Wis.	21	37	-	-	-	-	1	2													
W.N. CENTRAL	82	66	-	2	3	3	10	5													
Minn.	32	29	-	1	3	3	1	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	35	24	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	6	3	-	-	-	-	1	-													
Kans.	8	6	-	-	-	-	-	1													
S. ATLANTIC	328	287	1	-	21	19	18	20													
Del.	-	-	-	-	-	-	-	-													
Md.	47	47	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	31	25	-	-	-	-	1	2													
W. Va.	20	10	-	-	1	3	4	-													
N.C.	59	40	1	-	7	5	-	1													
S.C.	20	8	-	-	-	-	1	1													
Ga.	64	82	-	-	-	-	8	15													
Fla.	87	73	-	-	8	6	4	-													
E.S. CENTRAL	78	51	-	1	1	-	13	7													
Ky.	8	4	-	-	1	-	2	-													
Tenn.	54	33	-	-	-	-	7	5													
Ala.	16	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	77	50	1	1	5	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	10	1	-	2	-	6	1													
Okla.	44	38	-	-	2	6	-	-													
Tex.	1	1	-	1	-	-	-	-													
MOUNTAIN	163	137	-	3	17	17	27	14													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	-	-	-	-	-	1	-													
Colo.	32	32	-	-	-	-	7	3													
N. Mex.	15	29	-	-	4	5	1	6													
Ariz.	82	49	-	-	11	7	8	1													
Utah	14	11	-	2	-	2	7	1													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	69	65	-	-	14	9	8	5													
Wash.	1	1	-	-	-	-	1	1													
Oreg.	28	29	-	-	-	-	5	2													
Calif.	28	24	-	-	14	9	1	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	8	6	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	2	-	-	-	-	-	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


