
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 2002 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	1	1,803	46,851	58,701	254	276	1	4												
NEW ENGLAND	-	-	187	1,161	1,063	16	9	-	1												
Maine	-	-	27	13	28	1	-	-	-												
N.H.	-	-	10	17	21	3	-	-	-												
Vt.	-	-	18	19	15	2	-	-	-												
Mass.	-	-	65	643	443	9	9	-	1												
R.I.	-	-	18	160	133	-	-	-	-												
Conn.	-	-	49	309	423	1	-	-	-												
MID. ATLANTIC	-	-	328	3,794	5,822	40	44	-	-												
Upstate N.Y.	-	-	126	854	994	22	8	-	-												
N.Y. City	-	-	121	1,784	2,022	11	14	-	-												
N.J.	-	-	-	338	880	4	16	-	-												
Pa.	-	-	81	818	1,926	3	6	-	-												
E.N. CENTRAL	1	-	371	8,438	12,642	32	45	-	-												
Ohio	1	-	142	1,680	3,652	23	16	-	-												
Ind.	-	-	-	1,099	1,146	6	5	-	-												
Ill.	-	-	51	2,613	3,774	-	15	-	-												
Mich.	-	-	127	2,586	3,001	1	3	-	-												
Wis.	-	-	51	460	1,069	2	6	-	-												
W.N. CENTRAL	-	-	183	2,123	2,842	3	4	-	-												
Minn.	-	-	68	402	487	-	-	-	-												
Iowa	-	-	42	134	158	1	-	-	-												
Mo.	-	-	47	1,192	1,418	2	4	-	-												
N. Dak.	-	-	-	-	6	-	-	-	-												
S. Dak.	-	-	9	42	36	-	-	-	-												
Nebr.	-	-	-	-	238	-	-	-	-												
Kans.	-	-	17	353	499	-	-	-	-												
S. ATLANTIC	-	-	327	12,856	15,159	74	90	-	1												
Del.	-	-	10	298	280	-	-	-	-												
Md.	-	-	19	1,320	1,491	16	20	-	-												
D.C.	-	-	8	403	525	-	-	-	-												
Va.	-	-	15	1,657	1,646	3	6	-	-												
W. Va.	-	-	3	165	75	-	3	-	1												
N.C.	-	-	-	2,597	2,413	9	16	-	-												
S.C.	-	-	3	1,329	3,016	1	1	-	-												
Ga.	-	-	110	2,206	2,809	28	24	-	-												
Fla.	-	-	159	2,881	2,904	17	20	-	-												
E.S. CENTRAL	-	1	42	5,023	5,568	10	11	1	-												
Ky.	-	1	-	554	619	1	-	-	-												
Tenn.	-	-	14	1,629	1,812	4	4	-	-												
Ala.	-	-	28	1,763	1,814	5	6	1	-												
Miss.	-	-	-	1,077	1,323	-	1	-	-												
W.S. CENTRAL	-	-	12	8,045	9,290	13	4	-	-												
Ark.	-	-	12	771	1,000	1	-	-	-												
La.	-	-	-	2,025	2,097	-	1	-	-												
Okla.	-	-	-	570	884	12	3	-	-												
Tex.	-	-	-	4,679	5,309	-	-	-	-												
MOUNTAIN	-	-	191	1,732	1,734	38	48	-	1												
Mont.	-	-	8	26	12	-	-	-	-												
Idaho	-	-	4	18	18	-	1	-	-												
Wyo.	-	-	1	10	13	1	-	-	-												
Colo.	-	-	66	604	638	8	9	-	-												
N. Mex.	-	-	14	146	179	8	9	-	-												
Ariz.	-	-	42	558	553	17	28	-	1												
Utah	-	-	31	78	11	3	-	-	-												
Nev.	-	-	25	292	310	1	1	-	-												
PACIFIC	-	-	162	3,679	4,581	28	21	-	1												
Wash.	-	-	32	533	502	-	-	-	-												
Oreg.	-	-	90	159	196	21	-	-	-												
Calif.	-	-	-	2,800	3,717	-	15	-	1												
Alaska	-	-	15	117	44	1	1	-	-												
Hawaii	-	-	25	70	122	6	5	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	169	-	-	-	-												
V.I.	-	-	-	-	5	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	3	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


