
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending December 17, 2011 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	4	7	109	677	629	20	13	57	772	1,726	-	2	13	105	90						
NEW ENGLAND	-	0	1	4	8	2	3	28	272	117	-	0	1	2	2						
Conn.	-	0	0	-	-	-	0	2	-	41	-	0	0	-	-						
Maine	-	0	1	1	4	-	0	3	23	17	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	172	-	-	0	0	-	-						
N.H.	-	0	1	2	3	-	0	4	22	20	-	0	1	1	2						
R.I.	-	0	1	1	1	1	0	15	47	37	-	0	1	1	-						
Vt.	-	0	0	-	-	1	0	1	8	2	-	0	0	-	-						
MID. ATLANTIC	-	1	7	58	84	15	5	31	353	274	-	0	2	10	15						
N.J.	-	0	1	-	51	-	0	2	-	74	-	0	0	-	1						
N.Y. (Upstate)	-	0	7	47	26	15	3	27	299	188	-	0	2	10	11						
N.Y. City	-	0	2	11	5	-	0	5	50	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	5	31	44	1	0	3	21	510	-	1	5	44	45						
Ill.	-	0	4	21	16	-	0	2	9	9	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	34	15						
Mich.	-	0	2	4	2	-	0	0	-	4	-	0	2	5	-						
Ohio	-	0	1	6	7	1	0	1	9	2	-	0	1	1	-						
Wis.	-	0	0	-	19	-	0	3	3	495	-	0	1	2	27						
W.N. CENTRAL	-	1	19	159	120	-	0	8	33	733	-	0	11	15	10						
