
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 25, 2006 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	8,326	18,460	23,604	108,690	142,073	55	89	1,149	706	732	31	70	852	305	266						
NEW ENGLAND	462	604	1,513	3,886	4,237	-	0	0	-	-	-	4	34	14	14						
Conn.	108	150	1,176	507	810	N	0	0	N	N	-	0	14	2	3						
Maine	37	41	74	292	337	N	0	0	N	N	-	0	2	2	1						
Mass.	203	273	417	2,130	2,127	-	0	0	-	-	-	2	16	7	5						
N.H.	42	34	64	264	283	-	0	0	-	-	-	0	3	2	3						
R.I.	68	63	99	514	528	-	0	0	-	-	-	0	5	-	-						
Vt.	4	19	43	179	152	N	0	0	N	N	-	0	5	1	2						
MID. ATLANTIC	1,056	2,256	3,612	12,840	16,451	-	0	0	-	-	5	10	601	55	43						
N.J.	43	360	529	1,040	2,807	N	0	0	N	N	-	0	11	-	2						
N.Y. (Upstate)	309	498	1,677	2,234	2,502	N	0	0	N	N	3	3	562	11	11						
N.Y. City	256	692	1,248	4,807	5,351	N	0	0	N	N	-	2	15	13	13						
Pa.	448	696	1,085	4,759	5,791	N	0	0	N	N	2	4	21	31	17						
E.N. CENTRAL	1,182	3,113	4,060	19,375	22,490	-	0	3	4	1	7	13	162	58	50						
Ill.	154	885	1,700	4,744	5,406	-	0	0	-	-	-	1	16	5	9						
Ind.	391	387	558	3,125	3,237	N	0	0	N	N	1	0	13	3	2						
Mich.	388	542	1,019	5,203	3,064	-	0	3	2	1	1	2	7	12	7						
Ohio	80	816	1,446	4,746	7,576	-	0	1	2	-	5	4	109	31	16						
Wis.	169	380	520	1,557	3,207	N	0	0	N	N	-	4	38	7	16						
W.N. CENTRAL	636	1,113	1,355	7,843	9,065	-	0	3	-	-	2	8	51	31	36						
Iowa	167	143	221	1,293	1,067	N	0	0	N	N	-	1	11	3	7						
Kans.	167	147	269	1,364	1,258	N	0	0	N	N	1	0	5	7	5						
Minn.	-	228	294	864	1,971	-	0	3	-	-	-	2	10	14	6						
Mo.	198	435	525	3,013	3,446	-	0	1	-	-	1	2	37	6	16						
Nebr.	44	98	200	674	711	N	0	1	N	N	-	0	2	1	-						
N. Dak.	19	25	48	239	178	N	0	0	N	N	-	0	1	-	-						
S. Dak.	41	52	118	396	434	N	0	0	N	N	-	0	4	-	2						
