
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 29, 2005 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,731	1,646	4	11	92	103	151	153													
NEW ENGLAND	138	151	-	1	10	9	3	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	8	16	-	-	-	2	-	-													
Vt.	9	7	-	-	-	-	-	1													
Mass.	65	71	-	1	3	4	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	43	42	-	-	5	3	1	-													
MID. ATLANTIC	358	339	-	1	-	4	38	36													
Upstate N.Y.	103	108	-	1	-	4	8	5													
N.Y. City	63	75	-	-	-	-	10	15													
N.J.	75	64	-	-	-	-	10	3													
Pa.	117	92	-	-	-	-	10	13													
E.N. CENTRAL	241	309	1	-	4	8	15	46													
Ohio	96	85	-	-	-	2	6	15													
Ind.	55	42	-	-	4	4	-	1													
Ill.	49	110	-	-	-	-	6	21													
Mich.	18	18	1	-	-	2	2	4													
Wis.	23	54	-	-	-	-	1	5													
W.N. CENTRAL	95	92	-	2	3	3	8	11													
Minn.	38	40	-	1	3	3	2	1													
Iowa	1	1	-	1	-	-	-	-													
Mo.	32	36	-	-	-	-	5	7													
N. Dak.	2	4	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	9	5	-	-	-	-	-	2													
Kans.	13	6	-	-	-	-	-	1													
S. ATLANTIC	404	370	1	1	25	24	22	25													
Del.	-	-	-	-	-	-	-	-													
Md.	59	55	-	-	5	5	-	-													
D.C.	-	3	-	-	-	-	-	1													
Va.	39	38	-	-	-	-	-	5													
W. Va.	24	16	-	-	1	4	5	-													
N.C.	68	52	1	1	8	6	-	1													
S.C.	23	12	-	-	-	-	-	1													
Ga.	81	95	-	-	-	-	11	16													
Fla.	110	99	-	-	11	9	6	1													
E.S. CENTRAL	98	63	-	1	1	1	6	8													
Ky.	8	7	-	-	1	1	2	-													
Tenn.	72	41	-	-	-	-	-	6													
Ala.	18	13	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	91	63	1	1	8	8	7	1													
Ark.	5	2	-	-	1	1	-	-													
La.	30	13	1	-	2	-	7	1													
Okla.	54	47	-	-	5	7	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	193	167	-	4	14	25	38	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	6	1	-	-	-	1	1	-													
Colo.	39	41	-	-	1	-	9	5													
N. Mex.	18	37	-	1	4	8	2	6													
Ariz.	97	58	-	-	7	11	15	2													
Utah	16	13	-	2	-	2	7	2													
Nev.	14	12	-	1	2	3	3	1													
PACIFIC	113	92	1	-	27	21	14	7													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	40	-	-	-	-	5	3													
Calif.	48	38	1	-	27	21	2	1													
Alaska	25	5	-	-	-	-	5	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


