
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 21, 2004 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	2,875	7,693	1,160	5,158	610	1,021	411	855	36	65											
NEW ENGLAND	123	123	31	47	28	68	-	18	-	-											
Maine	5	6	-	2	1	-	-	-	-	-											
N.H.	5	6	2	-	5	1	-	-	N	N											
Vt.	4	4	-	1	-	2	-	3	-	-											
Mass.	80	81	23	33	20	37	N	N	N	N											
R.I.	4	5	-	2	2	-	-	-	-	-											
Conn.	25	21	6	9	-	28	-	15	U	U											
MID. ATLANTIC	314	413	124	241	83	154	24	17	8	14											
Upstate N.Y.	62	40	48	26	35	38	9	7	4	12											
N.Y. City	97	141	34	57	3	25	U	U	U	U											
N.J.	53	86	20	62	15	38	N	N	N	N											
Pa.	102	146	22	96	30	53	15	10	4	2											
E.N. CENTRAL	388	501	103	204	107	208	99	64	21	38											
Ohio	130	146	32	44	46	49	83	55	16	26											
Ind.	22	25	4	8	5	9	16	9	5	2											
Ill.	97	197	37	99	1	61	-	-	-	-											
Mich.	78	68	19	31	52	61	N	N	N	N											
Wis.	61	65	11	22	3	28	N	N	-	10											
W.N. CENTRAL	168	173	44	105	33	46	33	44	3	7											
Minn.	39	41	10	7	-	17	-	-	3	5											
Iowa	31	48	2	2	N	N	N	N	N	N											
Mo.	49	44	14	42	10	12	1	1	-	-											
N. Dak.	4	4	1	-	3	1	-	1	-	2											
S. Dak.	9	5	1	8	4	5	-	-	-	-											
Nebr.	12	11	2	34	1	5	-	-	N	N											
Kans.	24	20	14	12	15	6	32	42	N	N											
S. ATLANTIC	789	5,248	349	3,589	191	297	221	678	1	-											
Del.	2	8	1	59	-	1	1	-	N	N											
Md.	52	79	17	105	32	33	-	1	-	-											
D.C.	2	-	6	-	-	-	-	-	1	-											
Va.	78	44	11	28	7	1	N	N	N	N											
W. Va.	1	2	-	-	6	-	8	8	-	-											
N.C.	112	168	47	119	17	17	N	N	U	U											
S.C.	43	46	15	19	1	2	14	24	N	N											
Ga.	156	232	74	410	96	12	107	34	N	N											
Fla.	343	4,669	178	2,849	32	231	91	611	N	N											
E.S. CENTRAL	154	218	59	114	32	18	18	10	-	-											
Ky.	16	34	5	19	14	3	6	-	N	N											
Tenn.	42	70	27	27	18	15	12	10	N	N											
Ala.	60	75	15	48	-	-	-	-	N	N											
Miss.	36	39	12	20	-	-	-	-	-	-											
W.S. CENTRAL	162	293	139	382	22	81	9	19	3	5											
Ark.	23	37	7	3	2	1	1	2	-	2											
La.	11	42	12	51	-	-	8	17	1	1											
Okla.	24	21	37	69	9	11	N	N	1	2											
Tex.	104	193	83	259	11	69	N	N	1	-											
MOUNTAIN	287	199	146	118	31	87	7	5	-	1											
Mont.	9	7	2	-	-	-	-	-	-	-											
Idaho	27	15	-	2	1	5	N	N	N	N											
Wyo.	2	3	1	1	3	-	3	-	-	-											
Colo.	33	64	12	21	11	24	-	-	-	-											
N. Mex.	18	16	18	23	10	19	3	5	-	-											
Ariz.	163	62	96	64	4	37	-	-	N	N											
Utah	20	15	8	3	2	2	-	-	-	1											
Nev.	15	17	9	4	-	-	1	-	-	-											
PACIFIC	490	525	165	358	83	62	-	-	-	-											
Wash.	33	30	7	6	-	-	-	-	N	N											
Oreg.	38	28	9	8	N	N	N	N	N	N											
Calif.	365	433	141	337	60	46	N	N	N	N											
Alaska	17	14	-	2	-	-	-	-	N	N											
Hawaii	37	20	8	5	23	16	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	9	50	1	1	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


