
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 14, 2002 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	650	409	6	17	2	-	26,142	27,222													
NEW ENGLAND	1	3	-	-	-	-	1,482	1,814													
Maine	-	-	-	-	-	-	104	145													
N.H.	-	1	-	-	-	-	91	135													
Vt.	-	-	-	-	-	-	55	59													
Mass.	-	2	-	-	-	-	820	1,051													
R.I.	1	-	-	-	-	-	110	86													
Conn.	-	-	-	-	-	-	302	338													
MID. ATLANTIC	35	25	1	7	-	-	3,161	3,610													
Upstate N.Y.	7	2	1	1	-	-	1,037	831													
N.Y. City	8	1	-	5	-	-	918	907													
N.J.	9	6	-	1	-	-	471	914													
Pa.	11	16	-	-	-	-	735	958													
E.N. CENTRAL	14	15	-	2	-	-	3,693	3,724													
Ohio	10	1	-	-	-	-	966	1,008													
Ind.	2	1	-	-	-	-	328	374													
Ill.	-	12	-	2	-	-	1,157	1,075													
Mich.	2	1	-	-	-	-	644	646													
Wis.	-	-	-	-	-	-	598	621													
W.N. CENTRAL	84	59	-	3	-	-	1,794	1,601													
Minn.	-	-	-	-	-	-	421	454													
Iowa	3	2	-	1	-	-	297	235													
Mo.	76	55	-	1	-	-	646	423													
N. Dak.	-	-	-	-	-	-	25	43													
S. Dak.	-	2	-	-	-	-	70	116													
Nebr.	4	-	-	-	-	-	116	124													
Kans.	1	-	-	1	-	-	219	206													
S. ATLANTIC	338	193	-	4	-	-	6,915	6,199													
Del.	4	4	-	-	-	-	54	71													
Md.	41	35	-	1	-	-	692	591													
D.C.	-	-	-	-	-	-	50	60													
Va.	24	16	-	-	-	-	749	1,011													
W. Va.	1	-	-	-	-	-	93	87													
N.C.	199	108	-	-	-	-	917	871													
S.C.	44	18	-	2	-	-	444	589													
Ga.	18	8	-	-	-	-	1,239	1,168													
Fla.	7	4	-	1	-	-	2,677	1,751													
E.S. CENTRAL	70	82	-	-	1	-	1,918	1,757													
Ky.	5	2	-	-	-	-	241	264													
Tenn.	50	54	-	-	1	-	499	426													
Ala.	15	13	-	-	-	-	540	478													
Miss.	-	13	-	-	-	-	638	589													
W.S. CENTRAL	91	23	2	-	-	-	2,007	3,365													
Ark.	30	5	-	-	-	-	637	550													
La.	-	2	-	-	-	-	217	591													
Okla.	61	16	-	-	-	-	330	301													
Tex.	-	-	2	-	-	-	823	1,923													
MOUNTAIN	12	9	-	-	-	-	1,593	1,536													
Mont.	1	1	-	-	-	-	71	55													
Idaho	-	1	-	-	-	-	102	104													
Wyo.	3	2	-	-	-	-	43	53													
Colo.	2	1	-	-	-	-	455	417													
N. Mex.	1	1	-	-	-	-	218	192													
Ariz.	-	-	-	-	-	-	427	422													
Utah	-	3	-	-	-	-	135	162													
Nev.	5	-	-	-	-	-	142	131													
PACIFIC	5	-	3	1	1	-	3,579	3,616													
Wash.	-	-	-	-	-	-	325	370													
Oreg.	2	-	-	-	-	-	261	210													
Calif.	3	-	3	-	-	-	2,748	2,746													
Alaska	-	-	-	-	-	-	44	28													
Hawaii	-	-	-	1	1	-	201	262													
Guam	-	-	-	-	-	-	-	19													
P.R.	-	-	-	3	-	-	138	692													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


