
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 18, 1998 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	932	1,237	7	131	174	36	1,073	1,438	22	145	16										
NEW ENGLAND	52	81	-	-	6	1	182	395	-	21	-										
Maine	4	8	-	-	-	-	5	6	-	-	-										
N.H.	1	6	-	-	-	-	18	41	-	-	-										
Vt.	1	2	-	-	-	-	22	137	-	-	-										
Mass.	24	48	-	-	1	1	132	195	-	2	-										
R.I.	3	4	-	-	4	-	-	11	-	-	-										
Conn.	19	13	-	-	1	-	5	5	-	19	-										
MID. ATLANTIC	99	124	1	6	21	1	138	134	13	79	7										
Upstate N.Y.	25	26	1	3	4	1	81	55	13	79	1										
N.Y. City	8	20	-	-	1	-	-	28	-	-	6										
N.J.	28	26	-	-	3	-	-	9	-	-	-										
Pa.	38	52	-	3	13	-	57	42	-	-	-										
E.N. CENTRAL	134	169	2	20	24	13	124	164	-	-	3										
Ohio	55	62	-	10	8	6	44	54	-	-	-										
Ind.	25	17	2	2	4	6	40	11	-	-	-										
Ill.	25	55	-	-	7	-	7	18	-	-	-										
Mich.	14	15	-	8	4	1	16	25	-	-	-										
Wis.	15	20	-	-	1	-	17	56	-	-	3										
W.N. CENTRAL	74	86	1	16	7	7	84	78	-	1	-										
Minn.	6	2	1	9	3	5	55	45	-	-	-										
Iowa	11	21	-	5	3	-	13	9	-	-	-										
Mo.	33	46	-	1	-	-	9	11	-	1	-										
N. Dak.	-	-	-	1	-	-	-	1	-	-	-										
S. Dak.	5	3	-	-	-	2	4	1	-	-	-										
Nebr.	4	4	-	-	1	-	3	2	-	-	-										
Kans.	15	10	-	-	-	-	-	9	-	-	-										
S. ATLANTIC	170	212	-	20	23	-	84	130	1	4	1										
Del.	1	4	-	-	-	-	-	-	-	-	-										
Md.	16	25	-	2	4	-	17	60	-	1	-										
D.C.	-	5	-	-	-	-	-	2	-	-	-										
Va.	16	17	-	4	2	-	6	17	-	-	1										
W. Va.	4	8	-	-	-	-	1	3	-	-	-										
N.C.	23	39	-	6	6	-	38	28	-	1	-										
S.C.	24	33	-	3	1	-	7	7	-	1	-										
Ga.	37	34	-	-	2	-	-	2	-	-	-										
Fla.	49	47	-	5	8	-	15	11	1	1	-										
E.S. CENTRAL	66	88	-	-	11	1	17	32	-	-	-										
Ky.	8	20	-	-	-	1	2	9	-	-	-										
Tenn.	31	27	-	-	3	-	6	10	-	-	-										
Ala.	27	27	-	-	4	-	9	7	-	-	-										
Miss.	-	14	U	-	4	U	-	6	U	-	-										
W.S. CENTRAL	65	107	-	21	20	5	52	28	8	33	-										
Ark.	13	21	-	-	-	1	6	2	-	-	-										
La.	16	21	U	-	5	U	-	7	U	-	-										
Okla.	19	13	-	-	-	-	6	2	-	-	-										
Tex.	17	52	-	21	15	4	40	17	8	33	-										
MOUNTAIN	63	80	-	11	8	6	242	261	-	5	-										
Mont.	2	4	-	-	-	-	1	2	-	-	-										
Idaho	3	5	-	-	2	2	115	146	-	-	-										
Wyo.	3	-	-	1	-	-	7	3	-	-	-										
Colo.	15	23	-	1	2	1	34	84	-	-	-										
N. Mex.	12	14	N	N	N	-	48	12	-	1	-										
Ariz.	22	16	-	4	-	-	22	9	-	1	-										
Utah	5	9	-	1	2	3	12	1	-	2	-										
Nev.	1	9	U	4	2	U	3	4	U	1	-										
PACIFIC	209	290	3	37	54	2	150	216	-	2	5										
Wash.	24	28	-	4	3	2	80	98	-	-	-										
Oreg.	42	63	N	N	N	-	8	6	-	-	-										
Calif.	139	196	2	22	38	-	58	106	-	1	1										
Alaska	1	1	-	2	3	-	-	2	-	-	-										
Hawaii	3	2	1	9	10	-	4	4	-	1	4										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	1	6	-	2	4	-	2	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


