
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending November 27, 2004 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	35,992	39,321	10,747	21,168	4,030	5,151	1,854	1,795	637	638											
NEW ENGLAND	1,840	1,944	265	315	162	426	60	94	60	9											
Maine	80	126	5	6	8	27	2	-	3	-											
N.H.	129	131	8	8	18	29	-	-	N	N											
Vt.	57	66	3	7	8	19	8	6	3	5											
Mass.	1,052	1,133	166	211	107	187	31	N	47	N											
R.I.	108	122	18	19	21	15	19	10	7	4											
Conn.	414	366	65	64	-	149	-	78	U	U											
MID. ATLANTIC	5,012	4,515	1,048	2,195	649	874	124	120	109	89											
Upstate N.Y.	1,153	1,066	395	514	212	331	51	65	78	67											
N.Y. City	1,101	1,236	344	388	92	136	U	U	U	U											
N.J.	872	773	213	334	145	161	-	-	6	2											
Pa.	1,886	1,440	96	959	200	246	73	55	25	20											
E.N. CENTRAL	4,419	5,186	999	1,698	787	1,193	440	394	158	281											
Ohio	1,126	1,250	155	277	209	277	306	253	73	90											
Ind.	532	509	189	155	93	111	134	141	39	27											
Ill.	1,221	1,818	298	916	161	311	-	-	7	113											
Mich.	796	730	200	229	275	338	N	N	N	N											
Wis.	744	879	157	121	49	156	N	N	39	51											
W.N. CENTRAL	2,210	2,286	396	737	279	307	18	18	98	68											
Minn.	570	515	63	96	138	145	-	-	65	47											
Iowa	408	358	62	81	N	N	N	N	N	N											
Mo.	564	835	152	342	57	71	13	14	13	3											
N. Dak.	41	36	3	9	12	16	-	3	4	7											
S. Dak.	112	112	10	16	17	22	5	1	-	-											
Nebr.	172	158	33	86	14	25	-	-	6	5											
Kans.	343	272	73	107	41	28	N	N	10	6											
S. ATLANTIC	10,090	10,007	2,420	6,224	776	840	902	957	53	18											
Del.	81	96	6	161	3	6	4	1	N	N											
Md.	758	782	139	542	153	204	-	25	39	-											
D.C.	58	43	37	72	10	9	6	-	3	7											
Va.	1,111	987	151	406	68	94	N	N	N	N											
W. Va.	219	119	9	-	23	33	99	67	11	11											
N.C.	1,527	1,228	341	923	118	100	N	N	U	U											
S.C.	774	745	278	469	37	38	69	131	N	N											
Ga.	1,705	1,894	577	1,105	156	165	207	214	N	N											
Fla.	3,857	4,113	882	2,546	208	191	517	519	N	N											
E.S. CENTRAL	2,355	2,725	736	940	189	185	123	130	5	-											
Ky.	321	363	71	122	57	44	29	17	N	N											
Tenn.	523	702	327	339	132	141	93	113	N	N											
Ala.	684	710	291	311	-	-	-	-	N	N											
Miss.	827	950	47	168	-	-	1	-	5	-											
W.S. CENTRAL	3,036	5,668	2,428	5,442	228	257	58	70	113	108											
Ark.	532	761	74	100	16	6	10	20	8	7											
La.	723	817	252	429	2	1	48	50	25	21											
Okla.	367	438	432	785	60	81	N	N	43	52											
Tex.	1,414	3,652	1,670	4,128	150	169	N	N	37	28											
MOUNTAIN	2,213	2,076	769	1,154	465	483	36	8	39	65											
Mont.	179	105	4	2	-	1	-	-	-	-											
Idaho	145	168	13	29	9	18	N	N	N	N											
Wyo.	49	73	5	8	8	2	10	7	-	-											
Colo.	505	455	146	300	126	126	-	-	36	49											
N. Mex.	247	269	114	244	70	109	5	-	-	11											
Ariz.	702	635	389	463	210	193	N	N	N	N											
Utah	232	204	47	46	39	32	19	1	3	5											
Nev.	154	167	51	62	3	2	2	-	-	-											
PACIFIC	4,817	4,914	1,686	2,463	495	586	93	4	2	-											
Wash.	525	522	101	151	53	74	-	-	N	N											
Oreg.	377	395	69	206	N	N	N	N	N	N											
Calif.	3,526	3,699	1,466	2,051	329	385	N	N	N	N											
Alaska	55	90	6	11	-	-	-	-	N	N											
Hawaii	334	208	44	44	113	127	93	4	2	-											
Guam	-	43	-	34	-	-	-	-	-	-											
P.R.	272	657	8	27	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


