
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending April 30, 2005 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	2,589	3,753	55	80	7,755	8,303	-	2	-												
NEW ENGLAND	76	127	5	9	123	318	-	-	-												
Maine	6	8	-	-	101	43	-	-	-												
N.H.	3	6	-	-	-	-	-	-	-												
Vt.	-	-	-	-	21	263	-	-	-												
Mass.	50	72	4	8	1	12	-	-	-												
R.I.	3	15	-	1	-	-	-	-	-												
Conn.	14	26	1	-	-	-	-	-	-												
MID. ATLANTIC	614	573	14	22	1,636	22	-	-	-												
Upstate N.Y.	68	65	3	2	-	-	-	-	-												
N.Y. City	329	289	1	7	-	-	-	-	-												
N.J.	135	125	3	9	-	-	-	-	-												
Pa.	82	94	7	4	1,636	22	-	-	-												
E.N. CENTRAL	385	333	3	4	2,586	2,833	-	-	-												
Ohio	76	59	-	1	624	760	-	-	-												
Ind.	42	45	-	-	N	N	-	-	-												
Ill.	185	152	1	-	11	-	-	-	-												
Mich.	58	54	1	3	1,770	1,783	-	-	-												
Wis.	24	23	1	-	181	290	-	-	-												
W.N. CENTRAL	136	116	1	2	69	110	-	-	-												
Minn.	56	40	1	1	-	-	-	-	-												
Iowa	11	13	-	-	N	N	-	-	-												
Mo.	37	36	-	1	3	2	-	-	-												
N. Dak.	2	2	-	-	10	68	-	-	-												
S. Dak.	5	3	-	-	56	40	-	-	-												
Nebr.	12	6	-	-	-	-	-	-	-												
Kans.	13	16	-	-	-	-	-	-	N												
S. ATLANTIC	548	803	8	8	733	988	-	-	-												
Del.	-	7	-	-	2	3	-	-	-												
Md.	63	65	1	2	-	-	-	-	-												
D.C.	25	6	-	-	12	11	-	-	-												
Va.	71	56	1	2	93	270	-	-	-												
W. Va.	8	7	-	-	450	493	-	-	N												
N.C.	54	69	1	2	-	N	-	-	-												
S.C.	69	60	-	-	176	211	-	-	-												
Ga.	32	220	2	-	-	-	-	-	-												
Fla.	226	313	3	2	-	-	-	-	-												
E.S. CENTRAL	147	158	1	2	-	-	-	-	-												
Ky.	37	24	1	-	N	N	-	-	-												
Tenn.	76	43	-	2	-	-	-	-	-												
Ala.	34	58	-	-	-	-	-	-	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	66	606	3	7	1,326	2,902	-	-	-												
Ark.	25	43	-	-	-	-	-	-	-												
La.	-	-	-	-	83	34	-	-	-												
Okla.	41	45	-	-	-	-	-	-	-												
Tex.	-	518	3	7	1,243	2,868	-	-	-												
MOUNTAIN	51	157	2	3	1,282	1,130	-	2	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	39	15	-	-	-												
Colo.	8	42	-	1	909	872	-	-	-												
N. Mex.	3	13	-	-	72	32	-	-	-												
Ariz.	35	57	1	1	-	-	-	2	-												
Utah	5	14	1	1	262	211	-	-	-												
Nev.	-	30	-	-	-	-	-	-	-												
PACIFIC	566	880	18	23	-	-	-	-	-												
Wash.	73	66	1	1	N	N	-	-	-												
Oreg.	34	28	2	-	-	-	-	-	-												
Calif.	405	744	11	17	-	-	-	-	-												
Alaska	11	9	-	-	-	-	-	-	-												
Hawaii	43	33	4	5	-	-	-	-	-												
Guam	-	14	-	-	-	29	-	-	-												
P.R.	-	21	-	-	68	114	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


