
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 1, 2002 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	171	78	4	9	2	-	10,637	11,499													
NEW ENGLAND	-	-	-	-	-	-	648	854													
Maine	-	-	-	-	-	-	58	93													
N.H.	-	-	-	-	-	-	36	55													
Vt.	-	-	-	-	-	-	24	33													
Mass.	-	-	-	-	-	-	365	478													
R.I.	-	-	-	-	-	-	30	42													
Conn.	-	-	-	-	-	-	135	153													
MID. ATLANTIC	9	5	1	3	-	-	1,353	1,652													
Upstate N.Y.	2	-	-	1	-	-	428	356													
N.Y. City	1	1	-	2	-	-	499	428													
N.J.	-	2	1	-	-	-	176	423													
Pa.	6	2	-	-	-	-	250	445													
E.N. CENTRAL	3	7	-	2	-	-	1,828	1,611													
Ohio	3	1	-	-	-	-	516	491													
Ind.	-	-	-	-	-	-	150	141													
Ill.	-	6	-	2	-	-	559	448													
Mich.	-	-	-	-	-	-	329	258													
Wis.	-	-	-	-	-	-	274	273													
W.N. CENTRAL	17	16	-	2	-	-	845	686													
Minn.	-	-	-	-	-	-	195	227													
Iowa	-	1	-	1	-	-	130	105													
Mo.	16	15	-	-	-	-	330	159													
N. Dak.	-	-	-	-	-	-	9	11													
S. Dak.	-	-	-	-	-	-	29	42													
Nebr.	-	-	-	-	-	-	51	51													
Kans.	1	-	-	1	-	-	101	91													
S. ATLANTIC	120	27	1	1	-	-	2,575	2,467													
Del.	-	-	-	-	-	-	15	27													
Md.	17	4	1	-	-	-	261	243													
D.C.	-	-	-	-	-	-	27	29													
Va.	3	1	-	-	-	-	266	403													
W. Va.	-	-	-	-	-	-	37	36													
N.C.	59	12	-	-	-	-	388	402													
S.C.	27	4	-	-	-	-	162	276													
Ga.	13	3	-	-	-	-	618	401													
Fla.	1	3	-	1	-	-	801	650													
E.S. CENTRAL	17	13	-	-	1	-	612	608													
Ky.	-	-	-	-	-	-	103	107													
Tenn.	12	11	-	-	1	-	181	153													
Ala.	5	1	-	-	-	-	191	198													
Miss.	-	1	-	-	-	-	137	150													
W.S. CENTRAL	3	7	1	-	-	-	345	1,216													
Ark.	-	4	-	-	-	-	170	143													
La.	-	1	-	-	-	-	71	244													
Okla.	3	2	-	-	-	-	102	82													
Tex.	-	-	1	-	-	-	2	747													
MOUNTAIN	2	3	-	-	-	-	770	705													
Mont.	-	-	-	-	-	-	35	29													
Idaho	-	1	-	-	-	-	51	41													
Wyo.	1	1	-	-	-	-	20	26													
Colo.	-	-	-	-	-	-	202	198													
N. Mex.	-	-	-	-	-	-	105	91													
Ariz.	-	-	-	-	-	-	223	186													
Utah	-	1	-	-	-	-	60	78													
Nev.	1	-	-	-	-	-	74	56													
PACIFIC	-	-	1	1	1	-	1,661	1,700													
Wash.	-	-	-	-	-	-	147	162													
Oreg.	-	-	-	-	-	-	143	105													
Calif.	-	-	1	-	-	-	1,248	1,279													
Alaska	-	-	-	-	-	-	23	18													
Hawaii	-	-	-	1	1	-	100	136													
Guam	-	-	-	-	-	-	-	3													
P.R.	-	-	-	-	-	-	53	313													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	14	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


