
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2001 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2001
Malaria cummulative for 2000
Rabies, Animal cummulative for 2001
Rabies, Animal cummulative for 2000
Salmonellosis, NETSS cummulative for 2001
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, PHLIS cummulative for 2001
Salmonellosis, PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	5	16	16	50	94	387	-	455													
NEW ENGLAND	-	1	5	5	17	15	-	26													
Maine	-	-	-	-	2	3	-	-													
N.H.	-	-	-	-	-	-	-	1													
Vt.	-	-	3	1	1	-	-	-													
Mass.	-	1	2	3	14	11	-	17													
R.I.	-	-	-	-	-	-	-	1													
Conn.	-	-	-	1	-	1	-	7													
MID. ATLANTIC	-	1	6	11	3	44	-	79													
Upstate N.Y.	-	-	6	10	3	-	-	17													
N.Y. City	-	-	U	U	-	14	-	28													
N.J.	-	-	-	1	-	24	-	11													
Pa.	-	1	-	-	-	6	-	23													
E.N. CENTRAL	1	2	-	-	13	73	-	32													
Ohio	1	1	-	-	11	19	-	14													
Ind.	-	-	-	-	-	-	-	9													
Ill.	-	1	-	-	-	31	-	-													
Mich.	-	-	-	-	2	12	-	4													
Wis.	-	-	-	-	-	11	-	5													
W.N. CENTRAL	-	2	3	5	5	16	-	26													
Minn.	-	-	-	2	-	-	-	9													
Iowa	-	-	2	-	-	-	-	4													
Mo.	-	1	1	-	1	12	-	6													
N. Dak.	-	-	-	-	-	-	-	1													
S. Dak.	-	-	-	1	3	1	-	3													
Nebr.	-	-	-	-	1	1	-	1													
Kans.	-	1	-	2	-	2	-	2													
S. ATLANTIC	1	3	-	19	14	34	-	83													
Del.	-	-	-	-	-	1	-	2													
Md.	1	3	-	4	5	15	-	12													
D.C.	-	-	-	-	-	-	U	U													
Va.	-	-	-	4	-	-	-	9													
W. Va.	-	-	-	2	-	-	-	1													
N.C.	-	-	-	6	8	17	-	12													
S.C.	-	-	-	-	-	-	-	8													
Ga.	-	-	-	-	-	-	-	33													
Fla.	-	-	-	3	1	1	-	6													
E.S. CENTRAL	-	-	-	-	9	30	-	16													
Ky.	-	-	-	-	-	6	-	1													
Tenn.	-	-	-	-	1	-	-	8													
Ala.	-	-	-	-	8	6	-	4													
Miss.	-	-	-	-	-	18	-	3													
W.S. CENTRAL	-	-	-	3	-	42	-	41													
Ark.	-	-	-	-	-	2	-	7													
La.	-	-	-	-	-	3	-	10													
Okla.	-	-	-	3	-	-	-	3													
Tex.	-	-	-	-	-	37	-	21													
MOUNTAIN	-	-	1	3	8	32	-	38													
Mont.	-	-	-	1	-	-	-	-													
Idaho	-	-	-	-	2	1	-	2													
Wyo.	-	-	-	1	-	1	-	-													
Colo.	-	-	-	-	1	14	-	7													
N. Mex.	-	-	-	-	5	2	-	1													
Ariz.	-	-	1	1	-	-	-	20													
Utah	-	-	-	-	-	10	-	8													
Nev.	-	-	-	-	-	4	-	-													
PACIFIC	3	7	1	4	25	101	-	114													
Wash.	-	-	-	-	-	-	-	9													
Oreg.	1	1	-	-	1	5	-	13													
Calif.	2	6	-	4	24	83	-	86													
Alaska	-	-	1	-	-	1	-	3													
Hawaii	-	-	-	-	-	12	-	3													
Guam	-	-	-	-	-	-	U	U													
P.R.	-	-	1	1	-	1	U	U													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


