
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 9, 1999 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	-	-	4,024	9,577	16	1	2,733	5,677	18	51											
NEW ENGLAND	-	-	16	459	1	-	4	203	-	3											
Maine	-	-	-	U	-	-	-	-	-	-											
N.H.	-	-	9	12	-	-	-	4	-	-											
Vt.	-	-	6	7	-	-	3	-	-	-											
Mass.	-	-	-	233	-	-	-	75	-	3											
R.I.	-	-	-	19	-	-	-	3	-	-											
Conn.	-	-	1	188	1	-	1	121	-	-											
MID. ATLANTIC	-	-	184	1,372	1	-	99	840	-	1											
Upstate N.Y.	-	-	N	N	1	-	-	-	-	1											
N.Y. City	-	-	-	643	-	-	-	309	-	-											
N.J.	-	-	38	178	-	-	42	187	-	-											
Pa.	-	-	146	551	N	-	57	344	-	-											
E.N. CENTRAL	-	-	412	1,543	10	-	283	917	-	18											
Ohio	-	-	55	571	10	-	57	228	-	1											
Ind.	-	-	-	145	-	-	-	80	-	1											
Ill.	-	-	357	U	-	-	215	U	-	2											
Mich.	-	-	-	266	-	-	-	99	-	14											
Wis.	-	-	-	242	N	-	11	104	-	-											
W.N. CENTRAL	-	-	44	602	-	-	18	204	-	6											
Minn.	-	-	-	123	-	-	-	63	-	-											
Iowa	-	-	-	9	-	-	-	-	-	-											
Mo.	-	-	-	228	-	-	-	45	-	6											
N. Dak.	-	-	-	9	-	-	-	1	-	-											
S. Dak.	-	-	23	22	-	-	2	5	-	-											
Nebr.	-	-	-	53	-	-	-	37	-	-											
Kans.	-	-	21	158	-	-	16	53	-	-											
S. ATLANTIC	-	-	1,649	1,501	3	-	1,363	1,294	3	2											
Del.	-	-	55	20	-	-	37	30	-	-											
Md.	-	-	148	179	1	-	166	53	2	1											
D.C.	-	-	N	N	-	-	85	109	-	-											
Va.	-	-	128	28	N	-	360	-	-	-											
W. Va.	-	-	-	68	-	-	-	15	-	-											
N.C.	-	-	356	305	2	-	347	296	-	1											
S.C.	-	-	962	247	-	-	368	227	-	-											
Ga.	-	-	-	330	-	-	-	273	-	-											
Fla.	-	-	-	324	-	-	-	291	1	-											
E.S. CENTRAL	-	-	282	591	-	-	266	723	-	1											
Ky.	-	-	-	44	-	-	-	41	-	-											
Tenn.	-	-	25	106	-	-	12	173	-	1											
Ala.	-	-	257	282	-	-	254	386	-	-											
Miss.	-	-	-	159	-	-	-	123	-	-											
W.S. CENTRAL	-	-	574	1,262	-	-	475	852	-	-											
Ark.	-	-	53	32	-	-	40	56	-	-											
La.	-	-	381	231	-	-	350	250	-	-											
Okla.	-	-	140	177	-	-	85	105	-	-											
Tex.	-	-	-	822	-	-	-	441	-	-											
MOUNTAIN	-	-	388	457	1	1	169	202	2	2											
Mont.	-	-	-	6	-	-	-	-	-	-											
Idaho	-	-	-	35	-	-	-	5	1	1											
Wyo.	-	-	-	9	-	-	-	1	-	1											
Colo.	-	-	85	87	1	1	46	90	-	-											
N. Mex.	-	-	-	87	-	-	-	22	1	-											
Ariz.	-	-	303	131	-	-	123	70	-	-											
Utah	-	-	-	45	-	-	-	5	-	-											
Nev.	-	-	-	57	-	-	-	9	-	-											
PACIFIC	-	-	475	1,790	-	-	56	442	13	18											
Wash.	-	-	-	212	-	-	-	35	-	-											
Oreg.	-	-	-	280	-	-	-	48	-	-											
Calif.	-	-	467	1,236	-	-	56	347	13	18											
Alaska	-	-	7	21	-	-	-	6	-	-											
Hawaii	-	-	1	41	N	-	-	6	-	-											
Guam	-	-	-	5	N	-	-	-	-	-											
P.R.	-	-	U	U	-	U	-	28	-	-											
V.I.	-	-	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	3	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


