
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2007 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	72	255	670	862	2,065	50	107	171	392	658	6	35	118	40	216						
NEW ENGLAND	1	21	53	16	236	1	12	26	59	54	-	0	1	-	-						
Conn.	-	1	9	-	14	-	4	14	29	13	-	0	0	-	-						
Maine	-	1	14	7	15	1	2	8	10	8	N	0	0	N	N						
Mass.	-	7	28	-	184	-	2	17	-	25	-	0	1	-	-						
N.H.	1	2	27	6	2	-	1	5	8	1	-	0	1	-	-						
R.I.	-	0	17	-	-	-	0	3	4	1	-	0	1	-	-						
Vt.	-	1	14	3	21	-	2	5	8	6	-	0	0	-	-						
MID. ATLANTIC	14	36	149	224	232	-	17	57	38	88	-	1	6	5	5						
N.J.	-	4	13	7	65	-	0	0	-	-	-	0	1	-	1						
N.Y. (Upstate)	11	21	143	158	41	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	8	-	12	-	1	5	8	-	-	0	3	-	1						
Pa.	3	11	26	59	114	-	16	56	30	88	-	1	4	5	3						
E.N. CENTRAL	15	41	77	193	388	-	2	18	-	3	-	1	6	1	2						
Ill.	-	8	17	-	102	-	0	7	-	1	-	0	4	-	1						
Ind.	1	4	23	1	19	-	0	2	-	-	-	0	1	-	-						
Mich.	2	11	39	48	78	-	0	5	-	2	-	0	1	1	-						
Ohio	12	11	56	144	135	-	0	9	-	-	-	0	4	-	1						
Wis.	-	2	8	-	54	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	5	19	84	68	283	3	6	20	21	17	1	2	14	7	3						
Iowa	-	5	12	18	84	-	1	7	2	3	-	0	1	-	-						
Kans.	4	4	13	36	79	3	2	5	13	3	-	0	1	-	-						
Minn.	-	0	76	-	-	-	0	6	2	1	-	0	2	-	-						
Mo.	-	5	13	7	87	-	1	6	1	1	1	2	12	7	3						
Nebr.	-	1	9	1	30	-	0	0	-	-	-	0	5	-	-						
N. Dak.	1	0	9	1	2	-	0	7	3	2	-	0	0	-	-						
