
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 2, 2007 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	42	255	1,386	2,950	5,887	47	96	168	1,684	2,131	25	24	157	314	476						
NEW ENGLAND	1	36	77	456	950	4	11	25	196	226	-	0	9	-	5						
Conn.	-	2	10	18	27	1	4	14	67	54	-	0	0	-	-						
Maine	1	2	15	33	23	1	2	8	31	34	N	0	0	N	N						
Mass.	-	28	45	369	692	-	0	7	-	92	-	0	1	-	4						
N.H.	-	2	9	20	117	2	1	4	16	8	-	0	1	-	1						
R.I.	-	0	31	-	22	-	0	3	16	9	-	0	9	-	-						
Vt.	-	1	9	16	69	-	2	10	66	29	-	0	0	-	-						
MID. ATLANTIC	1	32	155	425	708	1	13	38	303	167	1	1	7	19	19						
N.J.	-	3	16	46	140	-	0	0	-	-	-	0	4	-	9						
N.Y. (Upstate)	-	18	146	255	256	-	-	-	-	-	-	0	2	-	1						
N.Y. City	-	1	6	-	35	-	1	5	24	4	-	0	3	6	4						
Pa.	1	9	20	124	277	1	12	37	279	163	1	0	3	13	5						
E.N. CENTRAL	10	41	80	603	824	5	2	18	37	32	-	1	9	7	21						
Ill.	-	9	23	62	214	-	0	7	3	7	-	0	4	1	13						
Ind.	2	2	44	13	80	1	0	2	5	2	-	0	1	1	1						
Mich.	-	10	39	116	152	-	0	5	8	17	-	0	1	1	-						
Ohio	8	14	56	340	273	4	0	12	21	6	-	0	4	4	6						
Wis.	-	3	17	72	105	-	0	0	-	-	-	0	0	-	1						
W.N. CENTRAL	4	17	151	179	606	5	6	19	90	102	3	4	13	58	38						
Iowa	-	4	16	52	156	-	1	7	10	13	-	0	1	-	1						
Kans.	2	3	14	66	129	4	2	6	54	33	-	0	1	-	-						
Minn.	-	0	119	-	75	-	0	6	6	12	1	0	2	1	1						
Mo.	1	3	10	35	169	-	1	6	8	9	1	3	12	54	34						
Nebr.	1	1	4	8	61	-	0	0	-	-	1	0	5	3	2						
N. Dak.	-	0	18	4	4	1	0	7	7	13	-	0	0	-	-						
S. Dak.	-	0	4	14	12	-	0	3	5	22	-	0	0	-	-						
