
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 18, 2003 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type B cummulative for 2003
Hepatitis (Viral, Acute), Type B cummulative for 2002
Hepatitis (Viral, Acute), Type C cummulative for 2003
Hepatitis (Viral, Acute), Type c cummulative for 2002
Legionellosis cummulative for 2003
Legionellosis cummulative for 2002
Listeriosis cummulative for 2003
Listeriosis cummulative for 2002
Lyme Disease cummulative for 2003
Lyme Disease cummulative for 2002

tab delimited data:
test
UNITED STATES	287	230	45	190	35	41	17	21	96	199											
NEW ENGLAND	6	13	-	1	1	2	1	1	1	27											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	1	-	-	-	-	1	-	-	3											
Vt.	1	1	-	1	-	-	-	-	1	-											
Mass.	5	8	-	-	-	2	-	-	-	24											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	3	-	-	1	-	-	1	-	-											
MID. ATLANTIC	56	60	12	111	1	3	5	4	66	121											
Upstate N.Y.	-	1	-	1	1	-	-	2	29	66											
N.Y. City	43	40	-	-	-	-	4	1	35	-											
N.J.	11	13	12	109	-	-	-	-	-	35											
Pa.	2	6	-	1	-	3	1	1	2	20											
E.N. CENTRAL	24	27	6	1	16	19	3	6	1	3											
Ohio	10	4	-	-	9	13	3	2	1	1											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	3	1	-	-	-	-	-	-	-											
Mich.	14	16	5	1	7	5	-	1	-	-											
Wis.	-	4	-	-	-	1	-	3	U	2											
W.N. CENTRAL	8	9	9	36	1	2	1	-	-	4											
Minn.	-	1	-	-	-	-	1	-	-	1											
Iowa	-	1	-	-	-	-	-	-	-	1											
Mo.	7	4	9	34	-	1	-	-	-	2											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	2	-	1	-	-	-	-											
Kans.	1	2	-	-	1	-	-	-	-	-											
S. ATLANTIC	152	61	12	5	14	4	4	1	23	38											
Del.	-	1	-	1	-	1	-	-	-	-											
Md.	2	8	-	1	3	2	-	-	13	35											
D.C.	-	1	-	-	-	-	-	-	-	2											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	N	N	-	-	-	-											
N.C.	2	11	1	1	2	-	1	-	5	-											
S.C.	-	2	-	-	-	-	-	-	-	-											
Ga.	124	11	1	-	1	-	1	-	-	-											
Fla.	24	27	10	2	8	1	2	1	5	1											
E.S. CENTRAL	3	12	-	6	1	-	2	-	-	-											
Ky.	-	2	-	-	-	-	-	-	-	-											
Tenn.	2	-	-	-	1	-	-	-	-	-											
Ala.	1	3	-	-	-	-	2	-	-	-											
Miss.	-	7	-	6	-	-	-	-	-	-											
W.S. CENTRAL	1	5	1	24	-	2	-	2	-	4											
Ark.	-	4	-	-	-	-	-	-	-	-											
La.	1	1	1	-	-	-	-	-	-	1											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	24	-	2	-	2	-	3											
MOUNTAIN	27	13	3	3	1	1	1	1	-	-											
Mont.	1	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	1	1	-	2	-	-	-	-	-	-											
Colo.	7	3	3	1	-	-	-	1	-	-											
N. Mex.	-	2	-	-	-	-	-	-	-	-											
Ariz.	16	-	-	-	1	-	1	-	-	-											
Utah	2	2	-	-	-	1	-	-	-	-											
Nev.	-	5	-	-	-	-	-	-	-	-											
PACIFIC	10	30	2	3	-	8	-	6	5	2											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	3	11	-	2	N	N	-	-	2	-											
Calif.	7	18	2	1	-	8	-	6	3	2											
Alaska	-	1	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	-	-	-	-	N	N											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	3	-	-	-	-	-	1	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


