
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 15, 2006 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Neuroinvasive cummulative for 2005
West Nile virus disease † Non-neuroinvasive current week
West Nile virus disease † Non-neuroinvasive previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive cummulative for 2005

tab delimited data:
test
UNITED STATES	-	1	155	9	75	-	0	203	5	159											
NEW ENGLAND	-	0	3	-	-	-	0	2	-	-											
Conn.	-	0	2	-	-	-	0	1	-	-											
Maine	-	0	0	-	-	-	0	0	-	-											
Mass.	-	0	3	-	-	-	0	1	-	-											
N.H.	-	0	0	-	-	-	0	0	-	-											
R.I.	-	0	1	-	-	-	0	0	-	-											
Vt.	-	0	0	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	10	-	1	-	0	4	-	2											
N.J.	-	0	1	-	-	-	0	2	-	-											
N.Y. (Upstate)	-	0	7	-	-	-	0	2	-	-											
N.Y. City	-	0	2	-	-	-	0	2	-	-											
Pa.	-	0	3	-	1	-	0	2	-	2											
E.N. CENTRAL	-	0	39	-	6	-	0	18	-	1											
Ill.	-	0	25	-	2	-	0	16	-	-											
Ind.	-	0	2	-	1	-	0	1	-	-											
Mich.	-	0	14	-	-	-	0	3	-	-											
Ohio	-	0	9	-	2	-	0	4	-	-											
Wis.	-	0	3	-	1	-	0	2	-	1											
W.N. CENTRAL	-	0	26	3	7	-	0	80	4	29											
Iowa	-	0	3	-	-	-	0	5	1	-											
Kans.	-	0	3	-	1	N	0	0	N	N											
Minn.	-	0	5	-	2	-	0	5	-	3											
Mo.	-	0	4	1	1	-	0	3	-	-											
Nebr.	-	0	9	1	1	-	0	24	1	4											
N. Dak.	-	0	4	-	-	-	0	15	-	4											
S. Dak.	-	0	7	1	2	-	0	33	2	18											
S. ATLANTIC	-	0	6	-	2	-	0	4	-	2											
Del.	-	0	1	-	-	-	0	0	-	-											
D.C.	-	0	1	-	-	-	0	1	-	-											
Fla.	-	0	2	-	2	-	0	4	-	1											
Ga.	-	0	3	-	-	-	0	3	-	1											
Md.	-	0	2	-	-	-	0	1	-	-											
N.C.	-	0	1	-	-	-	0	1	-	-											
S.C.	-	0	1	-	-	-	0	0	-	-											
Va.	-	0	0	-	-	-	0	1	-	-											
W. Va.	-	0	0	-	-	N	0	0	N	N											
E.S. CENTRAL	-	0	10	2	2	-	0	5	-	3											
Ala.	-	0	1	-	-	-	0	2	-	-											
Ky.	-	0	1	-	-	-	0	0	-	-											
Miss.	-	0	9	2	2	-	0	5	-	3											
Tenn.	-	0	3	-	-	-	0	1	-	-											
W.S. CENTRAL	-	0	32	2	19	-	0	22	-	10											
Ark.	-	0	3	-	-	-	0	2	-	2											
La.	-	0	20	-	5	-	0	9	-	3											
Okla.	-	0	6	-	1	-	0	3	-	-											
Tex.	-	0	16	2	13	-	0	13	-	5											
MOUNTAIN	-	0	16	1	6	-	0	39	1	25											
Ariz.	-	0	8	-	4	-	0	8	-	10											
Colo.	-	0	5	1	-	-	0	13	-	11											
Idaho	-	0	2	-	-	-	0	3	1	-											
Mont.	-	0	3	-	-	-	0	9	-	-											
Nev.	-	0	3	-	1	-	0	8	-	2											
N. Mex.	-	0	3	-	1	-	0	4	-	2											
Utah	-	0	6	-	-	-	0	8	-	-											
Wyo.	-	0	2	-	-	-	0	1	-	-											
PACIFIC	-	0	50	1	32	-	0	90	-	87											
Alaska	-	0	0	-	-	-	0	0	-	-											
Calif.	-	0	50	1	32	-	0	89	-	86											
Hawaii	-	0	0	-	-	-	0	0	-	-											
Oreg.	-	0	1	-	-	-	0	2	-	1											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	-	0	0	-	-	-	0	0	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious 
Diseases (ArboNet Surveillance).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


