
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2008 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	62	167	264	96	343	26	107	191	67	112	2	33	146	5	12						
NEW ENGLAND	-	25	43	-	71	1	11	22	1	19	-	0	1	-	-						
Conn.	-	1	5	-	5	-	4	10	-	9	-	0	0	-	-						
Maine	-	1	6	-	2	-	1	5	-	2	-	0	1	-	-						
Mass.	-	19	33	-	57	-	0	0	-	N	-	0	1	-	-						
N.H.	-	1	5	-	7	-	1	4	-	3	-	0	1	-	-						
R.I.	-	0	7	-	-	1	1	4	1	-	-	0	0	-	-						
Vt.	-	0	9	-	-	-	2	13	-	5	-	0	0	-	-						
MID. ATLANTIC	20	22	50	23	52	5	26	56	14	37	1	1	7	1	1						
N.J.	-	2	10	-	10	N	0	0	N	N	-	0	3	-	-						
N.Y. (Upstate)	1	9	31	2	21	5	9	20	14	7	-	0	1	-	-						
N.Y. City	-	2	6	-	9	-	1	5	-	4	-	0	3	-	1						
Pa.	19	7	21	21	12	-	16	44	-	26	1	0	3	1	-						
E.N. CENTRAL	15	26	79	31	80	-	4	48	-	-	-	1	4	-	-						
Ill.	-	3	12	-	16	-	1	15	-	-	-	0	3	-	-						
Ind.	-	0	9	-	-	-	0	1	-	-	-	0	2	-	-						
Mich.	-	4	16	-	9	-	1	27	-	-	-	0	1	-	-						
Ohio	15	11	54	31	38	-	1	11	-	-	-	0	2	-	-						
Wis.	-	0	24	-	17	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	9	12	65	13	37	-	4	13	-	-	1	5	37	3	-						
Iowa	-	2	10	-	17	-	0	3	-	-	-	0	4	-	-						
Kans.	-	2	8	-	12	-	2	7	-	-	-	0	2	-	-						
Minn.	-	0	53	-	-	-	0	6	-	-	-	0	1	-	-						
Mo.	7	2	9	9	2	-	0	3	-	-	1	5	29	3	-						
Nebr.	2	1	12	3	2	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	-	-	0	5	-	-	-	0	0	-	-						
S. Dak.	-	0	7	1	4	-	0	2	-	-	-	0	1	-	-						
S. ATLANTIC	14	16	48	17	28	14	39	156	45	45	-	15	111	1	4						
Del.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	1						
D.C.	-	0	1	-	1	-	0	0	-	-	-	0	1	-	-						
Fla.	1	4	17	3	5	1	0	124	4	-	-	0	3	-	-						
Ga.	-	0	3	-	4	-	5	12	11	6	-	1	6	-	1						
Md.	3	2	6	4	8	-	8	18	8	17	-	1	4	1	1						
N.C.	10	3	34	10	-	3	9	19	10	14	-	5	96	-	-						
S.C.	-	1	4	-	3	-	0	11	-	2	-	0	7	-	-						
Va.	-	2	11	-	7	10	13	31	12	6	-	2	11	-	1						
W. Va.	-	0	12	-	-	-	0	11	-	-	-	0	3	-	-						
E.S. CENTRAL	1	6	35	2	19	1	3	6	1	4	-	4	16	-	7						
