
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 18, 2000 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	6,288	6,945	99,460	140,011	220	285	271	240	154	194											
NEW ENGLAND	511	352	4,261	4,378	10	14	21	38	22	34											
Maine	6	5	247	146	2	1	2	2	2	-											
N.H.	5	13	216	224	-	1	4	2	4	2											
Vt.	1	4	118	91	5	1	1	3	2	-											
Mass.	370	238	1,657	1,889	1	8	6	18	6	16											
R.I.	17	20	477	459	2	-	-	1	-	1											
Conn.	112	72	1,546	1,569	-	3	8	12	8	15											
MID. ATLANTIC	1,592	1,492	4,032	16,434	19	56	25	13	37	2											
Upstate N.Y.	65	76	N	N	12	20	25	9	31	-											
N.Y. City	986	835	-	7,966	4	28	-	1	-	1											
N.J.	387	370	668	2,715	-	3	-	3	1	1											
Pa.	154	211	3,364	5,753	3	5	N	N	5	-											
E.N. CENTRAL	590	489	18,024	21,933	30	53	37	45	8	28											
Ohio	92	97	4,569	7,041	13	7	10	20	3	9											
Ind.	56	52	2,256	2,414	3	3	5	9	1	7											
Ill.	353	231	5,061	5,814	-	6	11	8	-	5											
Mich.	67	81	4,629	4,226	6	8	10	8	2	4											
Wis.	22	28	1,509	2,438	8	29	N	N	2	3											
W.N. CENTRAL	151	161	5,138	8,986	16	21	66	52	29	53											
Minn.	32	28	1,238	1,659	4	10	16	11	10	12											
Iowa	10	13	605	481	2	1	11	5	4	2											
Mo.	70	84	902	4,142	6	4	31	4	10	3											
N. Dak.	-	3	-	195	1	-	2	2	1	1											
S. Dak.	2	3	371	451	1	2	-	-	-	1											
Nebr.	7	10	667	807	2	2	2	16	2	34											
Kans.	30	20	1,355	1,251	-	2	4	14	2	-											
S. ATLANTIC	1,531	1,832	18,454	29,119	37	43	24	22	15	12											
Del.	26	31	607	653	-	-	-	1	-	-											
Md.	153	252	1,303	2,802	3	4	5	1	1	-											
D.C.	112	69	628	N	-	3	-	-	U	U											
Va.	115	102	2,968	3,375	1	-	5	6	5	2											
W. Va.	6	14	400	465	-	-	2	-	1	1											
N.C.	75	125	4,000	4,750	3	1	6	5	1	4											
S.C.	156	128	669	4,813	-	-	-	1	-	1											
Ga.	183	207	3,442	5,943	22	30	2	1	3	U											
Fla.	705	904	4,437	6,318	8	5	4	7	4	4											
E.S. CENTRAL	281	300	9,702	9,728	7	3	13	18	8	11											
Ky.	37	37	1,683	1,655	-	1	5	5	3	4											
Tenn.	105	130	2,956	2,919	1	1	5	7	5	3											
Ala.	92	69	2,810	3,051	6	1	1	3	-	3											
Miss.	47	64	2,253	2,103	-	-	2	3	-	1											
W.S. CENTRAL	542	980	17,098	18,034	7	15	10	7	12	12											
Ark.	20	34	939	1,241	1	-	4	2	1	2											
La.	92	67	3,442	2,037	-	12	-	3	7	2											
Okla.	16	19	1,517	1,737	1	1	3	1	3	1											
Tex.	414	860	11,200	13,019	5	2	3	1	1	7											
MOUNTAIN	213	207	4,416	7,238	16	23	28	14	9	11											
Mont.	3	3	-	225	1	1	8	-	-	-											
Idaho	3	5	64	399	1	2	4	-	-	2											
Wyo.	1	-	168	164	1	-	2	1	2	1											
Colo.	52	56	747	1,651	4	3	8	4	3	1											
N. Mex.	26	9	416	933	1	10	-	1	-	-											
Ariz.	56	86	1,930	2,836	2	7	3	3	3	1											
Utah	28	27	468	370	6	N	2	5	1	5											
Nev.	44	21	623	660	-	-	1	-	-	1											
PACIFIC	877	1,132	18,335	24,161	78	57	47	31	14	31											
Wash.	102	58	2,670	2,573	N	N	5	3	7	12											
Oreg.	22	32	1,005	1,263	1	3	5	12	4	10											
Calif.	727	1,021	13,531	19,221	77	54	34	16	-	9											
Alaska	-	5	496	424	-	-	-	-	-	-											
Hawaii	26	16	633	680	-	-	3	-	3	-											
Guam	9	1	-	98	-	-	N	N	U	U											
P.R.	153	215	142	U	-	-	-	1	U	U											
V.I.	6	3	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


