
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 1, 2007 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	41	94	261	3,615	3,940	2	30	110	1,061	894											
NEW ENGLAND	1	6	27	294	259	-	3	11	76	72											
Conn.	-	0	23	91	68	-	0	6	-	23											
Maine	-	0	3	21	15	-	0	1	1	-											
Mass.	1	3	12	138	130	-	2	6	58	42											
N.H.	-	0	4	29	30	-	0	2	7	6											
R.I.	-	0	12	-	5	-	0	3	8	1											
Vt.	-	0	2	15	11	-	0	1	2	-											
MID. ATLANTIC	5	17	41	682	725	-	5	27	171	126											
N.J.	-	2	9	89	122	-	1	4	21	47											
N.Y. (Upstate)	5	5	27	230	236	-	2	15	76	65											
N.Y. City	-	4	13	165	132	-	1	25	74	14											
Pa.	-	5	11	198	235	N	0	0	N	N											
E.N. CENTRAL	4	16	32	631	774	-	5	14	162	238											
Ill.	-	4	13	165	237	-	1	6	38	63											
Ind.	-	2	17	100	90	-	0	10	15	42											
Mich.	1	4	10	156	162	-	1	4	56	54											
Ohio	3	4	14	182	198	-	1	7	44	47											
Wis.	-	1	6	28	87	-	0	2	9	32											
W.N. CENTRAL	1	5	32	242	259	-	2	8	74	73											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	11											
Minn.	-	0	29	124	121	-	1	6	51	43											
Mo.	1	2	6	54	53	-	0	2	13	11											
Nebr.	-	0	3	18	22	-	0	2	8	5											
N. Dak.	-	0	2	11	9	-	0	2	1	3											
S. Dak.	-	0	2	7	9	-	0	0	-	-											
S. ATLANTIC	16	21	52	909	870	1	3	14	197	59											
Del.	-	0	1	7	9	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	1											
Fla.	7	6	16	220	203	1	0	5	43	-											
Ga.	2	5	13	172	182	-	0	5	44	-											
Md.	3	4	10	164	167	-	1	6	47	48											
N.C.	1	0	22	129	126	-	0	0	-	-											
S.C.	-	1	7	75	53	-	0	3	27	-											
Va.	3	2	11	113	100	-	0	4	29	-											
W. Va.	-	0	3	21	21	-	0	4	7	10											
E.S. CENTRAL	1	4	13	162	161	-	1	6	63	15											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	32	38	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	15											
Tenn.	1	3	13	130	123	-	0	6	60	-											
W.S. CENTRAL	3	6	90	234	295	1	4	45	153	154											
Ark.	-	0	2	17	23	-	0	2	7	18											
La.	-	0	4	16	13	-	0	4	24	18											
Okla.	-	1	23	56	74	-	1	15	37	33											
Tex.	3	3	64	145	185	1	2	27	85	85											
MOUNTAIN	10	9	21	367	519	-	4	12	141	141											
Ariz.	2	4	11	117	271	-	2	7	84	80											
Colo.	4	3	9	119	91	-	1	4	32	36											
Idaho	1	0	2	12	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	3	1	5	40	96	-	0	4	18	22											
Utah	-	2	7	72	51	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	-	3	9	94	78	-	1	4	24	16											
Alaska	-	0	3	26	N	-	0	2	22	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	68	78	-	0	2	2	16											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


