
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 20, 1999 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	37,420	40,205	517,388	524,226	2,138	3,434	3,052	2,687	2,098	2,046											
NEW ENGLAND	1,904	1,602	17,713	17,832	134	143	293	306	323	260											
Maine	68	26	904	950	27	29	36	35	-	-											
N.H.	38	25	845	864	17	15	31	43	31	44											
Vt.	15	18	417	375	35	26	32	19	20	17											
Mass.	1,231	843	8,166	7,417	49	66	166	139	175	148											
R.I.	90	118	2,075	2,021	6	7	28	12	26	1											
Conn.	462	572	5,306	6,205	-	-	U	58	71	50											
MID. ATLANTIC	9,663	10,597	53,094	54,848	396	529	286	277	78	84											
Upstate N.Y.	1,146	1,311	N	N	157	314	226	199	-	-											
N.Y. City	5,100	5,853	21,963	23,302	116	191	10	12	17	12											
N.J.	1,741	1,930	9,152	10,499	36	24	50	66	32	51											
Pa.	1,676	1,503	21,979	21,047	87	N	N	N	29	21											
E.N. CENTRAL	2,519	2,806	71,473	88,033	536	689	654	415	454	344											
Ohio	403	568	21,000	24,027	60	70	228	111	181	69											
Ind.	285	447	9,913	9,864	38	52	99	93	59	49											
Ill.	1,201	1,038	22,015	23,799	67	81	216	108	81	76											
Mich.	504	577	18,545	17,936	45	37	111	103	73	64											
Wis.	126	176	U	12,407	326	449	N	N	60	86											
W.N. CENTRAL	846	769	31,605	31,228	200	313	573	450	386	384											
Minn.	161	147	6,045	6,282	77	130	223	188	168	201											
Iowa	72	62	4,214	4,058	54	63	112	91	73	58											
Mo.	408	365	12,030	11,048	29	25	60	47	58	61											
N. Dak.	6	5	707	935	18	30	16	11	14	15											
S. Dak.	13	15	1,338	1,381	7	24	44	32	59	36											
Nebr.	61	60	3,045	2,596	14	35	97	48	-	-											
Kans.	125	115	4,226	4,928	1	6	21	33	14	13											
S. ATLANTIC	10,275	10,643	112,358	101,355	345	323	312	234	155	165											
Del.	147	122	2,400	2,291	-	3	6	-	3	2											
Md.	1,242	1,479	10,333	6,560	18	18	41	40	4	14											
D.C.	496	750	N	N	8	25	1	1	U	U											
Va.	689	882	12,624	12,023	26	20	69	N	55	51											
W. Va.	61	70	1,204	2,160	3	2	11	12	8	10											
N.C.	688	753	19,221	19,847	23	N	66	54	51	47											
S.C.	847	684	10,513	14,761	-	-	20	15	14	12											
Ga.	1,466	1,063	29,738	21,598	123	115	32	73	-	-											
Fla.	4,639	4,840	26,325	22,115	144	140	66	39	20	29											
E.S. CENTRAL	1,666	1,680	39,822	36,270	27	24	117	114	58	64											
Ky.	236	262	6,633	5,705	6	10	46	34	-	-											
Tenn.	643	620	12,221	12,097	6	8	43	51	38	40											
Ala.	423	455	11,157	9,060	11	N	23	23	16	20											
Miss.	364	343	9,811	9,408	4	6	5	6	4	4											
W.S. CENTRAL	3,822	5,088	72,032	79,738	82	899	125	97	118	99											
Ark.	158	189	5,307	3,536	2	6	15	11	8	10											
La.	742	835	11,220	13,470	22	15	9	5	14	7											
Okla.	113	274	7,269	8,518	10	N	28	23	24	8											
Tex.	2,809	3,790	48,236	54,214	48	878	73	58	72	74											
MOUNTAIN	1,469	1,411	27,329	29,196	90	120	306	351	195	243											
Mont.	11	28	1,393	1,204	10	10	24	15	-	5											
Idaho	21	28	1,517	1,809	8	17	63	38	20	25											
Wyo.	10	3	670	625	1	2	15	53	14	55											
Colo.	271	286	5,180	7,026	12	18	108	85	87	67											
N. Mex.	78	188	3,308	3,280	39	46	12	19	5	20											
Ariz.	745	550	10,769	10,325	12	18	30	43	20	26											
Utah	129	114	1,910	1,927	N	N	38	74	47	21											
Nev.	204	214	2,582	3,000	8	9	16	24	2	24											
PACIFIC	5,256	5,609	91,962	85,726	328	394	386	443	331	403											
Wash.	305	369	10,702	9,740	N	N	147	102	158	127											
Oreg.	185	146	5,204	5,034	88	65	73	102	68	98											
Calif.	4,673	4,918	71,906	67,000	240	326	155	232	94	162											
Alaska	13	17	1,611	1,670	-	-	1	7	1	-											
Hawaii	80	159	2,539	2,282	-	3	10	-	10	16											
Guam	5	1	302	377	-	-	N	N	U	U											
P.R.	1,094	1,585	U	U	-	N	5	5	U	U											
V.I.	36	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


