
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 26, 2005 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	1,148	1,406	709	721	177	204	1,346	1,662	51	98											
NEW ENGLAND	39	68	2	6	15	27	43	33	-	-											
Maine	2	2	N	N	-	-	1	-	-	-											
N.H.	3	7	-	-	-	N	3	1	-	-											
Vt.	5	1	2	2	1	1	-	-	-	-											
Mass.	26	56	-	2	14	24	37	18	-	-											
R.I.	3	2	-	2	-	2	1	1	-	-											
Conn.	-	-	-	-	U	U	1	13	-	-											
MID. ATLANTIC	234	226	70	45	34	27	160	222	12	18											
Upstate N.Y.	88	68	28	17	21	16	15	10	9	1											
N.Y. City	24	46	U	U	U	U	106	135	2	6											
N.J.	48	47	N	N	3	3	22	44	1	10											
Pa.	74	65	42	28	10	8	17	33	-	1											
E.N. CENTRAL	153	289	153	169	41	54	111	180	2	19											
Ohio	49	75	102	132	24	28	50	53	-	1											
Ind.	28	20	51	37	7	8	10	9	-	1											
Ill.	2	82	-	-	6	-	34	73	1	3											
Mich.	67	90	-	N	-	N	13	37	-	14											
Wis.	7	22	N	N	4	18	4	8	1	-											
W.N. CENTRAL	69	106	13	5	23	16	35	39	-	-											
Minn.	25	48	-	-	12	7	2	6	-	-											
Iowa	N	N	N	N	-	N	1	2	-	-											
Mo.	21	21	12	4	1	4	29	23	-	-											
N. Dak.	1	3	-	-	1	-	-	-	-	-											
S. Dak.	5	7	1	1	-	-	-	-	-	-											
Nebr.	7	7	-	-	2	3	1	5	-	-											
Kans.	10	20	N	N	7	2	2	3	-	-											
S. ATLANTIC	241	264	328	363	25	14	381	423	10	14											
Del.	-	1	-	2	-	N	2	2	-	-											
Md.	77	61	-	-	19	10	78	66	4	3											
D.C.	2	2	4	3	2	4	28	17	-	1											
Va.	10	14	N	N	-	N	20	7	3	1											
W. Va.	7	9	19	34	4	-	2	3	-	-											
N.C.	25	33	N	N	U	U	51	37	1	1											
S.C.	6	18	-	33	-	N	16	31	-	2											
Ga.	50	65	131	104	-	N	18	73	-	1											
Fla.	64	61	174	187	-	N	166	187	2	5											
E.S. CENTRAL	43	65	46	52	-	-	87	87	10	4											
Ky.	12	23	7	10	N	N	6	14	-	-											
Tenn.	31	42	39	42	-	N	33	38	8	1											
Ala.	-	-	-	-	-	N	41	26	2	2											
Miss.	-	-	-	-	-	-	7	9	-	1											
W.S. CENTRAL	52	109	45	25	24	48	232	252	12	23											
Ark.	6	3	6	3	2	4	12	14	-	3											
La.	4	1	39	22	6	12	12	51	-	-											
Okla.	33	18	N	N	10	15	11	6	1	2											
Tex.	9	87	N	N	6	17	197	181	11	18											
MOUNTAIN	216	152	29	12	15	18	69	84	5	3											
Mont.	-	-	-	-	-	-	4	-	-	-											
Idaho	1	3	N	N	-	N	6	7	-	-											
Wyo.	1	4	11	4	-	-	-	1	-	-											
Colo.	95	25	N	N	14	16	4	14	-	-											
N. Mex.	14	31	-	5	-	-	7	22	1	1											
Ariz.	85	79	N	N	-	N	28	36	4	2											
Utah	20	10	17	1	1	2	1	2	-	-											
Nev.	-	-	1	2	-	-	19	2	-	-											
PACIFIC	101	127	23	44	-	-	228	342	-	17											
Wash.	N	N	N	N	N	N	36	21	-	-											
Oreg.	N	N	N	N	-	N	2	10	-	-											
Calif.	75	99	N	N	-	N	188	307	-	17											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	26	28	23	44	-	-	2	4	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	27	24	3	2											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


