
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 18, 2003 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	-	1,842	24,204	39,000	193	85	54	110	-	-											
NEW ENGLAND	-	81	706	1,363	-	-	2	2	-	-											
Maine	-	-	89	73	N	N	-	-	-	-											
N.H.	-	2	81	97	-	-	-	-	-	-											
Vt.	-	3	41	47	-	-	1	-	-	-											
Mass.	-	76	185	519	-	-	1	2	-	-											
R.I.	-	-	151	168	-	-	-	-	-	-											
Conn.	-	-	159	459	-	-	-	-	-	-											
MID. ATLANTIC	-	427	538	4,138	-	-	20	15	-	-											
Upstate N.Y.	-	20	197	165	-	-	2	1	-	-											
N.Y. City	-	402	3	1,832	-	-	17	9	-	-											
N.J.	-	5	338	746	-	-	-	1	-	-											
Pa.	-	-	-	1,395	N	N	1	4	-	-											
E.N. CENTRAL	-	188	6,161	6,965	1	2	2	35	-	-											
Ohio	-	47	2,948	1,613	-	-	-	3	-	-											
Ind.	-	35	1,001	768	N	N	-	-	-	-											
Ill.	-	70	831	2,204	-	-	-	11	-	-											
Mich.	-	31	1,102	1,544	1	2	2	4	-	-											
Wis.	-	5	279	836	-	-	-	17	-	-											
W.N. CENTRAL	-	28	1,106	2,164	-	-	8	5	-	-											
Minn.	-	-	12	599	-	-	3	1	-	-											
Iowa	-	4	128	75	N	N	2	1	-	-											
Mo.	-	22	364	769	-	-	1	2	-	-											
N. Dak.	-	-	4	38	N	N	-	-	-	-											
S. Dak.	-	-	124	96	-	-	2	-	-	-											
Nebr.	-	-	-	149	-	-	-	1	-	-											
Kans.	-	2	474	438	N	N	-	-	-	-											
S. ATLANTIC	-	666	6,149	5,758	-	-	14	25	-	-											
Del.	-	-	174	131	N	N	-	-	-	-											
Md.	-	134	897	760	-	-	2	-	-	-											
D.C.	-	-	147	178	-	-	-	1	-	-											
Va.	-	65	699	643	-	-	-	-	-	-											
W. Va.	-	1	113	137	N	N	-	-	-	-											
N.C.	-	1	1,573	457	-	-	1	2	-	-											
S.C.	-	42	107	827	-	-	-	-	-	-											
Ga.	-	222	1,046	360	-	-	9	19	-	-											
Fla.	-	201	1,393	2,265	N	N	2	3	-	-											
E.S. CENTRAL	-	40	1,725	2,820	-	-	1	2	-	-											
Ky.	-	2	284	417	-	-	-	1	-	-											
Tenn.	-	38	513	1,045	-	-	1	-	-	-											
Ala.	-	-	658	845	-	-	-	-	-	-											
Miss.	-	-	270	513	N	N	-	1	-	-											
W.S. CENTRAL	-	312	4,571	5,986	-	-	1	3	-	-											
Ark.	-	13	339	441	-	-	1	1	-	-											
La.	-	-	536	837	N	N	-	-	-	-											
Okla.	-	7	302	564	N	N	-	-	-	-											
Tex.	-	292	3,394	4,144	-	-	-	2	-	-											
MOUNTAIN	-	51	1,654	2,487	182	37	5	4	-	-											
Mont.	-	-	125	104	-	-	-	-	-	-											
Idaho	-	1	128	111	-	-	2	1	-	-											
Wyo.	-	1	57	31	-	-	-	-	-	-											
Colo.	-	19	320	725	N	N	2	-	-	-											
N. Mex.	-	1	43	447	-	1	-	-	-	-											
Ariz.	-	-	681	743	181	30	1	-	-	-											
Utah	-	-	55	8	-	2	-	2	-	-											
Nev.	-	29	245	318	1	4	-	1	-	-											
PACIFIC	-	49	1,594	7,319	10	46	1	19	-	-											
Wash.	-	-	672	705	N	N	-	U	-	-											
Oreg.	-	45	147	279	-	-	-	5	-	-											
Calif.	-	1	663	5,975	10	46	1	14	-	-											
Alaska	-	-	108	123	-	-	-	-	-	-											
Hawaii	-	3	4	237	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	78	28	N	N	-	-	-	-											
V.I.	-	22	-	7	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


