
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 16, 2002 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	3	2,137	58,925	72,229	300	345	2	6												
NEW ENGLAND	-	-	235	1,328	1,267	28	10	-	1												
Maine	-	-	35	15	34	1	-	-	-												
N.H.	-	-	13	26	28	4	-	-	-												
Vt.	-	-	20	24	19	2	-	-	-												
Mass.	-	-	95	763	543	14	10	-	1												
R.I.	-	-	18	191	155	-	-	-	-												
Conn.	-	-	54	309	488	7	-	-	-												
MID. ATLANTIC	-	-	331	5,169	7,276	31	57	1	-												
Upstate N.Y.	-	-	41	337	1,387	8	9	1	-												
N.Y. City	-	-	186	2,503	2,519	16	18	-	-												
N.J.	-	-	-	402	979	4	24	-	-												
Pa.	-	-	104	1,927	2,391	3	6	-	-												
E.N. CENTRAL	1	2	474	10,100	15,230	36	55	-	1												
Ohio	1	2	187	1,758	4,438	25	20	-	1												
Ind.	-	-	-	1,529	1,444	6	5	-	-												
Ill.	-	-	72	2,994	4,687	-	20	-	-												
Mich.	-	-	158	3,286	3,380	2	3	-	-												
Wis.	-	-	57	533	1,281	3	7	-	-												
W.N. CENTRAL	-	-	240	2,853	3,454	10	5	-	-												
Minn.	-	-	84	521	590	7	-	-	-												
Iowa	-	-	52	134	214	1	-	-	-												
Mo.	-	-	65	1,443	1,682	2	5	-	-												
N. Dak.	-	-	-	10	8	-	-	-	-												
S. Dak.	-	-	13	56	43	-	-	-	-												
Nebr.	-	-	-	118	289	-	-	-	-												
Kans.	-	-	26	571	628	-	-	-	-												
S. ATLANTIC	-	-	355	16,280	18,829	87	115	-	1												
Del.	-	-	10	365	345	-	-	-	-												
Md.	-	-	19	1,332	1,864	16	28	-	-												
D.C.	-	-	11	534	658	-	-	-	-												
Va.	-	-	16	2,085	2,023	7	9	-	-												
W. Va.	-	-	4	186	99	1	4	-	1												
N.C.	-	-	-	2,944	3,501	10	16	-	-												
S.C.	-	-	3	1,595	3,225	3	2	-	-												
Ga.	-	-	115	3,223	3,516	29	28	-	-												
Fla.	-	-	177	4,016	3,598	21	28	-	-												
E.S. CENTRAL	-	1	59	5,816	6,826	14	16	1	-												
Ky.	-	1	-	688	732	1	-	-	-												
Tenn.	-	-	22	1,868	2,182	8	9	-	-												
Ala.	-	-	37	2,060	2,268	5	6	1	-												
Miss.	-	-	-	1,200	1,644	-	1	-	-												
W.S. CENTRAL	-	-	14	9,968	11,277	16	8	-	-												
Ark.	-	-	14	873	1,185	1	-	-	-												
La.	-	-	-	2,533	2,567	-	2	-	-												
Okla.	-	-	-	855	1,018	15	6	-	-												
Tex.	-	-	-	5,707	6,507	-	-	-	-												
MOUNTAIN	-	-	242	2,177	2,165	44	57	-	2												
Mont.	-	-	12	26	19	-	-	-	-												
Idaho	-	-	6	24	18	1	1	-	-												
Wyo.	-	-	2	14	15	1	-	-	-												
Colo.	-	-	87	762	752	11	10	-	-												
N. Mex.	-	-	25	251	221	9	10	-	-												
Ariz.	-	-	42	641	735	17	32	-	1												
Utah	-	-	38	91	24	3	1	-	-												
Nev.	-	-	30	368	381	2	3	-	1												
PACIFIC	-	-	187	5,234	5,905	34	22	-	1												
Wash.	-	-	42	624	644	-	-	-	-												
Oreg.	-	-	99	190	235	24	1	-	-												
Calif.	-	-	-	4,172	4,818	-	15	-	1												
Alaska	-	-	18	136	62	1	1	-	-												
Hawaii	-	-	28	112	146	9	5	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	253	-	-	-	-												
V.I.	-	-	-	-	5	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	3	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


