
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 29, 2003 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	207	281	26	11	10	2	3,152	4,019	70,193	84,785											
NEW ENGLAND	12	22	4	1	-	1	171	366	1,636	2,050											
Maine	-	-	-	-	-	-	21	39	21	17											
N.H.	3	2	-	-	-	-	12	14	27	34											
Vt.	-	-	-	-	-	-	17	26	21	25											
Mass.	4	12	-	1	-	1	99	204	659	911											
R.I.	1	2	-	-	-	-	21	18	240	230											
Conn.	4	6	4	-	-	-	1	65	668	833											
MID. ATLANTIC	13	18	1	-	4	-	519	790	5,995	10,008											
Upstate N.Y.	8	13	1	-	4	-	173	221	1,640	1,771											
N.Y. City	2	-	-	-	-	-	242	245	848	3,091											
N.J.	3	5	-	-	-	-	41	118	1,374	1,905											
Pa.	N	N	-	-	-	-	63	206	2,133	3,241											
E.N. CENTRAL	46	91	7	-	2	-	487	727	14,596	17,195											
Ohio	14	15	7	-	2	-	194	213	4,376	4,967											
Ind.	6	7	-	-	-	-	-	-	1,395	1,924											
Ill.	7	26	-	-	-	-	110	206	4,173	5,387											
Mich.	10	20	-	-	-	-	147	194	3,229	3,513											
Wis.	9	23	-	-	-	-	36	114	1,423	1,404											
W.N. CENTRAL	33	41	3	3	3	-	339	347	3,867	4,408											
Minn.	12	11	3	3	-	-	117	112	516	786											
Iowa	3	8	-	-	-	-	49	60	213	280											
Mo.	9	11	N	N	N	N	89	90	2,080	2,119											
N. Dak.	1	-	-	-	1	-	8	3	5	17											
S. Dak.	2	1	-	-	-	-	12	16	36	67											
Nebr.	4	7	-	-	-	-	39	33	337	328											
Kans.	2	3	-	-	2	-	25	33	680	811											
S. ATLANTIC	28	36	5	5	-	-	601	629	18,772	21,504											
Del.	-	2	N	N	N	N	12	13	337	417											
Md.	-	-	-	-	-	-	28	25	2,010	2,083											
D.C.	-	-	-	-	-	-	6	11	551	703											
Va.	3	4	-	-	-	-	53	36	2,016	2,539											
W. Va.	-	-	-	-	-	-	5	8	201	234											
N.C.	6	6	-	-	-	-	N	N	3,374	4,054											
S.C.	-	-	-	-	-	-	15	4	1,873	1,938											
Ga.	9	19	1	4	-	-	261	175	4,026	4,117											
Fla.	10	5	4	1	-	-	221	357	4,384	5,419											
E.S. CENTRAL	10	7	-	-	-	-	64	77	6,240	7,577											
Ky.	1	2	-	-	-	-	N	N	878	873											
Tenn.	5	4	-	-	-	-	26	33	1,990	2,376											
Ala.	3	-	-	-	-	-	38	44	1,875	2,717											
Miss.	1	1	-	-	-	-	-	-	1,497	1,611											
W.S. CENTRAL	1	5	-	-	-	1	49	25	10,112	12,006											
Ark.	1	-	-	-	-	-	28	25	871	1,086											
La.	-	-	-	-	-	-	3	-	2,530	2,852											
Okla.	-	-	-	-	-	-	18	-	901	1,103											
Tex.	-	5	-	-	-	1	-	-	5,810	6,965											
MOUNTAIN	26	21	5	1	1	-	298	292	2,303	2,764											
Mont.	1	4	-	-	-	-	8	15	29	32											
Idaho	6	1	3	-	-	-	41	9	20	24											
Wyo.	-	-	-	1	-	-	3	2	13	16											
Colo.	8	2	1	-	1	-	82	106	609	971											
N. Mex.	-	2	1	-	-	-	11	31	164	371											
Ariz.	8	4	N	N	N	N	59	46	1,040	857											
Utah	3	5	-	-	-	-	66	49	82	36											
Nev.	-	3	-	-	-	-	28	34	346	457											
PACIFIC	38	40	1	1	-	-	624	766	6,672	7,273											
Wash.	11	7	-	-	-	-	36	59	716	754											
Oreg.	4	7	1	1	-	-	74	112	225	239											
Calif.	23	23	-	-	-	-	476	547	5,414	5,987											
Alaska	-	-	-	-	-	-	16	19	87	159											
Hawaii	-	3	-	-	-	-	22	29	230	134											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	3	-	22	3											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


