
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 9, 2002 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Congenital) cummulative for 2002
Syphilis (Congenital) cummulative for 2001
Tuberculosis cummulative for 2002
Tuberculosis cummulative for 2001
Typhoid Fever cummulative for 2002
Typhoid Fever cummulative for 2001

tab delimited data:
test
UNITED STATES	936	1,000	2	88	1,065	1,667	36	57													
NEW ENGLAND	13	4	-	-	47	59	3	4													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	1	4	-	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	8	1	-	-	18	30	2	4													
R.I.	2	-	-	-	7	5	-	-													
Conn.	3	3	-	-	21	19	1	-													
MID. ATLANTIC	78	80	-	13	234	271	6	21													
Upstate N.Y.	5	3	-	9	23	35	1	4													
N.Y. City	47	48	-	-	176	123	5	2													
N.J.	22	11	-	4	-	71	-	15													
Pa.	4	18	-	-	35	42	-	-													
E.N. CENTRAL	196	162	-	17	164	159	7	3													
Ohio	35	13	-	1	32	32	3	1													
Ind.	9	29	-	2	17	15	1	-													
Ill.	50	57	-	12	79	71	-	1													
Mich.	99	57	-	2	30	26	2	1													
Wis.	3	6	-	-	6	15	1	-													
W.N. CENTRAL	5	20	-	1	68	57	-	4													
Minn.	2	11	-	-	34	32	-	-													
Iowa	-	-	-	-	-	9	-	-													
Mo.	3	5	-	-	29	10	-	4													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	5	1	-	-													
Nebr.	-	-	-	-	-	5	-	-													
Kans.	-	4	-	1	-	-	-	-													
S. ATLANTIC	228	357	-	24	184	288	8	10													
Del.	3	3	-	-	-	-	-	-													
Md.	16	55	-	1	17	20	-	3													
D.C.	10	7	-	1	-	16	-	-													
Va.	7	28	-	-	7	25	-	1													
W. Va.	-	-	-	-	6	7	-	-													
N.C.	66	86	-	2	41	21	-	1													
S.C.	25	52	-	7	18	21	-	-													
Ga.	30	43	-	5	25	62	5	3													
Fla.	71	83	-	8	70	116	3	2													
E.S. CENTRAL	125	111	-	5	93	107	-	-													
Ky.	12	9	-	-	17	14	-	-													
Tenn.	48	59	-	2	32	23	-	-													
Ala.	49	23	-	2	34	50	-	-													
Miss.	16	20	-	1	10	20	-	-													
W.S. CENTRAL	139	139	2	15	15	284	-	4													
Ark.	6	11	-	2	4	21	-	-													
La.	26	24	-	-	-	-	-	-													
Okla.	13	16	-	1	11	6	-	-													
Tex.	94	88	2	12	-	257	-	4													
MOUNTAIN	42	37	-	3	32	67	3	2													
Mont.	-	-	-	-	-	-	-	1													
Idaho	1	-	-	-	-	3	-	-													
Wyo.	-	-	-	-	1	-	-	-													
Colo.	-	3	-	-	5	17	2	-													
N. Mex.	6	4	-	-	7	8	-	-													
Ariz.	33	25	-	3	12	20	-	-													
Utah	2	4	-	-	5	3	1	-													
Nev.	-	1	-	-	2	16	-	1													
PACIFIC	110	90	-	10	228	375	9	9													
Wash.	11	13	-	-	38	31	-	-													
Oreg.	4	2	-	-	12	12	2	-													
Calif.	94	72	-	10	142	296	7	8													
Alaska	-	-	-	-	16	9	-	-													
Hawaii	1	3	-	-	20	27	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	71	-	1	-	11	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	11	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


