
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2013 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012

tab delimited data:
test
UNITED STATES	-	9	64	-	3	1	13	41	1	12	-	2	14	-	-						
NEW ENGLAND	-	0	4	-	-	-	4	20	-	7	-	0	0	-	-						
Conn.	-	0	0	-	-	-	1	10	-	6	-	0	0	-	-						
Maine	-	0	2	-	-	-	0	4	-	1	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	-	-	-	1	5	-	-	-	0	0	-	-						
R.I.	-	0	3	-	-	-	1	11	-	-	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	2	-	-	-	0	0	-	-						
MID. ATLANTIC	-	0	6	-	-	-	5	18	-	2	-	0	2	-	-						
N.J.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	-	0	3	-	-	-	4	18	-	1	-	0	2	-	-						
N.Y. City	-	0	3	-	-	-	0	4	-	1	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	4	-	-	-	1	5	-	1	-	1	9	-	-						
Ill.	-	0	4	-	-	-	0	1	-	1	-	0	1	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	-	-						
Mich.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Ohio	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	1	-	-	-	0	5	-	-	-	0	2	-	-						
W.N. CENTRAL	-	2	33	-	2	-	1	7	-	-	-	0	4	-	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	-	1	-	0	2	-	-	-	0	0	-	-						
Minn.	-	0	1	-	-	-	0	5	-	-	-	0	1	-	-						
Mo.	-	2	32	-	1	-	0	4	-	-	-	0	4	-	-						
Nebr.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	-	4	30	-	1	1	0	8	1	1	-	0	2	-	-						
Del.	-	0	2	-	-	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	-	-	-	0	2	-	-	-	0	0	-	-						
Ga.	-	0	4	-	-	-	0	1	-	1	-	0	0	-	-						
Md.	-	0	4	-	-	-	0	2	-	-	-	0	0	-	-						
N.C.	-	0	19	-	-	-	0	6	-	-	-	0	0	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Va.	-	1	16	-	1	1	0	2	1	-	-	0	2	-	-						
W. Va.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
E.S. CENTRAL	-	1	9	-	-	-	0	3	-	1	-	0	2	-	-						
Ala.	-	0	2	-	-	-	0	3	-	1	-	0	1	-	-						
Ky.	-	0	4	-	-	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Tenn.	-	1	6	-	-	-	0	2	-	-	-	0	1	-	-						
W.S. CENTRAL	-	0	16	-	-	-	0	2	-	-	-	0	1	-	-						
Ark.	-	0	11	-	-	-	0	1	-	-	-	0	0	-	-						
La.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	14	-	-	-	0	2	-	-	-	0	0	-	-						
Tex.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	-	-	N	N	N	-	-	N	N	N	-	-	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


