
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 10, 2006 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	64	108	179	2,319	2,708	19	37	246	466	319	429	828	2,287	11,692	13,215						
NEW ENGLAND	12	12	26	251	325	-	0	2	1	2	6	34	147	604	770						
Conn.	5	3	13	59	67	-	0	0	-	-	-	6	139	139	149						
Maine	-	1	5	29	31	N	0	0	N	N	-	2	8	26	72						
Mass.	4	4	17	124	187	-	0	2	1	1	5	19	41	352	421						
N.H.	-	0	3	6	4	-	0	1	-	-	-	2	12	42	68						
R.I.	-	0	4	1	11	-	0	2	-	1	-	1	17	32	23						
Vt.	3	1	7	32	25	-	0	0	-	-	1	1	10	13	37						
MID. ATLANTIC	12	19	46	476	375	-	1	7	15	23	51	74	272	1,245	1,623						
N.J.	N	0	0	N	N	-	0	3	-	7	-	11	41	118	312						
N.Y. (Upstate)	12	11	24	203	188	-	0	1	1	-	36	22	233	347	384						
N.Y. City	-	0	3	-	14	-	0	2	3	1	-	21	44	318	416						
Pa.	-	8	35	273	173	-	1	5	11	15	15	29	61	462	511						
E.N. CENTRAL	1	2	9	25	96	-	0	7	8	11	40	93	219	1,590	1,983						
Ill.	-	0	4	-	14	-	0	4	1	6	-	26	53	330	802						
Ind.	-	0	3	3	4	-	0	1	1	-	17	11	69	218	175						
Mich.	1	0	4	16	8	-	0	1	-	2	5	17	35	295	335						
Ohio	-	0	2	6	70	-	0	3	6	3	17	25	52	468	357						
Wis.	N	0	2	N	N	-	0	1	-	-	1	15	44	279	314						
W.N. CENTRAL	2	5	15	106	149	5	2	14	52	31	29	45	90	833	851						
Iowa	-	0	4	19	-	-	0	2	-	1	-	7	18	130	150						
Kans.	1	1	5	34	42	1	0	1	4	1	4	7	17	118	116						
Minn.	1	1	5	13	30	-	0	1	1	-	11	10	30	206	195						
Mo.	-	1	6	9	24	4	2	13	45	26	14	15	40	260	235						
Nebr.	-	0	0	-	-	-	0	2	2	-	-	4	12	74	82						
N. Dak.	-	0	7	13	11	-	0	1	-	-	-	0	46	4	12						
S. Dak.	-	1	4	18	42	-	0	2	-	3	-	3	9	41	61						
S. ATLANTIC	25	36	96	853	1,028	2	17	94	322	173	127	252	514	3,097	3,442						
Del.	-	0	0	-	-	-	0	2	2	-	-	2	9	27	33						
D.C.	-	0	0	-	-	-	0	1	-	-	1	1	7	24	17						
Fla.	-	0	22	71	201	1	0	3	11	8	79	99	230	1,372	1,264						
Ga.	-	3	42	85	135	-	1	11	19	37	24	35	87	466	479						
Md.	-	8	16	154	157	-	1	6	17	13	4	12	39	188	254						
N.C.	6	8	20	163	218	-	6	87	254	87	-	28	114	462	477						
S.C.	10	3	11	63	86	-	1	6	4	17	6	21	73	260	544						
Va.	9	10	27	274	212	1	2	10	14	8	13	19	66	265	326						
W. Va.	-	1	13	43	19	-	0	2	1	3	-	3	19	33	48						
E.S. CENTRAL	1	4	16	127	60	2	5	24	44	43	22	54	115	705	749						
Ala.	-	1	7	33	33	-	0	9	13	11	1	14	41	269	182						
Ky.	-	0	5	7	6	-	0	1	-	-	10	8	27	133	117						
Miss.	-	0	1	-	-	-	0	3	-	2	-	12	62	94	162						
Tenn.	1	1	10	87	21	2	3	18	31	30	11	14	41	209	288						
W.S. CENTRAL	7	14	34	347	487	10	1	161	19	17	62	83	922	1,012	1,137						
Ark.	1	0	3	16	15	10	0	32	16	7	18	14	67	301	196						
La.	-	0	0	-	-	-	0	1	-	5	-	9	43	122	265						
Okla.	6	1	9	30	48	-	0	154	1	5	40	7	48	127	126						
Tex.	-	12	28	301	424	-	0	8	2	-	4	44	839	462	550						
MOUNTAIN	1	4	16	56	115	-	0	6	3	18	34	50	110	781	811						
Ariz.	-	2	11	47	92	-	0	6	2	12	8	13	67	197	229						
Colo.	-	0	2	-	10	-	0	1	-	1	20	12	45	253	188						
Idaho	-	0	12	-	-	-	0	2	-	1	-	2	8	44	71						
Mont.	-	0	3	6	-	-	0	0	-	1	2	2	16	52	36						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	37	69						
N. Mex.	-	0	1	-	2	-	0	1	-	2	-	4	13	53	87						
Utah	1	0	5	2	-	-	0	0	-	-	4	5	30	119	111						
Wyo.	-	0	2	1	11	-	0	1	1	1	-	1	12	26	20						
PACIFIC	3	3	15	78	73	-	0	1	2	1	58	104	426	1,825	1,849						
Alaska	-	0	4	12	1	-	0	0	-	-	1	1	7	35	19						
Calif.	3	3	15	64	71	-	0	1	2	-	43	84	292	1,368	1,414						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	89	111						
Oreg.	-	0	1	2	1	-	0	1	-	1	1	8	25	166	164						
Wash.	U	0	0	U	U	N	0	0	N	N	13	10	124	167	141						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	1	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	4	-	18						
P.R.	-	1	6	46	36	N	0	0	N	N	3	11	35	44	204						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


