
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2013 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	228	254	455	854	1,125	7	20	33	28	67	62	284	360	329	740						
NEW ENGLAND	5	11	23	23	52	-	1	4	-	1	5	8	18	11	29						
Conn.	-	5	13	6	24	-	0	2	-	-	-	0	5	-	11						
Maine	3	2	8	10	11	-	0	1	-	-	-	0	5	-	-						
Mass.	-	1	3	-	2	-	0	2	-	1	5	5	13	9	15						
N.H.	-	1	5	1	6	-	0	1	-	-	-	1	4	1	2						
R.I.	-	0	5	-	2	-	0	1	-	-	-	0	6	1	1						
Vt.	2	1	4	6	7	-	0	0	-	-	-	0	1	-	-						
MID. ATLANTIC	9	34	70	64	151	-	1	5	-	9	7	35	49	33	100						
N.J.	-	6	24	1	51	-	0	3	-	5	-	3	8	-	11						
N.Y. (Upstate)	-	16	35	-	49	-	1	3	-	1	2	4	14	7	7						
N.Y. City	9	13	32	63	51	-	0	3	-	3	-	18	29	7	54						
Pa.	N	0	0	N	N	N	0	0	N	N	5	9	17	19	28						
E.N. CENTRAL	57	55	102	252	247	1	3	10	5	14	-	30	49	10	74						
Ill.	N	0	0	N	N	-	0	0	-	-	-	10	26	-	28						
Ind.	-	13	28	7	47	-	1	2	-	2	-	4	10	6	8						
Mich.	6	11	23	40	55	-	0	3	1	3	-	4	13	-	20						
Ohio	47	21	63	157	103	1	1	6	3	6	-	8	15	-	15						
Wis.	4	9	29	48	42	-	0	2	1	3	-	2	5	4	3						
W.N. CENTRAL	9	14	24	21	56	1	1	4	2	3	1	7	14	6	24						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	2	2						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	9	22	-	36	-	0	3	-	1	-	1	5	-	5						
Mo.	N	0	0	N	N	-	0	0	-	-	1	2	7	4	16						
Nebr.	6	2	8	10	14	1	0	2	2	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	3	2	5	11	5	-	0	2	-	2	-	0	2	-	-						
S. ATLANTIC	95	53	106	273	250	3	4	11	14	11	17	65	103	67	176						
Del.	-	0	3	1	5	-	0	1	-	-	1	0	6	2	2						
D.C.	-	0	4	-	2	-	0	1	-	1	-	3	9	8	12						
Fla.	42	18	59	133	92	2	1	6	8	5	2	25	36	20	78						
Ga.	18	15	42	48	71	1	2	4	4	2	11	12	31	18	22						
Md.	22	5	22	38	23	-	0	5	1	-	3	7	15	11	15						
N.C.	N	0	0	N	N	N	0	0	N	N	-	5	21	-	19						
S.C.	13	6	17	46	43	-	0	3	-	1	-	4	9	3	19						
Va.	N	0	0	N	N	-	0	0	-	-	-	3	40	5	9						
W. Va.	-	5	31	7	14	-	0	2	1	2	-	0	2	-	-						
E.S. CENTRAL	18	22	56	78	117	1	2	5	5	8	3	14	25	6	30						
Ala.	3	2	8	16	6	-	0	3	2	-	-	3	10	-	12						
Ky.	-	3	9	-	19	-	0	1	-	-	1	2	9	1	2						
Miss.	1	3	11	13	14	-	0	2	-	1	2	3	12	5	4						
Tenn.	14	12	37	49	78	1	0	3	3	7	-	5	14	-	12						
