
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 3, 2003 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	15,551	12,786	262,612	278,598	1,210	1,367	561	705	-	-											
NEW ENGLAND	501	448	9,307	9,122	-	-	32	34	-	-											
Maine	23	8	664	490	N	N	2	1	-	-											
N.H.	12	12	520	568	-	-	2	9	-	-											
Vt.	6	5	357	260	-	-	6	7	-	-											
Mass.	227	236	3,669	3,572	-	-	15	9	-	-											
R.I.	39	40	1,122	909	-	-	5	5	-	-											
Conn.	194	147	2,975	3,323	N	N	2	3	-	-											
MID. ATLANTIC	3,357	2,473	28,103	30,087	-	-	70	102	-	-											
Upstate N.Y.	180	187	6,263	5,096	N	N	24	21	-	-											
N.Y. City	1,625	1,477	9,646	10,326	-	-	19	39	-	-											
N.J.	602	542	3,561	4,392	-	-	3	6	-	-											
Pa.	950	267	8,633	10,273	N	N	24	36	-	-											
E.N. CENTRAL	1,394	1,325	43,374	51,829	2	8	104	210	-	-											
Ohio	230	262	10,881	13,622	-	-	20	49	-	-											
Ind.	227	155	5,122	5,732	N	N	7	17	-	-											
Ill.	595	558	12,209	16,348	-	1	10	38	-	-											
Mich.	275	282	10,567	10,395	2	7	24	42	-	-											
Wis.	67	68	4,595	5,732	-	-	43	64	-	-											
W.N. CENTRAL	288	193	15,494	15,514	-	-	58	62	-	-											
Minn.	57	44	3,078	3,651	N	N	30	21	-	-											
Iowa	34	39	1,243	1,691	N	N	8	5	-	-											
Mo.	137	64	5,899	4,923	-	-	6	10	-	-											
N. Dak.	-	-	397	447	N	N	3	5	-	-											
S. Dak.	7	2	863	751	-	-	9	4	-	-											
Nebr.	22	21	1,559	1,559	-	-	2	12	-	-											
Kans.	31	23	2,455	2,492	N	N	-	5	-	-											
S. ATLANTIC	4,565	4,278	50,675	51,771	1	1	97	108	-	-											
Del.	81	81	1,082	923	N	N	1	1	-	-											
Md.	415	638	5,444	5,185	1	1	9	4	-	-											
D.C.	478	202	741	1,153	-	-	-	3	-	-											
Va.	427	276	6,194	5,555	-	-	9	1	-	-											
W. Va.	33	23	851	820	N	N	-	1	-	-											
N.C.	519	338	7,866	7,836	N	N	10	16	-	-											
S.C.	316	321	4,836	5,124	-	-	2	2	-	-											
Ga.	613	786	10,152	10,772	-	-	42	40	-	-											
Fla.	1,683	1,613	13,509	14,403	N	N	24	40	-	-											
E.S. CENTRAL	623	600	17,826	18,506	N	N	35	46	-	-											
Ky.	67	109	2,876	3,083	N	N	8	1	-	-											
Tenn.	270	252	6,246	5,802	N	N	8	24	-	-											
Ala.	143	117	4,332	5,825	-	-	16	17	-	-											
Miss.	143	122	4,372	3,796	N	N	3	4	-	-											
W.S. CENTRAL	1,661	1,452	34,775	37,216	-	-	21	12	-	-											
Ark.	48	97	2,292	2,396	-	-	1	4	-	-											
La.	195	363	5,215	6,254	N	N	-	2	-	-											
Okla.	75	77	3,662	3,631	N	N	3	2	-	-											
Tex.	1,343	915	23,606	24,935	-	-	17	4	-	-											
MOUNTAIN	586	434	14,768	17,509	890	914	29	40	-	-											
Mont.	8	6	410	677	N	N	4	3	-	-											
Idaho	10	8	916	735	N	N	6	11	-	-											
Wyo.	3	3	319	301	-	-	1	5	-	-											
Colo.	128	95	2,670	4,914	N	N	6	7	-	-											
N. Mex.	44	28	2,043	2,665	-	4	-	5	-	-											
Ariz.	272	176	5,365	5,381	876	892	3	5	-	-											
Utah	27	22	1,347	677	3	4	7	1	-	-											
Nev.	94	96	1,698	2,159	11	14	2	3	-	-											
PACIFIC	2,576	1,583	48,290	47,044	317	444	115	91	-	-											
Wash.	180	171	5,356	4,968	N	N	12	-	-	-											
Oreg.	108	152	2,682	2,374	-	-	12	11	-	-											
Calif.	2,246	1,235	38,901	36,986	317	444	91	79	-	-											
Alaska	9	2	1,227	1,253	-	-	-	-	-	-											
Hawaii	33	23	124	1,463	-	-	-	1	-	-											
Guam	2	1	-	-	-	-	-	-	-	-											
P.R.	437	377	421	17	N	N	N	N	-	-											
V.I.	13	50	-	64	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


