
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2002 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2002
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2002
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2002
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2001

tab delimited data:
test
UNITED STATES	27	37	-	3	830	1,872	394	737	130	691											
NEW ENGLAND	1	3	-	-	48	68	14	18	3	9											
Maine	-	-	-	-	1	1	-	1	-	-											
N.H.	-	-	-	-	3	2	3	1	-	-											
Vt.	-	-	-	-	-	1	1	1	3	2											
Mass.	1	3	-	-	23	29	9	4	-	7											
R.I.	-	-	-	-	4	2	1	-	-	-											
Conn.	-	-	-	-	17	33	-	11	-	-											
MID. ATLANTIC	2	4	-	-	66	172	63	185	24	313											
Upstate N.Y.	2	-	-	-	14	16	4	6	4	6											
N.Y. City	-	2	-	-	12	59	31	85	-	-											
N.J.	-	-	-	-	1	75	8	71	18	298											
Pa.	-	2	-	-	39	22	20	23	2	9											
E.N. CENTRAL	4	7	-	-	81	602	57	71	10	46											
Ohio	3	2	-	-	29	35	9	15	1	1											
Ind.	1	-	-	-	2	5	2	2	-	-											
Ill.	-	4	-	-	21	483	2	2	1	19											
Mich.	-	-	-	-	26	68	44	52	8	26											
Wis.	-	1	-	-	3	11	-	-	-	-											
W.N. CENTRAL	-	-	-	1	44	77	17	28	36	161											
Minn.	-	-	-	-	1	1	2	1	-	-											
Iowa	-	-	-	-	13	5	5	4	-	-											
Mo.	-	-	-	1	8	24	7	17	36	159											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	2	-	-	1	-	-											
Nebr.	-	-	-	-	-	17	-	4	-	1											
Kans.	-	-	-	-	20	30	3	1	-	1											
S. ATLANTIC	7	8	-	-	249	192	118	143	10	6											
Del.	-	-	-	-	-	1	1	3	3	1											
Md.	-	-	-	-	67	38	14	16	2	1											
D.C.	-	-	-	-	12	3	2	2	-	-											
Va.	1	-	-	-	3	19	13	9	-	-											
W. Va.	-	-	-	-	1	-	2	1	-	-											
N.C.	-	-	-	-	42	5	34	26	3	1											
S.C.	-	-	-	-	8	9	3	-	1	-											
Ga.	3	5	-	-	39	70	21	64	-	1											
Fla.	3	3	-	-	77	47	28	22	1	2											
E.S. CENTRAL	1	-	-	1	28	38	11	50	19	10											
Ky.	-	-	-	-	8	5	3	8	1	-											
Tenn.	-	-	-	-	-	15	-	15	3	7											
Ala.	1	-	-	1	5	17	8	14	2	-											
Miss.	-	-	-	-	15	1	-	13	13	3											
W.S. CENTRAL	4	1	-	-	13	338	14	45	-	125											
Ark.	-	-	-	-	5	13	12	14	-	1											
La.	-	-	-	-	-	14	-	19	-	52											
Okla.	4	1	-	-	7	20	1	11	-	-											
Tex.	-	-	-	-	1	291	1	1	-	72											
MOUNTAIN	6	5	-	1	66	120	29	54	12	8											
Mont.	-	-	-	-	2	2	-	-	-	-											
Idaho	-	-	-	-	-	17	-	2	-	1											
Wyo.	-	-	-	-	2	1	2	-	4	2											
Colo.	1	-	-	-	15	17	11	13	6	1											
N. Mex.	2	2	-	1	3	3	1	16	-	4											
Ariz.	2	3	-	-	24	54	7	15	-	-											
Utah	-	-	-	-	8	7	3	-	-	-											
Nev.	1	-	-	-	12	19	5	8	2	-											
PACIFIC	2	9	-	-	235	265	71	143	16	13											
Wash.	-	-	-	-	7	5	2	5	-	-											
Oreg.	2	-	-	-	20	1	17	3	6	1											
Calif.	-	8	-	-	208	248	52	131	10	12											
Alaska	-	-	-	-	-	10	-	1	-	-											
Hawaii	-	1	-	-	-	1	-	3	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	1	-	6	-	1											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	4	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


