
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	-	1	-	-	4,234	-	15	-	-												
NEW ENGLAND	-	-	-	-	79	-	-	-	-												
Maine	-	-	-	-	-	-	-	-	-												
N.H.	-	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	2	-	-	-	-												
Mass.	-	-	-	-	27	-	-	-	-												
R.I.	-	-	-	-	19	-	-	-	-												
Conn.	-	-	-	-	31	-	-	-	-												
MID. ATLANTIC	-	-	-	-	368	-	5	-	-												
Upstate N.Y.	-	-	-	-	4	-	-	-	-												
N.Y. City	-	-	-	-	116	-	1	-	-												
N.J.	-	-	-	-	66	-	4	-	-												
Pa.	-	-	-	-	182	-	-	-	-												
E.N. CENTRAL	-	-	-	-	963	-	4	-	-												
Ohio	-	-	-	-	342	-	-	-	-												
Ind.	-	-	-	-	105	-	-	-	-												
Ill.	-	-	-	-	337	-	2	-	-												
Mich.	-	-	-	-	67	-	1	-	-												
Wis.	-	-	-	-	112	-	1	-	-												
W.N. CENTRAL	-	-	-	-	198	-	-	-	-												
Minn.	-	-	-	-	58	-	-	-	-												
Iowa	-	-	-	-	-	-	-	-	-												
Mo.	-	-	-	-	105	-	-	-	-												
N. Dak.	-	-	-	-	-	-	-	-	-												
S. Dak.	-	-	-	-	5	-	-	-	-												
Nebr.	-	-	-	-	8	-	-	-	-												
Kans.	-	-	-	-	22	-	-	-	-												
S. ATLANTIC	-	-	-	-	815	-	5	-	-												
Del.	-	-	-	-	25	-	-	-	-												
Md.	-	-	-	-	116	-	-	-	-												
D.C.	-	-	-	-	27	-	-	-	-												
Va.	-	-	-	-	82	-	-	-	-												
W. Va.	-	-	-	-	3	-	-	-	-												
N.C.	-	-	-	-	304	-	-	-	-												
S.C.	-	-	-	-	-	-	-	-	-												
Ga.	-	-	-	-	91	-	5	-	-												
Fla.	-	-	-	-	167	-	-	-	-												
E.S. CENTRAL	-	1	-	-	422	-	-	-	-												
Ky.	-	1	-	-	45	-	-	-	-												
Tenn.	-	-	-	-	76	-	-	-	-												
Ala.	-	-	-	-	187	-	-	-	-												
Miss.	-	-	-	-	114	-	-	-	-												
W.S. CENTRAL	-	-	-	-	856	-	-	-	-												
Ark.	-	-	-	-	86	-	-	-	-												
La.	-	-	-	-	206	-	-	-	-												
Okla.	-	-	-	-	77	-	-	-	-												
Tex.	-	-	-	-	487	-	-	-	-												
MOUNTAIN	-	-	-	-	173	-	1	-	-												
Mont.	-	-	-	-	1	-	-	-	-												
Idaho	-	-	-	-	2	-	-	-	-												
Wyo.	-	-	-	-	-	-	-	-	-												
Colo.	-	-	-	-	107	-	1	-	-												
N. Mex.	-	-	-	-	24	-	-	-	-												
Ariz.	-	-	-	-	10	-	-	-	-												
Utah	-	-	-	-	-	-	-	-	-												
Nev.	-	-	-	-	29	-	-	-	-												
PACIFIC	-	-	-	-	360	-	-	-	-												
Wash.	-	-	-	-	43	-	-	-	-												
Oreg.	-	-	-	-	6	-	-	-	-												
Calif.	-	-	-	-	298	-	-	-	-												
Alaska	-	-	-	-	3	-	-	-	-												
Hawaii	-	-	-	-	10	-	-	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	-	-	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	-	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


