
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 10, 2000 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	13,355	18,500	245,865	300,192	522	760	758	602	428	546											
NEW ENGLAND	802	940	9,038	9,262	29	36	85	90	65	87											
Maine	14	22	595	394	8	7	6	5	6	-											
N.H.	11	25	445	450	2	5	6	10	4	13											
Vt.	2	6	237	223	11	6	3	9	3	2											
Mass.	535	614	4,375	3,930	6	15	39	41	28	42											
R.I.	34	61	1,065	1,042	2	-	4	4	-	6											
Conn.	206	212	2,321	3,223	-	3	27	21	24	24											
MID. ATLANTIC	3,280	4,449	15,263	33,963	51	163	92	39	57	38											
Upstate N.Y.	186	529	N	N	35	47	85	27	38	-											
N.Y. City	1,943	2,109	3,078	16,503	6	94	4	2	3	3											
N.J.	703	957	2,636	5,483	1	14	3	10	8	34											
Pa.	448	854	9,549	11,977	9	8	N	N	8	1											
E.N. CENTRAL	1,310	1,280	40,420	51,193	109	120	131	113	44	94											
Ohio	194	211	9,626	11,878	21	16	26	41	13	29											
Ind.	100	167	5,250	5,197	10	8	23	15	9	13											
Ill.	809	590	11,456	13,963	7	18	34	37	-	22											
Mich.	153	248	10,133	9,868	20	17	27	20	14	17											
Wis.	54	64	3,955	10,287	51	61	21	N	8	13											
W.N. CENTRAL	299	389	14,506	16,652	48	40	131	101	86	113											
Minn.	55	69	2,766	3,398	11	13	40	25	31	35											
Iowa	26	46	1,995	1,934	13	8	21	14	9	10											
Mo.	139	155	5,076	5,988	8	5	40	10	24	14											
N. Dak.	-	4	282	388	3	4	7	3	6	2											
S. Dak.	3	11	751	726	5	2	3	3	3	7											
Nebr.	20	32	1,366	1,534	6	7	11	37	9	45											
Kans.	56	72	2,270	2,684	2	1	9	9	4	-											
S. ATLANTIC	3,641	5,168	50,741	61,942	100	136	61	73	39	50											
Del.	65	72	1,305	1,242	3	-	-	3	-	-											
Md.	392	561	5,372	5,762	7	6	9	6	1	-											
D.C.	264	207	1,477	N	2	6	-	-	U	U											
Va.	278	263	6,607	6,588	4	8	13	20	13	18											
W. Va.	21	25	753	799	3	-	3	4	3	1											
N.C.	195	358	9,144	9,961	9	3	9	15	3	16											
S.C.	294	482	3,722	8,266	-	-	4	8	2	6											
Ga.	357	827	9,524	15,708	54	75	8	5	8	U											
Fla.	1,775	2,373	12,837	13,616	18	38	15	12	9	9											
E.S. CENTRAL	639	840	20,911	19,297	20	8	36	48	22	32											
Ky.	80	128	3,519	3,416	1	2	12	11	9	8											
Tenn.	287	337	6,243	6,265	4	4	15	21	11	13											
Ala.	169	212	6,715	4,261	9	1	3	11	-	10											
Miss.	103	163	4,434	5,355	6	1	6	5	2	1											
W.S. CENTRAL	1,128	2,077	40,032	39,550	21	39	34	27	44	36											
Ark.	69	70	2,211	2,525	1	-	15	5	3	4											
La.	232	409	8,368	6,804	5	21	-	4	13	5											
Okla.	65	55	3,685	3,451	2	1	7	6	3	5											
Tex.	762	1,543	25,768	26,770	13	17	12	12	25	22											
MOUNTAIN	477	717	14,930	21,015	34	33	75	42	25	31											
Mont.	6	4	684	654	4	4	10	3	-	-											
Idaho	9	11	765	768	3	2	9	1	-	3											
Wyo.	2	3	316	338	2	-	3	3	2	4											
Colo.	99	143	3,437	3,847	9	4	30	17	7	10											
N. Mex.	50	37	1,752	2,247	2	14	4	2	2	1											
Ariz.	165	352	5,668	10,874	3	7	17	7	13	4											
Utah	52	70	1,080	916	9	N	1	7	1	7											
Nev.	94	97	1,228	1,371	2	2	1	2	-	2											
PACIFIC	1,779	2,640	40,024	47,318	110	185	113	69	46	65											
Wash.	202	151	5,601	5,293	N	N	32	23	22	27											
Oreg.	47	63	2,247	2,813	5	72	15	15	18	12											
Calif.	1,476	2,378	30,429	36,959	105	113	59	29	-	25											
Alaska	5	6	1,078	855	-	-	1	-	-	-											
Hawaii	49	42	669	1,398	-	-	6	2	6	1											
Guam	13	1	-	199	-	-	N	N	U	U											
P.R.	284	627	142	U	-	-	2	10	U	U											
V.I.	18	13	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


