
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending July 23, 2011 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	85	287	937	8,403	9,929	9	24	101	640	1,216	58	259	363	6,431	7,306						
NEW ENGLAND	3	11	79	358	571	-	1	5	28	73	-	8	19	212	261						
Conn.	-	0	49	94	236	-	0	3	6	21	-	1	8	32	50						
Maine	2	2	13	85	81	-	0	1	3	5	-	0	3	10	14						
Mass.	-	0	3	21	52	-	0	3	8	36	-	5	14	129	164						
N.H.	-	2	8	69	75	-	0	1	5	4	-	0	3	12	12						
R.I.	-	1	36	39	71	-	0	3	1	4	-	0	7	24	19						
Vt.	1	1	6	50	56	-	0	2	5	3	-	0	2	5	2						
MID. ATLANTIC	1	23	81	601	1,025	1	3	27	80	156	9	31	46	767	934						
N.J.	-	6	29	131	458	-	1	4	26	39	-	4	10	103	133						
N.Y. (Upstate)	1	2	10	57	103	1	1	9	32	79	3	3	20	101	71						
N.Y. City	-	14	42	413	464	-	0	14	22	38	2	15	31	373	521						
Pa.	N	0	0	N	N	N	0	0	N	N	4	7	13	190	209						
E.N. CENTRAL	12	65	110	1,950	2,016	1	4	10	112	179	2	31	56	754	1,086						
Ill.	N	0	0	N	N	N	0	0	N	N	-	14	23	310	526						
Ind.	-	15	32	407	454	-	1	4	19	36	1	3	14	90	90						
Mich.	1	15	29	440	462	1	1	4	25	56	-	4	10	112	152						
Ohio	10	26	45	816	784	-	2	7	56	61	1	9	21	217	289						
Wis.	1	9	24	287	316	-	0	3	12	26	-	1	4	25	29						
W.N. CENTRAL	-	5	35	93	520	-	0	5	4	70	-	7	18	148	169						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	2	12	13						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	9	10						
Minn.	-	0	24	-	391	-	0	5	-	57	-	3	10	56	59						
Mo.	N	0	0	N	N	N	0	0	N	N	-	2	9	66	82						
Nebr.	-	2	9	75	88	-	0	1	4	11	-	0	2	5	5						
N. Dak.	-	0	18	18	41	-	0	1	-	2	-	0	1	-	-						
S. Dak.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
S. ATLANTIC	32	71	170	2,353	2,685	4	7	22	174	336	26	64	178	1,654	1,649						
Del.	-	1	6	33	23	-	0	1	-	-	-	0	4	12	4						
D.C.	-	1	3	28	52	-	0	1	4	7	3	3	8	106	77						
Fla.	6	23	68	902	1,000	-	3	13	80	133	-	23	44	593	592						
Ga.	3	20	54	603	849	-	2	7	43	103	2	11	130	268	345						
Md.	-	9	32	338	343	-	1	4	20	39	6	8	17	230	149						
N.C.	N	0	0	N	N	N	0	0	N	N	9	7	19	204	249						
S.C.	3	8	25	304	342	-	1	3	18	39	5	4	10	118	74						
Va.	N	0	0	N	N	N	0	0	N	N	1	4	16	121	156						
W. Va.	20	0	48	145	76	4	0	6	9	15	-	0	2	2	3						
E.S. CENTRAL	7	19	36	593	680	-	1	4	37	65	1	15	34	376	486						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	11	101	138						
Ky.	N	0	0	N	N	N	0	0	N	N	1	2	16	59	74						
Miss.	N	0	0	N	N	N	0	0	N	N	-	3	16	77	116						
Tenn.	7	19	36	593	680	-	1	4	37	65	-	5	11	139	158						
W.S. CENTRAL	16	31	368	1,193	1,199	2	4	30	109	160	8	35	71	892	1,096						
Ark.	1	3	26	149	115	-	0	3	12	11	5	3	10	106	139						
La.	-	3	11	107	64	-	0	2	9	16	3	7	36	190	222						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	6	26	55						
Tex.	15	26	333	937	1,020	2	3	27	88	133	-	23	33	570	680						
MOUNTAIN	14	32	72	1,160	1,164	1	3	8	88	161	1	12	23	284	324						
Ariz.	6	11	45	548	572	-	1	5	40	76	-	4	9	101	121						
Colo.	8	11	23	360	340	1	1	4	26	46	-	2	8	61	72						
Idaho	N	0	0	N	N	N	0	0	N	N	1	0	2	5	2						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	3	2						
Nev.	N	0	0	N	N	N	0	0	N	N	-	3	9	77	55						
N. Mex.	-	3	13	159	110	-	0	2	10	13	-	1	4	32	25						
Utah	-	3	8	74	132	-	0	3	12	24	-	0	4	5	47						
Wyo.	-	0	15	19	10	-	0	1	-	2	-	0	0	-	-						
PACIFIC	-	3	11	102	69	-	0	2	8	16	11	51	66	1,344	1,301						
Alaska	-	2	11	101	69	-	0	2	8	16	-	0	1	1	3						
Calif.	N	0	0	N	N	N	0	0	N	N	5	42	57	1,114	1,104						
Hawaii	-	0	3	1	-	-	0	0	-	-	-	0	5	7	23						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	1	7	47	32						
Wash.	N	0	0	N	N	N	0	0	N	N	5	6	13	175	139						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	4	13	134	129						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


