
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 2, 1998 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,026	1,403	4	153	204	40	1,204	1,770	2	161	21										
NEW ENGLAND	54	87	-	-	7	-	207	430	-	24	-										
Maine	4	8	-	-	-	-	5	6	-	-	-										
N.H.	1	9	-	-	-	-	19	48	-	-	-										
Vt.	1	2	-	-	-	-	22	145	-	-	-										
Mass.	26	50	-	-	2	-	156	214	-	2	-										
R.I.	3	4	-	-	4	-	-	12	-	-	-										
Conn.	19	14	-	-	1	-	5	5	-	22	-										
MID. ATLANTIC	111	137	-	6	27	3	148	149	-	79	8										
Upstate N.Y.	28	30	-	3	4	3	91	56	-	79	1										
N.Y. City	12	23	-	-	1	-	-	37	-	-	7										
N.J.	32	27	-	-	4	-	-	9	-	-	-										
Pa.	39	57	-	3	18	-	57	47	-	-	-										
E.N. CENTRAL	141	205	-	22	29	8	137	188	-	-	3										
Ohio	58	75	-	11	8	4	53	55	-	-	-										
Ind.	25	22	U	2	4	U	40	19	U	-	-										
Ill.	29	68	-	1	9	3	10	25	-	-	-										
Mich.	14	19	-	8	7	1	17	26	-	-	-										
Wis.	15	21	-	-	1	-	17	63	-	-	3										
W.N. CENTRAL	91	106	-	16	7	3	90	97	-	1	-										
Minn.	16	14	-	9	3	3	58	59	-	-	-										
Iowa	13	22	-	5	3	-	16	7	-	-	-										
Mo.	37	53	-	1	-	-	9	14	-	1	-										
N. Dak.	-	-	-	1	-	-	-	2	-	-	-										
S. Dak.	5	3	-	-	-	-	4	1	-	-	-										
Nebr.	4	4	-	-	1	-	3	2	-	-	-										
Kans.	16	10	-	-	-	-	-	12	-	-	-										
S. ATLANTIC	188	241	3	28	26	4	95	159	1	5	1										
Del.	1	4	-	-	-	-	-	-	-	-	-										
Md.	16	26	-	-	4	-	18	65	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	18	22	-	4	2	-	6	17	-	-	1										
W. Va.	4	9	-	-	-	-	1	3	-	-	-										
N.C.	24	40	-	6	6	-	40	34	-	3	-										
S.C.	31	33	-	3	4	1	10	8	-	1	-										
Ga.	40	44	1	1	2	1	1	2	-	-	-										
Fla.	54	58	2	14	8	2	18	28	1	1	-										
E.S. CENTRAL	74	96	-	-	11	1	33	37	-	-	-										
Ky.	12	24	-	-	-	-	15	10	-	-	-										
Tenn.	32	30	-	-	3	1	8	12	-	-	-										
Ala.	30	27	-	-	4	-	10	9	-	-	-										
Miss.	-	15	U	-	4	U	-	6	U	-	-										
W.S. CENTRAL	75	114	-	22	24	6	62	35	-	37	1										
Ark.	14	21	-	-	-	1	8	2	-	-	-										
La.	22	28	-	1	6	-	-	7	-	-	-										
Okla.	21	13	-	-	-	-	6	5	-	-	-										
Tex.	18	52	-	21	18	5	48	21	-	37	1										
MOUNTAIN	67	85	1	14	10	10	276	421	-	5	-										
Mont.	2	4	-	-	-	-	1	2	-	-	-										
Idaho	3	5	1	1	2	5	129	288	-	-	-										
Wyo.	3	-	-	1	1	-	7	3	-	-	-										
Colo.	16	26	-	2	2	-	43	102	-	-	-										
N. Mex.	12	15	N	N	N	5	54	12	-	1	-										
Ariz.	22	16	-	4	-	-	22	9	-	1	-										
Utah	6	10	-	1	2	-	13	1	-	2	-										
Nev.	3	9	-	5	3	-	7	4	-	1	-										
PACIFIC	225	332	-	45	63	5	156	254	1	10	8										
Wash.	26	36	-	4	5	5	86	117	1	8	-										
Oreg.	44	68	N	N	N	-	8	9	-	-	-										
Calif.	150	225	-	28	45	-	58	122	-	1	4										
Alaska	1	1	-	2	3	-	-	2	-	-	-										
Hawaii	4	2	-	11	10	-	4	4	-	1	4										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	1	6	-	2	4	-	2	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	1	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


