
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 15, 1997 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	442	562	8	40	73	50	477	252	-	1	15										
NEW ENGLAND	31	24	1	1	-	9	137	66	-	-	-										
Maine	3	5	-	-	-	-	4	2	-	-	-										
N.H.	3	1	-	-	-	-	23	4	-	-	-										
Vt.	-	1	-	-	-	4	59	6	-	-	-										
Mass.	19	4	-	-	-	-	46	54	-	-	-										
R.I.	2	5	1	1	-	5	5	-	-	-	-										
Conn.	4	8	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	24	47	2	4	11	4	20	29	-	1	1										
Upstate N.Y.	4	4	-	-	2	-	11	19	-	-	-										
N.Y. City	4	9	-	-	2	-	2	6	-	1	-										
N.J.	6	12	-	-	2	-	-	2	-	-	1										
Pa.	10	22	2	4	5	4	7	2	-	-	-										
E.N. CENTRAL	40	73	1	7	17	4	44	53	-	-	-										
Ohio	31	29	1	3	10	4	34	24	-	-	-										
Ind.	6	6	U	2	1	U	-	2	U	-	-										
Ill.	-	23	-	1	1	-	3	3	-	-	-										
Mich.	3	4	U	1	5	U	7	5	U	-	-										
Wis.	-	11	-	-	-	-	-	19	-	-	-										
W.N. CENTRAL	35	52	-	2	2	9	21	5	-	-	-										
Minn.	2	-	-	-	-	7	10	1	-	-	-										
Iowa	10	9	-	2	-	2	8	-	-	-	-										
Mo.	12	29	-	-	-	-	-	3	-	-	-										
N. Dak.	-	1	-	-	2	-	1	-	-	-	-										
S. Dak.	3	2	-	-	-	-	1	-	-	-	-										
Nebr.	3	4	-	-	-	-	1	1	-	-	-										
Kans.	5	7	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	111	76	3	3	9	10	33	16	-	-	-										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	10	10	-	-	4	6	25	13	-	-	-										
D.C.	1	2	-	-	-	-	2	-	-	-	-										
Va.	6	5	1	1	2	2	2	-	-	-	-										
W. Va.	1	3	-	-	-	1	1	-	-	-	-										
N.C.	20	12	-	-	-	-	-	-	-	-	-										
S.C.	22	15	-	-	2	1	2	-	-	-	-										
Ga.	22	23	-	-	1	-	-	1	-	-	-										
Fla.	27	5	2	2	-	-	1	2	-	-	-										
E.S. CENTRAL	42	48	-	6	3	1	13	7	-	-	-										
Ky.	6	6	-	-	-	-	-	5	-	-	-										
Tenn.	18	12	-	2	-	-	3	1	-	-	-										
Ala.	13	16	-	2	3	1	6	1	-	-	-										
Miss.	5	14	U	2	-	U	4	-	U	-	N										
W.S. CENTRAL	22	69	-	3	3	-	4	3	-	-	-										
Ark.	8	7	-	-	-	-	3	2	-	-	-										
La.	2	15	-	-	3	-	-	1	-	-	-										
Okla.	4	3	-	-	-	-	-	-	-	-	-										
Tex.	8	44	-	3	-	-	1	-	-	-	-										
MOUNTAIN	29	40	-	2	3	8	123	27	-	-	-										
Mont.	1	1	-	-	-	-	-	2	-	-	-										
Idaho	3	3	-	-	-	5	81	-	-	-	-										
Wyo.	-	2	-	-	-	-	3	-	-	-	-										
Colo.	2	4	-	1	-	3	29	-	-	-	-										
N. Mex.	7	9	N	N	N	-	6	9	-	-	-										
Ariz.	11	13	-	-	-	-	4	3	-	-	-										
Utah	3	3	-	1	-	-	-	-	-	-	-										
Nev.	2	5	-	-	3	-	-	13	-	-	-										
PACIFIC	108	133	1	12	25	5	82	46	-	-	14										
Wash.	10	7	-	2	2	-	13	5	-	-	-										
Oreg.	33	24	-	-	-	-	3	15	-	-	-										
Calif.	65	98	1	6	17	5	64	24	-	-	14										
Alaska	-	2	-	-	1	-	1	-	-	-	-										
Hawaii	-	2	U	4	5	U	1	2	U	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


