
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 12, 2004 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	515	532	74	75	54	50	6,207	6,740	124,606	141,034											
NEW ENGLAND	39	41	20	13	9	2	589	487	2,918	3,017											
Maine	1	4	-	-	-	-	60	51	106	97											
N.H.	6	7	4	1	-	-	15	20	56	51											
Vt.	-	2	-	-	-	-	46	36	36	38											
Mass.	14	10	2	5	9	2	285	235	1,387	1,129											
R.I.	5	1	-	-	-	-	50	46	396	426											
Conn.	13	17	14	7	-	-	133	99	937	1,276											
MID. ATLANTIC	50	56	5	6	13	11	1,426	1,423	14,990	17,944											
Upstate N.Y.	18	20	2	3	5	5	471	351	3,203	3,180											
N.Y. City	6	3	-	-	-	-	436	516	4,255	5,859											
N.J.	8	6	1	-	4	-	138	201	2,218	3,988											
Pa.	18	27	2	3	4	6	381	355	5,314	4,917											
E.N. CENTRAL	93	139	14	16	6	8	765	1,218	24,879	29,814											
Ohio	21	34	3	9	6	8	313	347	7,926	9,393											
Ind.	9	17	-	-	-	-	-	-	2,721	2,813											
Ill.	20	23	-	1	-	-	84	369	6,361	9,243											
Mich.	20	25	2	-	-	-	237	281	6,328	5,777											
Wis.	23	40	9	6	-	-	131	221	1,543	2,588											
W.N. CENTRAL	94	76	11	10	11	8	733	663	6,638	7,266											
Minn.	28	28	5	7	2	-	260	232	1,444	1,166											
Iowa	22	11	-	-	-	-	103	90	160	521											
Mo.	17	23	6	1	4	1	190	199	3,336	3,706											
N. Dak.	2	1	-	1	3	1	11	16	56	30											
S. Dak.	3	3	-	-	-	-	28	20	118	80											
Nebr.	12	5	-	1	-	-	56	53	439	636											
Kans.	10	5	-	-	2	6	85	53	1,085	1,127											
S. ATLANTIC	52	44	15	18	7	12	965	1,001	29,699	34,712											
Del.	-	-	N	N	N	N	21	15	413	1,042											
Md.	11	1	1	-	1	1	40	51	3,462	3,318											
D.C.	1	1	-	-	-	-	25	17	1,034	1,070											
Va.	5	17	6	3	-	-	158	117	3,853	3,821											
W. Va.	1	1	-	-	-	-	12	14	361	366											
N.C.	-	-	4	-	-	11	N	N	6,469	6,495											
S.C.	3	-	-	-	-	-	24	56	3,125	3,325											
Ga.	15	8	2	2	-	-	239	324	3,573	7,220											
Fla.	16	16	2	13	6	-	446	407	7,409	8,055											
E.S. CENTRAL	27	24	1	-	7	4	141	139	9,985	11,831											
Ky.	10	8	1	-	4	4	N	N	1,038	1,533											
Tenn.	4	11	-	-	3	-	69	60	3,502	3,466											
Ala.	7	3	-	-	-	-	72	79	2,780	3,927											
Miss.	6	2	-	-	-	-	-	-	2,665	2,905											
W.S. CENTRAL	30	22	1	2	1	2	110	113	17,648	18,924											
Ark.	7	2	-	-	-	-	50	61	1,645	1,688											
La.	1	1	-	-	-	-	14	8	4,968	4,996											
Okla.	4	3	-	-	-	-	46	44	1,984	1,830											
Tex.	18	16	1	2	1	2	-	-	9,051	10,410											
MOUNTAIN	49	54	6	8	-	3	505	527	4,299	4,686											
Mont.	2	2	-	-	-	-	15	28	35	55											
Idaho	14	13	3	4	-	-	69	62	35	35											
Wyo.	-	1	1	-	-	-	7	7	25	21											
Colo.	8	16	1	1	-	3	155	156	1,172	1,300											
N. Mex.	4	1	-	3	-	-	26	23	267	546											
Ariz.	7	11	N	N	N	N	80	86	1,721	1,714											
Utah	8	7	-	-	-	-	114	113	213	151											
Nev.	6	3	1	-	-	-	39	52	831	864											
PACIFIC	81	76	1	2	-	-	973	1,169	13,550	12,840											
Wash.	27	22	-	1	-	-	114	108	1,160	1,263											
Oreg.	11	13	1	1	-	-	170	148	265	440											
Calif.	36	40	-	-	-	-	627	836	11,692	10,429											
Alaska	1	1	-	-	-	-	25	36	263	236											
Hawaii	6	-	-	-	-	-	37	41	170	472											
Guam	N	N	-	-	-	-	-	-	-	35											
P.R.	-	1	-	-	-	-	10	70	91	115											
V.I.	-	-	-	-	-	-	-	-	49	39											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


