
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 13, 2008 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	61	95	259	4,902	4,935	17	34	166	1,561	1,797											
NEW ENGLAND	1	6	31	321	371	-	1	14	71	124											
Conn.	1	0	26	100	113	-	0	11	11	13											
Maine	-	0	3	26	26	-	0	1	2	4											
Mass.	-	3	8	138	179	-	0	5	39	84											
N.H.	-	0	2	27	27	-	0	1	11	13											
R.I.	-	0	9	18	8	-	0	2	7	8											
Vt.	-	0	2	12	18	-	0	1	1	2											
MID. ATLANTIC	12	18	43	960	898	-	4	19	202	314											
N.J.	-	3	11	138	164	-	1	6	62	66											
N.Y. (Upstate)	6	6	17	316	271	-	2	14	99	104											
N.Y. City	-	3	10	181	220	-	0	8	41	144											
Pa.	6	6	16	325	243	N	0	0	N	N											
E.N. CENTRAL	9	17	42	883	929	1	6	23	254	303											
Ill.	-	4	16	232	279	-	0	5	48	81											
Ind.	3	2	11	127	115	-	0	14	35	22											
Mich.	-	3	10	164	196	-	1	5	75	79											
Ohio	5	5	14	253	218	1	1	5	59	62											
Wis.	1	1	10	107	121	-	1	4	37	59											
W.N. CENTRAL	3	5	39	367	322	1	2	16	150	99											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	36	32	-	0	3	19	2											
Minn.	-	0	35	166	153	-	0	13	69	53											
Mo.	2	2	10	89	81	-	1	2	35	26											
Nebr.	1	1	3	41	25	1	0	2	9	17											
N. Dak.	-	0	5	12	19	-	0	2	8	1											
S. Dak.	-	0	2	23	12	-	0	1	10	-											
S. ATLANTIC	11	21	37	1,056	1,208	3	6	16	286	326											
Del.	-	0	2	9	10	-	0	0	-	-											
D.C.	-	0	4	23	17	-	0	1	2	3											
Fla.	4	5	10	259	301	2	1	4	66	65											
Ga.	1	4	14	230	248	-	1	5	66	78											
Md.	1	4	8	171	205	-	1	5	57	68											
N.C.	4	2	10	134	157	N	0	0	N	N											
S.C.	1	1	5	71	99	-	1	4	48	55											
Va.	-	3	12	126	145	1	0	6	39	50											
W. Va.	-	0	3	33	26	-	0	1	8	7											
E.S. CENTRAL	1	4	9	167	204	1	2	11	96	102											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	39	38	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	20	10											
Tenn.	1	3	6	128	166	1	1	9	76	92											
W.S. CENTRAL	14	9	85	456	309	8	5	66	263	276											
Ark.	-	0	2	5	17	-	0	2	7	18											
La.	-	0	2	16	16	-	0	2	10	36											
Okla.	4	2	19	114	66	1	1	7	61	57											
Tex.	10	6	65	321	210	7	3	58	185	165											
MOUNTAIN	9	10	22	528	551	3	4	13	222	240											
Ariz.	5	3	9	190	202	2	2	8	109	117											
Colo.	3	3	8	144	139	1	1	4	57	49											
Idaho	-	0	2	15	18	-	0	1	5	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	1	12	2	N	0	0	N	N											
N. Mex.	-	1	8	94	101	-	0	3	18	40											
Utah	1	1	5	67	84	-	0	4	28	31											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	1	3	8	164	143	-	0	2	17	13											
Alaska	1	1	4	40	25	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	8	124	118	-	0	2	17	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


