
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 29, 2009 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	34	101	239	3,770	3,998	6	36	122	1,162	1,199											
NEW ENGLAND	-	5	28	220	290	1	1	12	41	59											
Conn.	-	0	21	63	81	-	0	11	-	-											
Maine	-	0	2	13	20	-	0	1	3	1											
Mass.	-	3	10	91	137	-	1	4	28	43											
N.H.	-	1	4	31	19	1	0	2	8	8											
R.I.	-	0	2	9	21	-	0	2	-	7											
Vt.	-	0	3	13	12	-	0	1	2	-											
MID. ATLANTIC	7	19	43	769	823	-	5	33	177	153											
N.J.	-	3	6	102	149	-	1	4	31	46											
N.Y. (Upstate)	5	7	25	254	255	-	2	17	83	68											
N.Y. City	-	4	12	145	149	-	0	31	63	39											
Pa.	2	6	18	268	270	N	0	2	N	N											
E.N. CENTRAL	2	17	42	713	771	-	6	18	173	219											
Ill.	-	5	12	192	209	-	1	5	23	62											
Ind.	-	3	23	114	101	-	0	13	25	24											
Mich.	-	3	11	118	132	-	1	5	46	56											
Ohio	2	4	13	182	211	-	1	6	49	40											
Wis.	-	2	10	107	118	-	1	4	30	37											
W.N. CENTRAL	7	6	37	317	295	1	2	11	103	60											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	32	N	0	1	N	N											
Minn.	6	0	34	145	136	-	0	10	57	15											
Mo.	-	1	8	69	71	-	0	4	29	27											
Nebr.	1	1	3	35	31	1	0	1	7	7											
N. Dak.	-	0	4	11	8	-	0	3	4	5											
S. Dak.	-	0	3	20	17	-	0	2	6	6											
S. ATLANTIC	13	22	48	857	818	1	6	16	213	234											
Del.	-	0	1	9	6	-	0	0	-	-											
D.C.	-	0	3	11	11	N	0	0	N	N											
Fla.	5	6	12	210	186	1	1	6	49	45											
Ga.	6	5	13	201	180	-	2	6	53	61											
Md.	-	3	12	134	144	-	1	4	49	45											
N.C.	-	2	12	81	104	N	0	0	N	N											
S.C.	-	1	5	52	49	-	1	6	32	41											
Va.	2	3	9	125	107	-	0	4	18	37											
W. Va.	-	1	4	34	31	-	0	3	12	5											
E.S. CENTRAL	-	4	10	144	138	-	2	7	59	62											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	26	29	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	14	8											
Tenn.	-	3	9	118	109	-	1	6	45	54											
W.S. CENTRAL	3	9	79	314	346	1	6	46	194	184											
Ark.	-	0	2	14	8	1	0	4	20	10											
La.	-	0	3	11	14	-	0	3	13	10											
Okla.	3	3	20	108	79	-	1	7	39	49											
Tex.	-	5	59	181	245	-	4	34	122	115											
MOUNTAIN	2	10	22	325	415	2	4	16	167	192											
Ariz.	1	3	7	108	143	1	2	10	86	89											
Colo.	1	3	9	107	103	1	1	4	32	42											
Idaho	-	0	2	5	12	-	0	2	7	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	8	-	0	1	-	3											
N. Mex.	-	2	7	59	102	-	0	4	15	26											
Utah	-	1	6	40	41	-	0	5	27	28											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	-	3	10	111	102	-	1	6	35	36											
Alaska	-	1	3	28	25	-	0	5	29	23											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	83	77	-	0	2	6	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


