
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending February 16, 2008 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2008
5-year weekly average†
Total cases reported for year 2007
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	-	1	-	-	-		
Botulism:										
foodborne	-	1	0	20	20	19	16	20		
infant	-	5	2	84	97	85	87	76		
other(wound & unspecified)	-	-	1	25	48	31	30	33		
Brucellosis	1	4	2	126	121	120	114	104	CA (1 )	
Chancroid	1	4	1	31	33	17	30	54	TX (1 )	
Cholera	-	-	0	7	9	8	6	2		
Cyclosporiasis §	5	7	1	99	137	543	160	75	FL (5 )	
Diphtheria	-	-	-	-	-	-	-	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	-	44	67	80	112	108		
eastern equine	-	-	-	4	8	21	6	14		
Powassan	-	-	-	1	1	1	1	-		
St. Louis	-	-	-	7	10	13	12	41		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis/Anaplasmosis §,**:										
Ehrlichia chaffeensis	1	1	-	N	N	N	N	N	MD (1 )	
Ehrlichia ewingii	-	-	-	N	N	N	N	N		
Anaplasma phagocytophilum	-	-	-	N	N	N	N	N		
undetermined	-	-	-	N	N	N	N	N		
Haemophilus influenzae ††, invasive disease (age &lt;5 yrs):										
serotype B	-	3	0	21	29	9	19	32		
nonserotype B	2	18	3	170	175	135	135	117	OH (1 ), FL (1 )	
unknown serotype	4	29	4	190	179	217	177	227	OH (3 ), GA (1 )	
Hansen disease §	1	6	1	65	66	87	105	95	CA (1 )	
Hantavirus pulmonary syndrome §	-	-	0	32	40	26	24	26		
Hemolytic uremic syndrome, post-diarrheal §	-	3	2	259	288	221	200	178		
Hepatitis C viral, acute	2	54	16	772	766	652	720	1,102	CO (1 ), WA (1 )	
HIV infection, pediatric (age &lt;13 yrs) §§	-	-	5	-	-	380	436	504		
Influenza-associated pediatric mortality §, ¶¶	12	21	2	76	43	45	-	N	AR (1 ), CA (1 ), CO (2 ), FL (1 ), IL (1 ), IN (1 ),MS (1 ), NYC (1 ), TX (2 ), WI (1 )	
Listeriosis	2	45	8	767	884	896	753	696	NC (1 ), TN (1 )	
Measles ***	-	1	1	36	55	66	37	56		
Meningococcal disease, invasive ††† :										
A,C,Y, and W-135	2	13	7	277	318	297	-	-	CT (1 ), WA (1 )	
serogroup B	1	11	4	141	193	156	-	-	FL (1 )	
other serogroup	-	3	1	31	32	27	-	-		
unknown serogroup	7	38	18	595	651	765	-	-	NY (2 ), OH (1 ), MO (1 ), FL (1 ), TX (1 ), AZ (1 )	
Mumps	14	62	12	757	6,584	314	258	231	OH (13 ), MD (1 )	
Novel influenza A infection virus	-	-	-	4	N	N	N	N		
Plague	-	-	0	6	17	8	3	1		
Poliomyelitis, paralytic	-	-	-	-	-	1	-	-		
Poliovirus infection, nonparalytic §	-	-	-	-	N	N	N	N		
Psittacosis §	-	-	0	10	21	16	12	12		
Q fever §,§§§:										
acute	1	2	-	-	-	-	-	-	NYC (1 )	
chronic	-	-	-	-	-	-	-	-		
Rabies, human	-	-	-	-	3	2	7	2		
Rubella ¶¶¶	-	-	0	11	11	11	10	7		
Rubella, congenital syndrome	-	-	0	-	1	1	-	1		
SARS CoV §, ****	-	-	0	-	-	-	-	8		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	-	7	3	104	125	129	132	161		
Syphilis, congenital (age &lt;1 yr)	-	5	7	268	349	329	353	413		
Tetanus	-	-	0	23	41	27	34	20		
Toxic-shock syndrome (staphylococcal) §	-	5	2	78	101	90	95	133		
Trichinellosis	-	1	0	6	15	16	5	6		
