
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 25, 1999 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	30,285	33,478	426,595	427,583	1,525	2,891	2,234	2,147	1,438	1,728											
NEW ENGLAND	1,532	1,281	14,545	14,948	97	122	242	267	228	226											
Maine	51	24	738	721	19	25	31	31	-	-											
N.H.	36	25	684	714	10	12	25	38	26	40											
Vt.	11	17	349	307	29	21	23	14	14	12											
Mass.	1,005	684	6,714	6,083	37	58	138	127	115	131											
R.I.	73	98	1,670	1,667	2	6	25	11	6	1											
Conn.	356	433	4,390	5,456	-	-	U	46	67	42											
MID. ATLANTIC	7,780	9,331	48,388	44,246	245	437	188	235	60	80											
Upstate N.Y.	890	1,100	N	N	106	260	140	168	-	-											
N.Y. City	4,062	5,232	21,963	19,200	107	160	6	11	15	12											
N.J.	1,476	1,685	7,198	8,523	22	17	42	56	32	47											
Pa.	1,352	1,314	19,092	16,523	10	N	N	N	13	21											
E.N. CENTRAL	1,980	2,518	59,708	72,348	320	569	425	347	322	293											
Ohio	291	509	17,240	19,157	33	55	139	91	112	56											
Ind.	247	412	7,243	7,873	29	46	68	77	36	40											
Ill.	933	986	20,697	19,538	17	63	136	96	81	68											
Mich.	405	466	14,528	15,736	39	32	82	83	54	56											
Wis.	104	145	U	10,044	202	373	N	N	39	73											
W.N. CENTRAL	678	604	24,788	25,294	167	228	479	346	265	331											
Minn.	114	118	5,060	5,109	63	79	189	147	137	182											
Iowa	62	51	2,934	3,222	48	59	94	75	57	48											
Mo.	340	281	8,595	9,107	21	20	34	37	48	49											
N. Dak.	4	4	325	728	14	27	15	10	1	14											
S. Dak.	13	13	1,152	1,121	6	19	38	22	13	28											
Nebr.	45	56	2,496	1,956	14	20	88	30	-	-											
Kans.	100	81	4,226	4,051	1	4	21	25	9	10											
S. ATLANTIC	8,314	8,575	98,438	82,255	272	224	244	177	130	139											
Del.	112	104	1,968	1,851	-	3	6	-	3	2											
Md.	889	1,176	7,552	5,487	11	15	17	31	-	14											
D.C.	321	635	N	N	8	6	-	1	U	U											
Va.	508	685	10,513	10,125	19	13	58	N	42	47											
W. Va.	46	65	1,204	1,749	2	1	9	8	5	8											
N.C.	552	636	16,375	16,030	11	N	51	43	46	39											
S.C.	764	504	17,649	13,146	-	-	19	9	14	8											
Ga.	1,235	858	21,374	16,946	111	77	27	60	-	-											
Fla.	3,887	3,912	21,803	16,921	110	109	57	25	20	21											
E.S. CENTRAL	1,363	1,407	33,530	29,517	21	19	94	96	50	53											
Ky.	201	219	5,230	4,659	5	8	27	28	-	-											
Tenn.	540	489	10,305	9,804	6	6	43	43	30	34											
Ala.	337	394	9,356	7,178	8	N	20	20	16	17											
Miss.	285	305	8,639	7,876	2	5	4	5	4	2											
W.S. CENTRAL	3,201	4,187	61,181	65,121	64	848	70	75	76	79											
Ark.	123	159	4,195	2,881	1	6	9	8	8	9											
La.	596	704	10,879	10,721	22	14	9	4	11	4											
Okla.	94	238	5,853	7,298	8	N	18	12	12	6											
Tex.	2,388	3,086	40,254	44,221	33	828	34	51	45	60											
MOUNTAIN	1,174	1,116	23,443	23,758	76	109	207	276	87	205											
Mont.	7	23	1,099	962	10	9	14	14	-	5											
Idaho	16	19	1,233	1,445	7	16	26	31	8	22											
Wyo.	6	1	524	500	1	1	11	51	5	54											
Colo.	208	230	4,656	5,882	11	15	80	59	40	47											
N. Mex.	67	178	2,853	2,508	32	43	9	17	4	16											
Ariz.	607	398	9,238	8,402	9	16	24	33	16	25											
Utah	102	91	1,580	1,564	N	N	30	58	12	21											
Nev.	161	176	2,260	2,495	6	9	13	13	2	15											
PACIFIC	4,263	4,459	62,574	70,096	263	335	285	328	220	322											
Wash.	250	300	8,517	8,222	N	N	114	66	104	95											
Oreg.	136	129	4,100	4,004	84	55	60	N	55	87											
Calif.	3,803	3,882	46,569	54,663	179	277	104	166	52	127											
Alaska	13	17	1,402	1,380	-	-	1	4	-	-											
Hawaii	61	131	1,986	1,827	-	3	6	-	9	13											
Guam	5	-	226	298	-	-	N	N	U	U											
P.R.	936	1,243	U	U	-	N	5	5	U	U											
V.I.	25	24	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


