
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 14, 2007 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	60	90	216	1,482	1,908	20	23	90	435	408											
NEW ENGLAND	1	2	15	22	68	-	1	4	9	19											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	6	8	-	0	2	-	-											
Mass.	-	0	5	-	51	-	0	4	-	19											
N.H.	1	0	9	6	2	-	0	4	5	-											
R.I.	-	0	6	-	4	-	0	3	3	-											
Vt.	-	0	2	10	3	-	0	1	1	-											
MID. ATLANTIC	17	16	39	289	389	2	3	17	36	70											
N.J.	-	2	8	27	72	-	0	4	-	21											
N.Y. (Upstate)	11	5	26	104	115	2	2	14	36	46											
N.Y. City	-	3	8	55	74	-	0	2	-	3											
Pa.	6	6	11	103	128	N	0	0	N	N											
E.N. CENTRAL	7	15	31	260	448	5	6	14	71	124											
Ill.	-	4	11	63	143	-	1	6	9	33											
Ind.	3	2	12	35	44	2	0	10	8	17											
Mich.	1	3	10	66	99	2	1	5	29	29											
Ohio	3	4	14	96	110	1	1	7	24	25											
Wis.	-	1	6	-	52	-	0	2	1	20											
W.N. CENTRAL	14	4	32	130	144	4	2	10	40	28											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	15	32	-	0	3	3	7											
Minn.	12	0	29	60	63	3	1	6	22	9											
Mo.	1	2	5	38	25	-	0	3	11	7											
Nebr.	1	0	2	6	14	1	0	2	3	4											
N. Dak.	-	0	2	8	6	-	0	1	1	1											
S. Dak.	-	0	2	3	4	-	0	0	-	-											
S. ATLANTIC	9	20	42	359	369	3	2	11	88	17											
Del.	-	0	2	-	4	-	0	0	-	-											
D.C.	-	0	2	4	4	-	0	1	-	-											
Fla.	9	5	16	87	91	3	0	5	21	-											
Ga.	-	5	11	87	96	-	0	5	30	-											
Md.	-	4	10	58	42	-	1	6	25	12											
N.C.	-	0	26	45	55	-	0	0	-	-											
S.C.	-	1	5	23	27	-	0	2	8	-											
Va.	-	2	10	49	42	-	0	1	2	-											
W. Va.	-	0	6	6	8	-	0	3	2	5											
E.S. CENTRAL	1	4	11	64	84	2	0	6	25	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	4	16	25	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	5											
Tenn.	1	3	7	48	59	2	0	6	23	-											
W.S. CENTRAL	3	6	61	97	144	2	4	39	80	64											
Ark.	-	0	5	10	11	-	0	2	7	11											
La.	-	0	2	3	2	-	0	4	18	2											
Okla.	-	2	5	35	46	1	1	12	21	13											
Tex.	3	3	56	49	85	1	1	24	34	38											
MOUNTAIN	6	11	42	226	232	2	4	11	75	79											
Ariz.	5	5	34	91	130	1	2	7	44	50											
Colo.	-	3	9	63	45	-	1	4	19	19											
Idaho	-	0	1	5	3	1	0	1	1	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	1	-	0	0	-	-											
N. Mex.	-	1	4	19	30	-	0	4	11	9											
Utah	1	1	7	45	21	-	0	0	-	-											
Wyo.	-	0	1	2	2	-	0	0	-	-											
PACIFIC	2	2	9	35	30	-	0	4	11	2											
Alaska	1	0	2	8	N	-	0	2	9	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	27	30	-	0	2	2	2											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


