
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 10, 2002 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	502	315	8	16	2	-	19,234	21,377													
NEW ENGLAND	-	2	-	-	-	-	1,151	1,468													
Maine	-	-	-	-	-	-	87	123													
N.H.	-	-	-	-	-	-	72	121													
Vt.	-	-	-	-	-	-	42	44													
Mass.	-	2	-	-	-	-	641	849													
R.I.	-	-	-	-	-	-	76	64													
Conn.	-	-	-	-	-	-	233	267													
MID. ATLANTIC	29	14	4	7	-	-	2,439	2,891													
Upstate N.Y.	7	-	2	1	-	-	797	671													
N.Y. City	4	1	-	5	-	-	730	749													
N.J.	8	3	2	1	-	-	341	710													
Pa.	10	10	-	-	-	-	571	761													
E.N. CENTRAL	14	14	-	2	-	-	3,057	3,007													
Ohio	10	1	-	-	-	-	807	821													
Ind.	2	1	-	-	-	-	282	297													
Ill.	-	12	-	2	-	-	910	862													
Mich.	2	-	-	-	-	-	554	535													
Wis.	-	-	-	-	-	-	504	492													
W.N. CENTRAL	70	47	-	3	-	-	1,403	1,223													
Minn.	-	-	-	-	-	-	341	375													
Iowa	1	2	-	1	-	-	236	187													
Mo.	64	43	-	1	-	-	507	309													
N. Dak.	-	-	-	-	-	-	25	17													
S. Dak.	-	2	-	-	-	-	46	80													
Nebr.	4	-	-	-	-	-	70	92													
Kans.	1	-	-	1	-	-	178	163													
S. ATLANTIC	258	145	-	3	-	-	4,872	4,755													
Del.	2	-	-	-	-	-	39	51													
Md.	36	29	-	-	-	-	516	459													
D.C.	-	-	-	-	-	-	48	48													
Va.	17	15	-	-	-	-	556	837													
W. Va.	1	-	-	-	-	-	67	73													
N.C.	142	74	-	-	-	-	670	627													
S.C.	36	16	-	2	-	-	292	448													
Ga.	18	8	-	-	-	-	983	889													
Fla.	6	3	-	1	-	-	1,701	1,323													
E.S. CENTRAL	48	64	-	-	1	-	1,370	1,243													
Ky.	3	2	-	-	-	-	191	199													
Tenn.	34	44	-	-	1	-	379	314													
Ala.	11	10	-	-	-	-	415	356													
Miss.	-	8	-	-	-	-	385	374													
W.S. CENTRAL	70	21	1	-	-	-	879	2,552													
Ark.	21	4	-	-	-	-	437	355													
La.	-	2	-	-	-	-	183	454													
Okla.	49	15	-	-	-	-	257	215													
Tex.	-	-	1	-	-	-	2	1,528													
MOUNTAIN	10	8	-	-	-	-	1,219	1,250													
Mont.	1	1	-	-	-	-	60	45													
Idaho	-	1	-	-	-	-	76	80													
Wyo.	3	2	-	-	-	-	36	43													
Colo.	1	-	-	-	-	-	297	353													
N. Mex.	-	1	-	-	-	-	168	148													
Ariz.	-	-	-	-	-	-	348	336													
Utah	-	3	-	-	-	-	113	129													
Nev.	5	-	-	-	-	-	121	116													
PACIFIC	3	-	3	1	1	-	2,844	2,988													
Wash.	-	-	-	-	-	-	271	294													
Oreg.	1	-	-	-	-	-	228	181													
Calif.	2	-	3	-	-	-	2,138	2,272													
Alaska	-	-	-	-	-	-	41	27													
Hawaii	-	-	-	1	1	-	166	214													
Guam	-	-	-	-	-	-	-	18													
P.R.	-	-	-	3	-	-	120	557													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	23	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


