
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 8, 2005 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,639	1,529	4	9	89	89	166	143													
NEW ENGLAND	131	141	-	1	10	8	5	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	6	16	-	-	-	2	-	-													
Vt.	8	6	-	-	-	-	2	1													
Mass.	63	65	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	41	39	-	-	5	3	1	-													
MID. ATLANTIC	326	310	-	1	-	4	37	32													
Upstate N.Y.	96	104	-	1	-	4	8	5													
N.Y. City	58	68	-	-	-	-	10	12													
N.J.	65	59	-	-	-	-	9	2													
Pa.	107	79	-	-	-	-	10	13													
E.N. CENTRAL	224	292	1	-	4	8	16	42													
Ohio	94	81	-	-	-	2	10	14													
Ind.	54	40	-	-	4	4	-	1													
Ill.	35	104	-	-	-	-	3	20													
Mich.	18	18	1	-	-	2	2	4													
Wis.	23	49	-	-	-	-	1	3													
W.N. CENTRAL	89	85	-	2	3	3	9	9													
Minn.	37	38	-	1	3	3	2	-													
Iowa	1	1	-	1	-	-	-	-													
Mo.	32	33	-	-	-	-	5	7													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	8	4	-	-	-	-	1	1													
Kans.	10	6	-	-	-	-	-	1													
S. ATLANTIC	391	346	1	-	24	24	25	25													
Del.	-	-	-	-	-	-	-	-													
Md.	57	53	-	-	5	5	1	-													
D.C.	-	3	-	-	-	-	-	1													
Va.	38	33	-	-	-	-	2	5													
W. Va.	23	15	-	-	1	4	4	-													
N.C.	68	46	1	-	8	6	-	1													
S.C.	23	10	-	-	-	-	2	1													
Ga.	79	91	-	-	-	-	11	16													
Fla.	103	95	-	-	10	9	5	1													
E.S. CENTRAL	91	62	-	1	1	-	17	8													
Ky.	8	6	-	-	1	-	2	-													
Tenn.	65	41	-	-	-	-	11	6													
Ala.	18	13	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	88	60	1	1	7	7	6	1													
Ark.	5	1	-	-	1	-	-	-													
La.	28	12	1	-	2	-	6	1													
Okla.	53	46	-	-	4	7	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	187	158	-	3	13	25	37	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	6	1	-	-	-	1	1	-													
Colo.	36	40	-	-	-	-	9	5													
N. Mex.	16	33	-	-	4	8	2	6													
Ariz.	98	56	-	-	7	11	15	2													
Utah	15	12	-	2	-	2	7	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	112	75	1	-	27	10	14	7													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	36	-	-	-	-	5	3													
Calif.	47	25	1	-	27	10	2	1													
Alaska	25	5	-	-	-	-	5	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


