
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 20, 2012 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	12	12	66	805	727	7	19	64	631	2,223	2	2	12	114	129						
NEW ENGLAND	-	0	2	20	3	-	5	19	237	390	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	10	73	136	-	0	0	-	-						
Maine	-	0	2	4	1	-	1	4	42	15	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	159	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	46	18	-	0	0	-	1						
R.I.	-	0	2	14	1	-	1	11	66	59	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	10	3	-	0	0	-	-						
MID. ATLANTIC	1	0	5	33	95	6	7	44	279	330	1	0	2	7	20						
N.J.	-	0	2	-	52	-	0	8	-	85	-	0	0	-	7						
N.Y. (Upstate)	1	0	3	16	38	6	4	41	250	209	1	0	2	7	7						
N.Y. City	-	0	3	17	4	-	0	4	29	30	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	30	41	-	0	11	9	656	-	1	8	73	52						
Ill.	-	0	4	27	25	-	0	1	7	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	65	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	7	-	0	1	1	1						
Wis.	-	0	1	-	6	-	0	11	1	638	-	0	2	1	28						
W.N. CENTRAL	1	2	33	263	170	1	0	9	34	762	-	0	4	13	24						
