
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending May 22, 2010 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2010
5-year weekly average†
Total cases reported for year 2009
Total cases reported for year 2008
Total cases reported for year 2007
Total cases reported for year 2006
Total cases reported for year 2005
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	-	1	-	1	1	-		
Botulism, total	1	23	3	116	145	144	165	135		
foodborne	-	3	0	11	17	32	20	19		
infant	1	18	2	80	109	85	97	85	OK (1 )	
other(wound & unspecified)	-	2	0	25	19	27	48	31		
Brucellosis	-	31	3	115	80	131	121	120		
Chancroid	-	21	0	33	25	23	33	17		
Cholera	-	2	0	10	5	7	9	8		
Cyclosporiasis §	1	27	17	141	139	93	137	543	TX (1 )	
Diphtheria	-	-	-	-	-	-	-	-		
Domestic arboviral diseases §, ¶ :										
California serogroup virus disease	-	-	0	55	62	55	67	80		
Eastern equine encephalitis virus disease	-	-	-	4	4	4	8	21		
Powassan virus disease	-	-	0	6	2	7	1	1		
St. Louis encephalitis virus disease	-	-	0	12	13	9	10	13		
Western equine encephalitis virus disease	-	-	-	-	-	-	-	-		
Haemophilus influenzae **, invasive disease (age &lt;5 yrs):										
serotype b	-	7	0	35	30	22	29	9		
nonserotype b	-	67	4	236	244	199	175	135		
unknown serotype	2	89	4	180	163	180	179	217	NY (1 ), SC (1 )	
Hansen disease §	-	15	1	81	80	101	66	87		
Hantavirus pulmonary syndrome §	-	2	1	14	18	32	40	26		
Hemolytic uremic syndrome, post-diarrheal §	-	40	4	240	330	292	288	221		
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	1	-	-	-	-	380		
Influenza-associated pediatric mortality §, §§	3	51	2	360	90	77	43	45	GA (1 ), TX (2 )	
Listeriosis	10	186	10	858	759	808	884	896	NY (1 ), PA (1 ), OH (1 ), FL (2 ), WA (1 ), CA (4 )	
Measles ¶¶	3	22	3	67	140	43	55	66	NE (3 )	
Meningococcal disease, invasive *** :										
A,C,Y, and W-135	2	101	6	287	330	325	318	297	TX (1 ), WA (1 )	
serogroup B	-	42	3	164	188	167	193	156		
other serogroup	-	5	1	23	38	35	32	27		
unknown serogroup	3	162	12	502	616	550	651	765	MO (1 ), FL (1 ), KY (1 )	
Mumps	85	1,457	81	2,069	454	800	6,584	314	NY (3 ), NYC (71 ), OH (1 ), IA (2 ), NE (1 ), TX (3 ), WA (2 ), CA (2 )	
Novel influenza A infection virus †††	-	-	0	43,771	2	4	NN	NN		
Plague	-	-	0	8	3	7	17	8		
Poliomyelitis, paralytic	-	-	-	1	-	-	-	1		
Polio virus infection, nonparalytic §	-	-	-	-	-	-	NN	NN		
Psittacosis §	-	4	0	9	8	12	21	16		
Q fever total §, §§§:	3	26	3	110	120	171	169	136		
acute	3	19	2	90	106	-	-	-	NY (1 ), CA (2 )	
chronic	-	7	0	20	14	-	-	-		
Rabies, human	-	-	-	3	2	1	3	2		
Rubella ¶¶¶	1	2	0	3	16	12	11	11	WA (1 )	
Rubella, congenital syndrome	-	-	0	1	-	-	1	1		
SARS CoV §, ****	-	-	-	-	-	-	-	-		
Smallpox §	-	-	-	-	-	-	-	-		
