
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 12, 2005 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,989	5,431	147,234	171,662	846	1,003	280	532													
NEW ENGLAND	133	180	4,957	5,839	-	-	18	29													
Maine	3	5	411	355	N	N	1	5													
N.H.	2	5	295	344	-	-	4	7													
Vt.	-	7	204	229	-	-	5	3													
Mass.	47	49	2,855	2,657	-	-	4	10													
R.I.	14	22	643	725	-	-	1	-													
Conn.	67	92	549	1,529	N	N	3	4													
MID. ATLANTIC	447	626	17,903	20,792	-	-	44	90													
Upstate N.Y.	39	78	3,489	3,526	N	N	15	14													
N.Y. City	221	300	5,370	6,936	-	-	9	25													
N.J.	87	186	1,984	3,388	N	N	1	8													
Pa.	100	62	7,060	6,942	N	N	19	43													
E.N. CENTRAL	275	614	19,303	32,236	1	3	45	127													
Ohio	59	155	2,416	7,981	N	N	21	33													
Ind.	37	83	3,867	3,578	N	N	4	17													
Ill.	147	278	6,322	9,091	-	-	-	21													
Mich.	26	61	3,633	8,152	1	3	8	23													
Wis.	6	37	3,065	3,434	N	N	12	33													
W.N. CENTRAL	85	176	8,105	10,876	-	1	39	49													
Minn.	35	33	1,416	2,232	N	N	9	16													
Iowa	16	9	643	1,372	N	N	8	7													
Mo.	17	82	3,721	4,000	-	-	14	14													
N. Dak.	-	8	227	308	N	N	-	-													
S. Dak.	3	-	543	451	-	-	2	4													
Nebr.	-	8	404	1,025	-	1	-	-													
Kans.	14	36	1,151	1,488	N	N	6	8													
S. ATLANTIC	1,108	1,966	31,090	32,089	-	-	63	107													
Del.	-	29	592	589	N	N	-	-													
Md.	82	193	3,359	3,783	-	-	5	6													
D.C.	28	96	709	687	-	-	1	2													
Va.	58	76	4,871	4,337	-	-	6	8													
W. Va.	12	23	501	571	N	N	4	-													
N.C.	127	173	6,972	4,926	N	N	8	24													
S.C.	42	135	3,787	3,501	-	-	-	3													
Ga.	231	324	2,116	6,308	-	-	16	38													
Fla.	528	917	8,183	7,387	N	N	23	26													
E.S. CENTRAL	141	266	10,951	9,989	-	2	7	26													
Ky.	25	39	2,544	1,110	N	N	1	5													
Tenn.	59	109	3,503	4,156	N	N	2	11													
Ala.	54	75	465	2,524	-	-	3	7													
Miss.	3	43	4,439	2,199	-	2	1	3													
W.S. CENTRAL	331	788	18,987	21,933	-	-	7	24													
Ark.	35	42	1,606	1,466	-	-	-	8													
La.	39	147	1,034	4,868	-	-	-	-													
Okla.	43	27	2,044	1,730	N	N	4	7													
Tex.	214	572	14,303	13,869	N	N	3	9													
MOUNTAIN	112	191	9,360	9,666	535	649	17	22													
Mont.	-	-	421	26	N	N	-	-													
Idaho	1	2	275	647	N	N	-	1													
Wyo.	-	-	220	213	-	-	-	2													
Colo.	12	28	1,998	2,294	N	N	6	12													
N. Mex.	17	19	537	1,332	1	7	2	1													
Ariz.	57	104	4,199	3,494	519	625	3	5													
Utah	8	9	742	574	2	4	3	-													
Nev.	17	29	968	1,086	13	13	3	1													
PACIFIC	357	624	26,578	28,242	310	348	40	58													
Wash.	28	63	3,654	3,282	N	N	-	3													
Oreg.	32	17	1,734	1,493	-	-	5	6													
Calif.	291	514	19,803	21,678	310	348	35	48													
Alaska	5	5	650	623	-	-	-	-													
Hawaii	1	25	737	1,166	-	-	-	1													
Guam	1	-	-	190	-	-	-	-													
P.R.	1	141	694	404	N	N	N	N													
V.I.	3	2	32	90	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


