
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 13, 2007 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	22	97	261	4,028	4,326	15	30	108	1,208	1,031											
NEW ENGLAND	1	6	28	326	291	1	2	11	94	93											
Conn.	-	0	23	99	77	-	0	6	12	27											
Maine	-	0	3	22	16	-	0	1	2	-											
Mass.	-	3	12	153	146	1	2	6	63	55											
N.H.	-	0	4	31	34	-	0	2	7	7											
R.I.	1	0	12	5	6	-	0	2	8	4											
Vt.	-	0	2	16	12	-	0	1	2	-											
MID. ATLANTIC	2	17	41	743	781	4	4	27	194	141											
N.J.	-	3	10	107	126	-	1	4	25	52											
N.Y. (Upstate)	2	5	27	245	251	4	2	15	86	70											
N.Y. City	-	4	13	176	139	-	1	25	83	19											
Pa.	-	5	11	215	265	N	0	0	N	N											
E.N. CENTRAL	5	17	33	683	827	2	5	14	182	271											
Ill.	-	5	13	185	251	-	1	6	47	68											
Ind.	1	2	17	110	99	-	0	10	16	47											
Mich.	-	4	10	164	174	-	1	4	59	63											
Ohio	4	4	14	196	206	2	1	7	51	53											
Wis.	-	0	6	28	97	-	0	2	9	40											
W.N. CENTRAL	1	5	32	275	291	4	2	8	90	87											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	47	-	0	1	1	11											
Minn.	-	0	29	137	136	3	1	6	61	54											
Mo.	-	2	6	67	62	1	0	2	17	11											
Nebr.	-	0	3	23	26	-	0	2	10	8											
N. Dak.	1	0	2	13	10	-	0	2	1	3											
S. Dak.	-	0	2	7	10	-	0	0	-	-											
S. ATLANTIC	7	22	52	1,014	969	1	4	14	222	63											
Del.	-	0	1	9	10	-	0	0	-	-											
D.C.	-	0	3	8	13	-	0	1	-	1											
Fla.	5	6	16	253	238	-	1	5	52	-											
Ga.	2	5	13	199	201	-	0	5	44	-											
Md.	-	4	10	174	180	1	1	6	50	51											
N.C.	-	1	22	141	138	-	0	0	-	-											
S.C.	-	1	7	83	55	-	0	4	38	-											
Va.	-	2	11	124	109	-	0	4	31	-											
W. Va.	-	0	3	23	25	-	0	4	7	11											
E.S. CENTRAL	-	4	13	171	172	-	1	6	74	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	33	39	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	16											
Tenn.	-	3	13	138	133	-	1	6	71	-											
W.S. CENTRAL	2	6	90	254	330	3	4	43	175	177											
Ark.	-	0	2	17	23	-	0	2	10	18											
La.	-	0	4	16	16	-	0	4	27	20											
Okla.	-	1	23	60	85	1	1	13	41	43											
Tex.	2	3	64	161	206	2	1	27	97	96											
MOUNTAIN	3	9	23	449	567	-	4	12	151	163											
Ariz.	1	4	11	176	295	-	2	7	89	91											
Colo.	-	3	9	127	98	-	1	4	36	43											
Idaho	-	0	2	15	8	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	4	48	109	-	0	4	19	26											
Utah	2	2	7	76	54	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	1	3	9	113	98	-	0	4	26	20											
Alaska	-	0	3	30	N	-	0	2	24	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	83	98	-	0	2	2	20											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


