
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 8, 2006 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	42	105	156	2,741	3,153	45	35	246	665	544	424	719	2,291	15,148	17,222						
NEW ENGLAND	8	12	26	300	377	-	0	2	1	3	11	34	191	806	1,020						
Conn.	4	3	13	79	83	-	0	0	-	-	-	1	183	183	200						
Maine	-	1	5	40	32	N	0	0	N	N	-	2	7	41	96						
Mass.	4	4	17	136	214	-	0	2	1	2	8	19	40	475	558						
N.H.	-	0	3	9	9	-	0	1	-	-	1	2	10	53	83						
R.I.	-	0	4	1	11	-	0	2	-	1	2	0	17	40	39						
Vt.	-	1	7	35	28	-	0	0	-	-	-	1	10	14	44						
MID. ATLANTIC	9	18	46	521	463	1	1	7	19	40	33	76	272	1,686	2,162						
N.J.	N	0	0	N	N	-	0	3	1	11	-	13	41	275	418						
N.Y. (Upstate)	9	11	24	247	243	-	0	1	1	1	16	23	233	442	504						
N.Y. City	-	0	3	1	16	-	0	1	4	5	-	21	44	389	527						
Pa.	-	8	35	273	204	1	1	5	13	23	17	27	61	580	713						
E.N. CENTRAL	-	2	12	50	102	6	0	7	18	19	38	95	219	2,061	2,545						
Ill.	-	0	4	10	17	-	0	4	1	7	-	26	53	473	961						
Ind.	-	0	3	4	4	-	0	1	3	-	17	11	69	272	196						
Mich.	-	1	5	24	11	-	0	1	-	2	1	17	35	398	432						
Ohio	-	0	6	12	70	6	0	3	13	9	20	23	52	563	548						
Wis.	N	0	0	N	N	-	0	1	1	1	-	15	44	355	408						
W.N. CENTRAL	2	5	18	137	182	2	2	12	82	73	13	44	94	1,093	1,113						
Iowa	-	0	3	19	-	-	0	2	-	1	3	7	18	169	185						
Kans.	-	1	5	39	53	-	0	1	2	3	-	7	17	154	161						
Minn.	-	1	6	23	35	-	0	1	1	-	-	10	59	289	249						
Mo.	2	1	6	22	32	1	2	12	73	65	9	15	40	335	328						
