
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2012 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2012
Varicella (chickenpox) cummulative for 2011
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Neuroinvasive cummulative for 2011
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2012
West Nile virus disease † Non-neuroinvasive § cummulative for 2011

tab delimited data:
test
UNITED STATES	77	253	330	77	258	-	0	59	-	-	-	0	31	-	-						
NEW ENGLAND	4	23	50	4	39	-	0	3	-	-	-	0	1	-	-						
Conn.	-	5	16	-	7	-	0	2	-	-	-	0	1	-	-						
Maine	-	4	11	-	9	-	0	0	-	-	-	0	0	-	-						
Mass.	-	9	18	-	11	-	0	2	-	-	-	0	1	-	-						
N.H.	-	1	7	-	4	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	6	-	1	-	0	1	-	-	-	0	0	-	-						
Vt.	4	1	9	4	7	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	21	19	42	21	22	-	0	11	-	-	-	0	6	-	-						
N.J.	6	0	22	6	-	-	0	1	-	-	-	0	2	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	4	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	1	-	-						
Pa.	15	19	39	15	22	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	34	66	110	34	68	-	0	13	-	-	-	0	6	-	-						
Ill.	4	17	33	4	14	-	0	6	-	-	-	0	5	-	-						
Ind.	9	5	20	9	6	-	0	2	-	-	-	0	1	-	-						
Mich.	2	19	44	2	23	-	0	7	-	-	-	0	1	-	-						
Ohio	19	21	58	19	25	-	0	3	-	-	-	0	3	-	-						
Wis.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
W.N. CENTRAL	1	12	34	1	34	-	0	9	-	-	-	0	7	-	-						
Iowa	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
Kans.	-	7	21	-	11	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Mo.	-	3	23	-	23	-	0	2	-	-	-	0	2	-	-						
Nebr.	-	0	2	-	-	-	0	4	-	-	-	0	3	-	-						
N. Dak.	-	0	7	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	1	1	6	1	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	8	32	66	8	16	-	0	10	-	-	-	0	5	-	-						
Del.	-	0	2	-	-	-	0	1	-	-	-	0	0	-	-						
